"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","6007","A test to get the field color value in Hex format","","Tue Jul 08 09:20:41 GMT 2025","passed","Tue Jul 08 09:20:47 GMT 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
"The test sets the value in the field, and then checks the value in the field with what should be set.","18850","A test for setting a value in a field","","Tue Jul 08 09:28:23 GMT 2025","passed","Tue Jul 08 09:28:42 GMT 2025","","List. Checking the basic functions for the Text in the widget List","application.Samples.List.TextOnListTest","edit"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","7038","A test to get the field color value in Hex format","","Tue Jul 08 09:32:11 GMT 2025","passed","Tue Jul 08 09:32:18 GMT 2025","","List. Checking the basic functions for the Date in the widget List","application.Samples.List.DateOnListTest","color"
"The InfoWidget doesn't have a Placeholder.","9267","Test for getting the Placeholder value","","Tue Jul 08 09:22:49 GMT 2025","passed","Tue Jul 08 09:22:58 GMT 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","placeholder"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","7970","Business Exception Validation Test","","Tue Jul 08 09:51:13 GMT 2025","passed","Tue Jul 08 09:51:21 GMT 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","businessException"
"Filtering by the specified column.","8614","Filtering test","","Tue Jul 08 09:36:52 GMT 2025","passed","Tue Jul 08 09:37:00 GMT 2025","","List. Checking the basic functions for the Money in the widget List","application.Samples.List.MoneyOnListTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9582","A test to get the field color value in Hex format","","Tue Jul 08 09:20:36 GMT 2025","passed","Tue Jul 08 09:20:46 GMT 2025","","Info. Checking the basic functions for the Text","application.Samples.Info.TextOnInfoTest","color"
"The InfoWidget doesn't have a Placeholder.","7532","Test for getting the Placeholder value","","Tue Jul 08 09:22:26 GMT 2025","passed","Tue Jul 08 09:22:34 GMT 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","placeholder"
"The test gets the value from the placeholder attribute and returns it in String format","6934","Test for getting the Placeholder value","","Tue Jul 08 09:32:18 GMT 2025","passed","Tue Jul 08 09:32:25 GMT 2025","","List. Checking the basic functions for the Date in the widget List","application.Samples.List.DateOnListTest","placeholder"
"Getting a Placeholder is not available","6869","Test for getting the Placeholder value","","Tue Jul 08 09:45:21 GMT 2025","passed","Tue Jul 08 09:45:28 GMT 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","placeholder"
"","17116","test_1()","","Tue Jul 08 09:33:15 GMT 2025","passed","Tue Jul 08 09:33:32 GMT 2025","","List. Checking the basic functions for the PickList in the widget List","application.Samples.List.PickListOnListTest","test_1"
"","9413","A test to check the options of the drop-down list","","Tue Jul 08 09:39:01 GMT 2025","passed","Tue Jul 08 09:39:10 GMT 2025","","List. Checking the basic functions for the Dictionary in the widget List","application.Samples.List.DictionaryOnListTest","options"
"The test checks for the disabled attribute.","7648","A test to check the field for ""Read-only""","","Tue Jul 08 09:24:32 GMT 2025","passed","Tue Jul 08 09:24:40 GMT 2025","","List. Checking the basic functions for the Number in the widget List","application.Samples.List.NumberOnListTest","readonly"
"The test gets the value from the placeholder attribute and returns it in String format","8247","Test for getting the Placeholder value","","Tue Jul 08 09:49:31 GMT 2025","passed","Tue Jul 08 09:49:39 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","placeholder"
"Filtering is not available for the Form widget","6647","Filtering test","","Tue Jul 08 09:41:39 GMT 2025","passed","Tue Jul 08 09:41:46 GMT 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","filtration"
"DrillDown is not available for InfoWidget.","7116","The DrillDown test","","Tue Jul 08 09:23:49 GMT 2025","passed","Tue Jul 08 09:23:56 GMT 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","drillDown"
"The test gets the value from the placeholder attribute and returns it in String format","6909","Test for getting the Placeholder value","","Tue Jul 08 09:49:44 GMT 2025","passed","Tue Jul 08 09:49:51 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","placeholder"
"The test gets the value in the field, and then checks the value in the field with what should be.","0","A test for checking a value in a field","","Tue Jul 08 09:37:45 GMT 2025","skipped","Tue Jul 08 09:37:45 GMT 2025","","List. Checking the basic functions for the CheckBox","application.Samples.List.CheckBoxOnListTest","read"
"The test gets the value in the field, and then checks the value in the field with what should be.","0","A test for checking a value in a field","","Tue Jul 08 09:33:26 GMT 2025","skipped","Tue Jul 08 09:33:26 GMT 2025","","List. Checking the basic functions for the InlinePickList in the widget List","application.Samples.List.InlinePickListOnListTest","read"
"Filtering by the specified column.","8650","Filtering test","","Tue Jul 08 09:30:20 GMT 2025","passed","Tue Jul 08 09:30:29 GMT 2025","","List. Checking the basic functions for the MultipleSelect in the widget List","application.Samples.List.MultipleSelectOnListTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","10378","Business Exception Validation Test","","Tue Jul 08 09:39:53 GMT 2025","passed","Tue Jul 08 09:40:04 GMT 2025","","List. Checking the basic functions for the Dictionary in the widget List","application.Samples.List.DictionaryOnListTest","businessException"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8784","A test to get the field color value in Hex format","","Tue Jul 08 09:47:34 GMT 2025","passed","Tue Jul 08 09:47:43 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","color"
"The test clears the field and clicks the Save button. Then validates the message that the field is required.","18208","Required Message text Verification field test","","Tue Jul 08 09:28:10 GMT 2025","passed","Tue Jul 08 09:28:28 GMT 2025","","List. Checking the basic functions for the DateTime in the widget List","application.Samples.List.DateTimeOnListTest","required"
"The test gets the value from the placeholder attribute and returns it in String format","6045","Test for getting the Placeholder value","","Tue Jul 08 09:46:33 GMT 2025","passed","Tue Jul 08 09:46:39 GMT 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","placeholder"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","8426","Run-time exception validation test","","Tue Jul 08 09:50:26 GMT 2025","passed","Tue Jul 08 09:50:35 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","runtimeException"
"Filtering is not available for the Form widget","6455","Filtering test","","Tue Jul 08 09:42:23 GMT 2025","passed","Tue Jul 08 09:42:30 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","filtration"
"The test sets the value in the field, and then checks the value in the field with what should be set","7913","A test for setting a value in a field","","Tue Jul 08 09:45:46 GMT 2025","passed","Tue Jul 08 09:45:54 GMT 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","edit"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","12729","Required Message validation test for multiple fields","","Tue Jul 08 09:52:36 GMT 2025","passed","Tue Jul 08 09:52:49 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","fieldLevelValidation"
"Filtering is not available for InfoWidget.","62421","Filtering test","","Tue Jul 08 09:18:20 GMT 2025","passed","Tue Jul 08 09:19:22 GMT 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","filtration"
"","8674","A test to compare the source file with the downloaded one","","Tue Jul 08 09:19:53 GMT 2025","passed","Tue Jul 08 09:20:01 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","compare"
"The test sets the value in the field, and then checks the value in the field with what should be set.","21163","A test for setting a value in a field","","Tue Jul 08 09:49:07 GMT 2025","passed","Tue Jul 08 09:49:28 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","edit"
"Sorting by the specified column.","18056","Sorting test","","Tue Jul 08 09:27:03 GMT 2025","passed","Tue Jul 08 09:27:21 GMT 2025","","List. Checking the basic functions for the DateTime in the widget List","application.Samples.List.DateTimeOnListTest","sorting"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered.","11607","Required Message validation test for one field","","Tue Jul 08 09:37:08 GMT 2025","passed","Tue Jul 08 09:37:20 GMT 2025","","List. Checking the basic functions for the CheckBox","application.Samples.List.CheckBoxOnListTest","fieldLevelValidationAnnotation"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","8840","Required Message validation test for multiple fields","","Tue Jul 08 09:53:22 GMT 2025","passed","Tue Jul 08 09:53:31 GMT 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","fieldLevelValidation"
"The test checks for the disabled attribute","6884","A test to check the field for ""Read-only""","","Tue Jul 08 09:42:30 GMT 2025","passed","Tue Jul 08 09:42:37 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","readonly"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","8147","Confirmation Popup Validation Test","","Tue Jul 08 09:51:23 GMT 2025","passed","Tue Jul 08 09:51:31 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","confirm"
"Sorting is not available for InfoWidget.","5423","Sorting test","","Tue Jul 08 09:22:34 GMT 2025","passed","Tue Jul 08 09:22:39 GMT 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","sorting"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","6307","Required Message validation test for one field","","Tue Jul 08 09:52:11 GMT 2025","passed","Tue Jul 08 09:52:18 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","fieldLevelValidationAnnotation"
"The test checks for the disabled attribute","5266","A test to check the field for ""Read-only""","","Tue Jul 08 09:47:19 GMT 2025","passed","Tue Jul 08 09:47:24 GMT 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","readonly"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","9720","Business Exception Validation Test","","Tue Jul 08 09:38:58 GMT 2025","passed","Tue Jul 08 09:39:08 GMT 2025","","List. Checking the basic functions for the MultiValue in the widget List","application.Samples.List.MultiValueOnListTest","businessException"
