[2025-07-14T19:49:44.353Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4b21feeb-28ec-4181-ad53-4726bdd4b9c5&response_mode=fragment&response_type=code&scope=openid&nonce=32fe83c7-94ed-4269-833e-2305700931f6 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T19:49:44.355Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4b21feeb-28ec-4181-ad53-4726bdd4b9c5&response_mode=fragment&response_type=code&scope=openid&nonce=32fe83c7-94ed-4269-833e-2305700931f6 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T19:49:46.640Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4ODUsImlhdCI6MTc1MjUyMjU4NSwiYXV0aF90aW1lIjoxNzUyNTIyNTg0LCJqdGkiOiIwMWMxYWFjOS02M2JiLTQ2MTEtOTE0ZS05YzkxNzM4Yjc3MDMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OCn4lty-_XfveOethWW5KlfUhKPZSAn873kCmlJI773szw9gcBlEGvPD1xmvZliY3rgvK1CFtBY3B9uA9ZchGQ0fLH0d55pD2vTiNQnzG3FUqESR8XezYRS6CnYvo3UeaNv-pALm7ETiUdAo-c6s1kE6W76ISXVG7nZsFsOLJsa2jxvjNOJHNbhEbfyykh9SNpIkphJ3hwMTnPeKblxprc3wj4f9y_XE8k6wOadBy7ireiOxERVLwq1fAjpcbVoU6-aHhw_mor1s4Ul_vXLbHJrgfnpz1rNeWTw4ND3DddnOaDHLPFhTZFbQPCWGKsxeWGuGFywyL52k-cl5lA4Ieg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:48.646Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4ODUsImlhdCI6MTc1MjUyMjU4NSwiYXV0aF90aW1lIjoxNzUyNTIyNTg0LCJqdGkiOiIwMWMxYWFjOS02M2JiLTQ2MTEtOTE0ZS05YzkxNzM4Yjc3MDMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OCn4lty-_XfveOethWW5KlfUhKPZSAn873kCmlJI773szw9gcBlEGvPD1xmvZliY3rgvK1CFtBY3B9uA9ZchGQ0fLH0d55pD2vTiNQnzG3FUqESR8XezYRS6CnYvo3UeaNv-pALm7ETiUdAo-c6s1kE6W76ISXVG7nZsFsOLJsa2jxvjNOJHNbhEbfyykh9SNpIkphJ3hwMTnPeKblxprc3wj4f9y_XE8k6wOadBy7ireiOxERVLwq1fAjpcbVoU6-aHhw_mor1s4Ul_vXLbHJrgfnpz1rNeWTw4ND3DddnOaDHLPFhTZFbQPCWGKsxeWGuGFywyL52k-cl5lA4Ieg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:50.650Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4ODUsImlhdCI6MTc1MjUyMjU4NSwiYXV0aF90aW1lIjoxNzUyNTIyNTg0LCJqdGkiOiIwMWMxYWFjOS02M2JiLTQ2MTEtOTE0ZS05YzkxNzM4Yjc3MDMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OCn4lty-_XfveOethWW5KlfUhKPZSAn873kCmlJI773szw9gcBlEGvPD1xmvZliY3rgvK1CFtBY3B9uA9ZchGQ0fLH0d55pD2vTiNQnzG3FUqESR8XezYRS6CnYvo3UeaNv-pALm7ETiUdAo-c6s1kE6W76ISXVG7nZsFsOLJsa2jxvjNOJHNbhEbfyykh9SNpIkphJ3hwMTnPeKblxprc3wj4f9y_XE8k6wOadBy7ireiOxERVLwq1fAjpcbVoU6-aHhw_mor1s4Ul_vXLbHJrgfnpz1rNeWTw4ND3DddnOaDHLPFhTZFbQPCWGKsxeWGuGFywyL52k-cl5lA4Ieg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:52.654Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4ODUsImlhdCI6MTc1MjUyMjU4NSwiYXV0aF90aW1lIjoxNzUyNTIyNTg0LCJqdGkiOiIwMWMxYWFjOS02M2JiLTQ2MTEtOTE0ZS05YzkxNzM4Yjc3MDMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OCn4lty-_XfveOethWW5KlfUhKPZSAn873kCmlJI773szw9gcBlEGvPD1xmvZliY3rgvK1CFtBY3B9uA9ZchGQ0fLH0d55pD2vTiNQnzG3FUqESR8XezYRS6CnYvo3UeaNv-pALm7ETiUdAo-c6s1kE6W76ISXVG7nZsFsOLJsa2jxvjNOJHNbhEbfyykh9SNpIkphJ3hwMTnPeKblxprc3wj4f9y_XE8k6wOadBy7ireiOxERVLwq1fAjpcbVoU6-aHhw_mor1s4Ul_vXLbHJrgfnpz1rNeWTw4ND3DddnOaDHLPFhTZFbQPCWGKsxeWGuGFywyL52k-cl5lA4Ieg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:54.659Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4ODUsImlhdCI6MTc1MjUyMjU4NSwiYXV0aF90aW1lIjoxNzUyNTIyNTg0LCJqdGkiOiIwMWMxYWFjOS02M2JiLTQ2MTEtOTE0ZS05YzkxNzM4Yjc3MDMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.OCn4lty-_XfveOethWW5KlfUhKPZSAn873kCmlJI773szw9gcBlEGvPD1xmvZliY3rgvK1CFtBY3B9uA9ZchGQ0fLH0d55pD2vTiNQnzG3FUqESR8XezYRS6CnYvo3UeaNv-pALm7ETiUdAo-c6s1kE6W76ISXVG7nZsFsOLJsa2jxvjNOJHNbhEbfyykh9SNpIkphJ3hwMTnPeKblxprc3wj4f9y_XE8k6wOadBy7ireiOxERVLwq1fAjpcbVoU6-aHhw_mor1s4Ul_vXLbHJrgfnpz1rNeWTw4ND3DddnOaDHLPFhTZFbQPCWGKsxeWGuGFywyL52k-cl5lA4Ieg' failed: Establishing a tunnel via proxy server failed.
