[2025-07-14T19:49:05.403Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3f7d2106-0e76-496f-9e98-216f22db7783&response_mode=fragment&response_type=code&scope=openid&nonce=c9e05271-1c76-455b-b57c-b406a97052a9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T19:49:05.403Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3f7d2106-0e76-496f-9e98-216f22db7783&response_mode=fragment&response_type=code&scope=openid&nonce=c9e05271-1c76-455b-b57c-b406a97052a9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T19:49:07.503Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NDYsImlhdCI6MTc1MjUyMjU0NiwiYXV0aF90aW1lIjoxNzUyNTIyNTQ1LCJqdGkiOiI3ZDMzMDI5OC1jYTE0LTRiMDAtOGNkYi0zNGM4MGM1YmZhODMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XuZtY-ocrDqOQAbROzEARxtBUf0wfPzt3gw7skfcUH3LPuyMWdgdOZPljS5g7PmIzbrXF6jXZcxj7HxEr-iAiUEXZACGkjEC-LAiCCJBXZP4J5T0RroHPRB7QgijiX0zFm4_f6-du4DkpSWe0RLrggLx_w28zd61CB7t0uLIz3ZnX9CBgjK0CugUAQ3cXeSmhJfZ5Z0dibaJkkY-xVkb7BaYxZajjcEaxQjMX7ZNxamh715pI7RQeKIy5iY1kiguWhyXx6O8-djP2uFe8dz5InVwrSvWDMuIMh7JkIY6uP-xa6uihWYeXehIynR5G8ifsAUBi83a4Zop70EaO3y5wA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:09.509Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NDYsImlhdCI6MTc1MjUyMjU0NiwiYXV0aF90aW1lIjoxNzUyNTIyNTQ1LCJqdGkiOiI3ZDMzMDI5OC1jYTE0LTRiMDAtOGNkYi0zNGM4MGM1YmZhODMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XuZtY-ocrDqOQAbROzEARxtBUf0wfPzt3gw7skfcUH3LPuyMWdgdOZPljS5g7PmIzbrXF6jXZcxj7HxEr-iAiUEXZACGkjEC-LAiCCJBXZP4J5T0RroHPRB7QgijiX0zFm4_f6-du4DkpSWe0RLrggLx_w28zd61CB7t0uLIz3ZnX9CBgjK0CugUAQ3cXeSmhJfZ5Z0dibaJkkY-xVkb7BaYxZajjcEaxQjMX7ZNxamh715pI7RQeKIy5iY1kiguWhyXx6O8-djP2uFe8dz5InVwrSvWDMuIMh7JkIY6uP-xa6uihWYeXehIynR5G8ifsAUBi83a4Zop70EaO3y5wA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:11.515Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NDYsImlhdCI6MTc1MjUyMjU0NiwiYXV0aF90aW1lIjoxNzUyNTIyNTQ1LCJqdGkiOiI3ZDMzMDI5OC1jYTE0LTRiMDAtOGNkYi0zNGM4MGM1YmZhODMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XuZtY-ocrDqOQAbROzEARxtBUf0wfPzt3gw7skfcUH3LPuyMWdgdOZPljS5g7PmIzbrXF6jXZcxj7HxEr-iAiUEXZACGkjEC-LAiCCJBXZP4J5T0RroHPRB7QgijiX0zFm4_f6-du4DkpSWe0RLrggLx_w28zd61CB7t0uLIz3ZnX9CBgjK0CugUAQ3cXeSmhJfZ5Z0dibaJkkY-xVkb7BaYxZajjcEaxQjMX7ZNxamh715pI7RQeKIy5iY1kiguWhyXx6O8-djP2uFe8dz5InVwrSvWDMuIMh7JkIY6uP-xa6uihWYeXehIynR5G8ifsAUBi83a4Zop70EaO3y5wA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:13.694Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NDYsImlhdCI6MTc1MjUyMjU0NiwiYXV0aF90aW1lIjoxNzUyNTIyNTQ1LCJqdGkiOiI3ZDMzMDI5OC1jYTE0LTRiMDAtOGNkYi0zNGM4MGM1YmZhODMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XuZtY-ocrDqOQAbROzEARxtBUf0wfPzt3gw7skfcUH3LPuyMWdgdOZPljS5g7PmIzbrXF6jXZcxj7HxEr-iAiUEXZACGkjEC-LAiCCJBXZP4J5T0RroHPRB7QgijiX0zFm4_f6-du4DkpSWe0RLrggLx_w28zd61CB7t0uLIz3ZnX9CBgjK0CugUAQ3cXeSmhJfZ5Z0dibaJkkY-xVkb7BaYxZajjcEaxQjMX7ZNxamh715pI7RQeKIy5iY1kiguWhyXx6O8-djP2uFe8dz5InVwrSvWDMuIMh7JkIY6uP-xa6uihWYeXehIynR5G8ifsAUBi83a4Zop70EaO3y5wA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:15.641Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NDYsImlhdCI6MTc1MjUyMjU0NiwiYXV0aF90aW1lIjoxNzUyNTIyNTQ1LCJqdGkiOiI3ZDMzMDI5OC1jYTE0LTRiMDAtOGNkYi0zNGM4MGM1YmZhODMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XuZtY-ocrDqOQAbROzEARxtBUf0wfPzt3gw7skfcUH3LPuyMWdgdOZPljS5g7PmIzbrXF6jXZcxj7HxEr-iAiUEXZACGkjEC-LAiCCJBXZP4J5T0RroHPRB7QgijiX0zFm4_f6-du4DkpSWe0RLrggLx_w28zd61CB7t0uLIz3ZnX9CBgjK0CugUAQ3cXeSmhJfZ5Z0dibaJkkY-xVkb7BaYxZajjcEaxQjMX7ZNxamh715pI7RQeKIy5iY1kiguWhyXx6O8-djP2uFe8dz5InVwrSvWDMuIMh7JkIY6uP-xa6uihWYeXehIynR5G8ifsAUBi83a4Zop70EaO3y5wA' failed: Establishing a tunnel via proxy server failed.

