[2025-07-14T19:49:25.321Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7c2abd18-513e-44a1-9c1f-88e81f681060&response_mode=fragment&response_type=code&scope=openid&nonce=f94f2e37-0b4c-4976-8896-2ec8aa936888 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T19:49:25.322Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7c2abd18-513e-44a1-9c1f-88e81f681060&response_mode=fragment&response_type=code&scope=openid&nonce=f94f2e37-0b4c-4976-8896-2ec8aa936888 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T19:49:27.362Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NjYsImlhdCI6MTc1MjUyMjU2NiwiYXV0aF90aW1lIjoxNzUyNTIyNTY1LCJqdGkiOiJiMWQ1Yzc2ZS00MDhlLTRhZTQtYTJlMC0zNmEyNDBlNjY2ZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.o6d6qaYhKdL6eYYxAQ7G__WNqm823hFMRpyddni3IUDr-bw2S9xmgFYpiQ431fbQo2Q-2yHYkITAeJbC4ZYFSyDQZsfp32NE34DGuFvu0lqo7MM6RH_J35C1oLFJ8XvDpOyWKh4VVf1qBNjPuW9QRvY5Di4TMMGC81_M_UtN-q1WWCpIPuLnW9xKNvdVkNQGX0ToDk38tDQWZVAIP_bum7Ismk2zAOvFG6Dj-mEZTXxXgDsfZOS-TAx6R-CsACLGOnlU0SlUz5riPwjRZ9p2WWgROnqaQElXhOLNz1ST489oHWM6VBccGShCFxq3K80WENnQC4TM8Q6Rl8b0cMT8gA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:29.365Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NjYsImlhdCI6MTc1MjUyMjU2NiwiYXV0aF90aW1lIjoxNzUyNTIyNTY1LCJqdGkiOiJiMWQ1Yzc2ZS00MDhlLTRhZTQtYTJlMC0zNmEyNDBlNjY2ZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.o6d6qaYhKdL6eYYxAQ7G__WNqm823hFMRpyddni3IUDr-bw2S9xmgFYpiQ431fbQo2Q-2yHYkITAeJbC4ZYFSyDQZsfp32NE34DGuFvu0lqo7MM6RH_J35C1oLFJ8XvDpOyWKh4VVf1qBNjPuW9QRvY5Di4TMMGC81_M_UtN-q1WWCpIPuLnW9xKNvdVkNQGX0ToDk38tDQWZVAIP_bum7Ismk2zAOvFG6Dj-mEZTXxXgDsfZOS-TAx6R-CsACLGOnlU0SlUz5riPwjRZ9p2WWgROnqaQElXhOLNz1ST489oHWM6VBccGShCFxq3K80WENnQC4TM8Q6Rl8b0cMT8gA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:31.370Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NjYsImlhdCI6MTc1MjUyMjU2NiwiYXV0aF90aW1lIjoxNzUyNTIyNTY1LCJqdGkiOiJiMWQ1Yzc2ZS00MDhlLTRhZTQtYTJlMC0zNmEyNDBlNjY2ZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.o6d6qaYhKdL6eYYxAQ7G__WNqm823hFMRpyddni3IUDr-bw2S9xmgFYpiQ431fbQo2Q-2yHYkITAeJbC4ZYFSyDQZsfp32NE34DGuFvu0lqo7MM6RH_J35C1oLFJ8XvDpOyWKh4VVf1qBNjPuW9QRvY5Di4TMMGC81_M_UtN-q1WWCpIPuLnW9xKNvdVkNQGX0ToDk38tDQWZVAIP_bum7Ismk2zAOvFG6Dj-mEZTXxXgDsfZOS-TAx6R-CsACLGOnlU0SlUz5riPwjRZ9p2WWgROnqaQElXhOLNz1ST489oHWM6VBccGShCFxq3K80WENnQC4TM8Q6Rl8b0cMT8gA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:33.569Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NjYsImlhdCI6MTc1MjUyMjU2NiwiYXV0aF90aW1lIjoxNzUyNTIyNTY1LCJqdGkiOiJiMWQ1Yzc2ZS00MDhlLTRhZTQtYTJlMC0zNmEyNDBlNjY2ZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.o6d6qaYhKdL6eYYxAQ7G__WNqm823hFMRpyddni3IUDr-bw2S9xmgFYpiQ431fbQo2Q-2yHYkITAeJbC4ZYFSyDQZsfp32NE34DGuFvu0lqo7MM6RH_J35C1oLFJ8XvDpOyWKh4VVf1qBNjPuW9QRvY5Di4TMMGC81_M_UtN-q1WWCpIPuLnW9xKNvdVkNQGX0ToDk38tDQWZVAIP_bum7Ismk2zAOvFG6Dj-mEZTXxXgDsfZOS-TAx6R-CsACLGOnlU0SlUz5riPwjRZ9p2WWgROnqaQElXhOLNz1ST489oHWM6VBccGShCFxq3K80WENnQC4TM8Q6Rl8b0cMT8gA' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:49:35.509Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI4NjYsImlhdCI6MTc1MjUyMjU2NiwiYXV0aF90aW1lIjoxNzUyNTIyNTY1LCJqdGkiOiJiMWQ1Yzc2ZS00MDhlLTRhZTQtYTJlMC0zNmEyNDBlNjY2ZmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.o6d6qaYhKdL6eYYxAQ7G__WNqm823hFMRpyddni3IUDr-bw2S9xmgFYpiQ431fbQo2Q-2yHYkITAeJbC4ZYFSyDQZsfp32NE34DGuFvu0lqo7MM6RH_J35C1oLFJ8XvDpOyWKh4VVf1qBNjPuW9QRvY5Di4TMMGC81_M_UtN-q1WWCpIPuLnW9xKNvdVkNQGX0ToDk38tDQWZVAIP_bum7Ismk2zAOvFG6Dj-mEZTXxXgDsfZOS-TAx6R-CsACLGOnlU0SlUz5riPwjRZ9p2WWgROnqaQElXhOLNz1ST489oHWM6VBccGShCFxq3K80WENnQC4TM8Q6Rl8b0cMT8gA' failed: Establishing a tunnel via proxy server failed.
