[2025-07-14T19:34:58.769Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=084d81f1-490c-40d7-8ece-d3722619c61b&response_mode=fragment&response_type=code&scope=openid&nonce=d54733ba-9d7c-4605-b602-38b4556ea4a1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T19:34:58.771Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=084d81f1-490c-40d7-8ece-d3722619c61b&response_mode=fragment&response_type=code&scope=openid&nonce=d54733ba-9d7c-4605-b602-38b4556ea4a1 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T19:35:01.398Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjIwMDAsImlhdCI6MTc1MjUyMTcwMCwiYXV0aF90aW1lIjoxNzUyNTIxNjk5LCJqdGkiOiI1MjFmODY0Ni0zNTllLTQwMTctOTRmMy05ZmRkYTUwZTkyZjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Qvqej2ABX4im8ANjSp26m0ijAPxs78PHTVzvSl0fi7o51oy6EZDyfLSNQN3Ynbfv6XXGyME_J3krk8PzcsDyCNy5PBXSZrQI7AR7zXigw0o2sIzBKUwAyACMMNK24pyX2iFzl7Mm7v6QcDaQBJC1r9VfiERy9oam4jeoWTaNwzXZiD6WjJagdblmmzgU_aBcPKf90pHFvLp0wc55zrcb2LjdwUQQtToLl4O3aNiP3QQoaCCcP9OYYVYKZv16xUve82Zb8KIJ-2ErnoLGlUxQz5yj19NbqzoZlwLB4k4ELdZWVz9qdSMtfg_Gns696SQM3rEIhH_cr18eW0kpx7_hUw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:35:03.406Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjIwMDAsImlhdCI6MTc1MjUyMTcwMCwiYXV0aF90aW1lIjoxNzUyNTIxNjk5LCJqdGkiOiI1MjFmODY0Ni0zNTllLTQwMTctOTRmMy05ZmRkYTUwZTkyZjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Qvqej2ABX4im8ANjSp26m0ijAPxs78PHTVzvSl0fi7o51oy6EZDyfLSNQN3Ynbfv6XXGyME_J3krk8PzcsDyCNy5PBXSZrQI7AR7zXigw0o2sIzBKUwAyACMMNK24pyX2iFzl7Mm7v6QcDaQBJC1r9VfiERy9oam4jeoWTaNwzXZiD6WjJagdblmmzgU_aBcPKf90pHFvLp0wc55zrcb2LjdwUQQtToLl4O3aNiP3QQoaCCcP9OYYVYKZv16xUve82Zb8KIJ-2ErnoLGlUxQz5yj19NbqzoZlwLB4k4ELdZWVz9qdSMtfg_Gns696SQM3rEIhH_cr18eW0kpx7_hUw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:35:05.418Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjIwMDAsImlhdCI6MTc1MjUyMTcwMCwiYXV0aF90aW1lIjoxNzUyNTIxNjk5LCJqdGkiOiI1MjFmODY0Ni0zNTllLTQwMTctOTRmMy05ZmRkYTUwZTkyZjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Qvqej2ABX4im8ANjSp26m0ijAPxs78PHTVzvSl0fi7o51oy6EZDyfLSNQN3Ynbfv6XXGyME_J3krk8PzcsDyCNy5PBXSZrQI7AR7zXigw0o2sIzBKUwAyACMMNK24pyX2iFzl7Mm7v6QcDaQBJC1r9VfiERy9oam4jeoWTaNwzXZiD6WjJagdblmmzgU_aBcPKf90pHFvLp0wc55zrcb2LjdwUQQtToLl4O3aNiP3QQoaCCcP9OYYVYKZv16xUve82Zb8KIJ-2ErnoLGlUxQz5yj19NbqzoZlwLB4k4ELdZWVz9qdSMtfg_Gns696SQM3rEIhH_cr18eW0kpx7_hUw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:35:07.426Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjIwMDAsImlhdCI6MTc1MjUyMTcwMCwiYXV0aF90aW1lIjoxNzUyNTIxNjk5LCJqdGkiOiI1MjFmODY0Ni0zNTllLTQwMTctOTRmMy05ZmRkYTUwZTkyZjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Qvqej2ABX4im8ANjSp26m0ijAPxs78PHTVzvSl0fi7o51oy6EZDyfLSNQN3Ynbfv6XXGyME_J3krk8PzcsDyCNy5PBXSZrQI7AR7zXigw0o2sIzBKUwAyACMMNK24pyX2iFzl7Mm7v6QcDaQBJC1r9VfiERy9oam4jeoWTaNwzXZiD6WjJagdblmmzgU_aBcPKf90pHFvLp0wc55zrcb2LjdwUQQtToLl4O3aNiP3QQoaCCcP9OYYVYKZv16xUve82Zb8KIJ-2ErnoLGlUxQz5yj19NbqzoZlwLB4k4ELdZWVz9qdSMtfg_Gns696SQM3rEIhH_cr18eW0kpx7_hUw' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:35:09.437Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjIwMDAsImlhdCI6MTc1MjUyMTcwMCwiYXV0aF90aW1lIjoxNzUyNTIxNjk5LCJqdGkiOiI1MjFmODY0Ni0zNTllLTQwMTctOTRmMy05ZmRkYTUwZTkyZjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Qvqej2ABX4im8ANjSp26m0ijAPxs78PHTVzvSl0fi7o51oy6EZDyfLSNQN3Ynbfv6XXGyME_J3krk8PzcsDyCNy5PBXSZrQI7AR7zXigw0o2sIzBKUwAyACMMNK24pyX2iFzl7Mm7v6QcDaQBJC1r9VfiERy9oam4jeoWTaNwzXZiD6WjJagdblmmzgU_aBcPKf90pHFvLp0wc55zrcb2LjdwUQQtToLl4O3aNiP3QQoaCCcP9OYYVYKZv16xUve82Zb8KIJ-2ErnoLGlUxQz5yj19NbqzoZlwLB4k4ELdZWVz9qdSMtfg_Gns696SQM3rEIhH_cr18eW0kpx7_hUw' failed: Establishing a tunnel via proxy server failed.
