[2025-07-14T19:46:20.857Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4a66a63b-6c90-412e-be27-10552336685a&response_mode=fragment&response_type=code&scope=openid&nonce=a5473263-33eb-4326-a93e-c3c9306dd290 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/8re8u/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T19:46:20.858Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4a66a63b-6c90-412e-be27-10552336685a&response_mode=fragment&response_type=code&scope=openid&nonce=a5473263-33eb-4326-a93e-c3c9306dd290 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T19:46:22.985Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI2ODIsImlhdCI6MTc1MjUyMjM4MiwiYXV0aF90aW1lIjoxNzUyNTIyMzgxLCJqdGkiOiIwMjAyN2NhNi02NWEyLTRjNjEtODg4ZS0yY2NkZDM2OTkwNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ADcWWV9ESpHrDDUGwvwOukAPonAf05VypUUQzfCbQ_3PXT1SR_6wG0NaGdQYGI5QsyMfx8bZ8NBCN5LUCM_ZII2AdCvzrrfWqcZZKhxX0li2qcs6IGyvU8dB9RJ-OaqWnLZf9Q9SCmS0eNBX2bSKfeXt69tKuG_H7evP1mahRJ8jXmKepq3ipwYec1pDIoS7Fc-YvR2mjpi4yQSg6CRkLiLYOuMEzEdv_C-b6iHkm8DMLYqfqockUXVBGyay_XBqY4vAuiGM4cYx1oRdpAId1hM76iLY-J4AP_iPcnXyYSfWjRGz5pls_ZCKG-OWe1iiYAJzg-tc_JsGy5I2D2Hz3A' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:46:24.991Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI2ODIsImlhdCI6MTc1MjUyMjM4MiwiYXV0aF90aW1lIjoxNzUyNTIyMzgxLCJqdGkiOiIwMjAyN2NhNi02NWEyLTRjNjEtODg4ZS0yY2NkZDM2OTkwNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ADcWWV9ESpHrDDUGwvwOukAPonAf05VypUUQzfCbQ_3PXT1SR_6wG0NaGdQYGI5QsyMfx8bZ8NBCN5LUCM_ZII2AdCvzrrfWqcZZKhxX0li2qcs6IGyvU8dB9RJ-OaqWnLZf9Q9SCmS0eNBX2bSKfeXt69tKuG_H7evP1mahRJ8jXmKepq3ipwYec1pDIoS7Fc-YvR2mjpi4yQSg6CRkLiLYOuMEzEdv_C-b6iHkm8DMLYqfqockUXVBGyay_XBqY4vAuiGM4cYx1oRdpAId1hM76iLY-J4AP_iPcnXyYSfWjRGz5pls_ZCKG-OWe1iiYAJzg-tc_JsGy5I2D2Hz3A' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:46:26.997Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI2ODIsImlhdCI6MTc1MjUyMjM4MiwiYXV0aF90aW1lIjoxNzUyNTIyMzgxLCJqdGkiOiIwMjAyN2NhNi02NWEyLTRjNjEtODg4ZS0yY2NkZDM2OTkwNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ADcWWV9ESpHrDDUGwvwOukAPonAf05VypUUQzfCbQ_3PXT1SR_6wG0NaGdQYGI5QsyMfx8bZ8NBCN5LUCM_ZII2AdCvzrrfWqcZZKhxX0li2qcs6IGyvU8dB9RJ-OaqWnLZf9Q9SCmS0eNBX2bSKfeXt69tKuG_H7evP1mahRJ8jXmKepq3ipwYec1pDIoS7Fc-YvR2mjpi4yQSg6CRkLiLYOuMEzEdv_C-b6iHkm8DMLYqfqockUXVBGyay_XBqY4vAuiGM4cYx1oRdpAId1hM76iLY-J4AP_iPcnXyYSfWjRGz5pls_ZCKG-OWe1iiYAJzg-tc_JsGy5I2D2Hz3A' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:46:29.077Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI2ODIsImlhdCI6MTc1MjUyMjM4MiwiYXV0aF90aW1lIjoxNzUyNTIyMzgxLCJqdGkiOiIwMjAyN2NhNi02NWEyLTRjNjEtODg4ZS0yY2NkZDM2OTkwNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ADcWWV9ESpHrDDUGwvwOukAPonAf05VypUUQzfCbQ_3PXT1SR_6wG0NaGdQYGI5QsyMfx8bZ8NBCN5LUCM_ZII2AdCvzrrfWqcZZKhxX0li2qcs6IGyvU8dB9RJ-OaqWnLZf9Q9SCmS0eNBX2bSKfeXt69tKuG_H7evP1mahRJ8jXmKepq3ipwYec1pDIoS7Fc-YvR2mjpi4yQSg6CRkLiLYOuMEzEdv_C-b6iHkm8DMLYqfqockUXVBGyay_XBqY4vAuiGM4cYx1oRdpAId1hM76iLY-J4AP_iPcnXyYSfWjRGz5pls_ZCKG-OWe1iiYAJzg-tc_JsGy5I2D2Hz3A' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T19:46:31.018Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI1MjI2ODIsImlhdCI6MTc1MjUyMjM4MiwiYXV0aF90aW1lIjoxNzUyNTIyMzgxLCJqdGkiOiIwMjAyN2NhNi02NWEyLTRjNjEtODg4ZS0yY2NkZDM2OTkwNDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ADcWWV9ESpHrDDUGwvwOukAPonAf05VypUUQzfCbQ_3PXT1SR_6wG0NaGdQYGI5QsyMfx8bZ8NBCN5LUCM_ZII2AdCvzrrfWqcZZKhxX0li2qcs6IGyvU8dB9RJ-OaqWnLZf9Q9SCmS0eNBX2bSKfeXt69tKuG_H7evP1mahRJ8jXmKepq3ipwYec1pDIoS7Fc-YvR2mjpi4yQSg6CRkLiLYOuMEzEdv_C-b6iHkm8DMLYqfqockUXVBGyay_XBqY4vAuiGM4cYx1oRdpAId1hM76iLY-J4AP_iPcnXyYSfWjRGz5pls_ZCKG-OWe1iiYAJzg-tc_JsGy5I2D2Hz3A' failed: Establishing a tunnel via proxy server failed.
