"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","5113","A test to get the field color value in Hex format","","Wed Apr 16 11:24:48 GMT 2025","passed","Wed Apr 16 11:24:53 GMT 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","color"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","11283","Required Message validation test for multiple fields","","Wed Apr 16 11:14:40 GMT 2025","passed","Wed Apr 16 11:14:51 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","fieldLevelValidation"
"The test sets one value in the field, then checks the list with the expected value.","29784","A test for setting a single value in a field","","Wed Apr 16 11:21:45 GMT 2025","passed","Wed Apr 16 11:22:15 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","test_once"
"Info Widget is always read-only","8052","A test to check the field for ""Read-only""","","Wed Apr 16 11:27:27 GMT 2025","passed","Wed Apr 16 11:27:35 GMT 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","readonly"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","12836","Business Exception Validation Test","","Wed Apr 16 11:15:47 GMT 2025","passed","Wed Apr 16 11:16:00 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","businessException"
"Checking the url before the transition and after the transition/click on a special element","9167","The DrillDown test","","Wed Apr 16 11:15:38 GMT 2025","passed","Wed Apr 16 11:15:47 GMT 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","drillDown"
"Filtering is not available for InfoWidget.","5582","Filtering test","","Wed Apr 16 11:26:39 GMT 2025","passed","Wed Apr 16 11:26:44 GMT 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","filtration"
"Sorting is not available for InfoWidget.","8227","Sorting test","","Wed Apr 16 11:27:31 GMT 2025","passed","Wed Apr 16 11:27:39 GMT 2025","","Info. Checking the basic functions for the Text","application.Samples.Info.TextOnInfoTest","sorting"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","5501","A test to get the field color value in Hex format","","Wed Apr 16 11:19:26 GMT 2025","passed","Wed Apr 16 11:19:32 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","color"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10731","Required Message validation test for multiple fields","","Wed Apr 16 11:16:45 GMT 2025","passed","Wed Apr 16 11:16:55 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","fieldLevelValidation"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","9379","Confirmation Popup Validation Test","","Wed Apr 16 11:14:04 GMT 2025","passed","Wed Apr 16 11:14:13 GMT 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","confirm"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","8324","Required Message validation test for one field","","Wed Apr 16 11:17:26 GMT 2025","passed","Wed Apr 16 11:17:35 GMT 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","fieldLevelValidationAnnotation"
"","9468","The test for getting the value from the field","","Wed Apr 16 11:29:19 GMT 2025","passed","Wed Apr 16 11:29:29 GMT 2025","","Info. Checking the basic functions for the MultiField","application.Samples.Info.MultiFieldOnInfoTest","read"
