[2025-07-14T12:32:00.878Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=84a3dcee-0337-4768-8585-9e2940ce1408&response_mode=fragment&response_type=code&scope=openid&nonce=50ce1db6-5efb-44d3-b350-6aaf80d9d1ce - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-14T12:32:00.880Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=84a3dcee-0337-4768-8585-9e2940ce1408&response_mode=fragment&response_type=code&scope=openid&nonce=50ce1db6-5efb-44d3-b350-6aaf80d9d1ce - Autofocus processing was blocked because a document already has a focused element.

[2025-07-14T12:32:03.043Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTY2MjIsImlhdCI6MTc1MjQ5NjMyMiwiYXV0aF90aW1lIjoxNzUyNDk2MzIxLCJqdGkiOiIzMDkxNTEyYy0zMThhLTQ5MDUtOGMzYy0yMmIzNmY2OGMxMDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HgnTdbxt4lOP8w3bQ-57PKmXtpVX8xD16BQa9dhQpRmiH80NefQm-64uiTbliN6fnjikxMqyMBQDJpfy8od4yvTdEnI5C00NeWy-1konW4N6tNhhpxy-Fy0J-HfFtI9Pr0vW42X8Oe1Z-dgXEEaw3vgL48Yya_XKkqMWTr-qBOdS1bB8PHOnXRS3mIaVElXFjF4pB2A9mjiku7ouft3j_oA_VsW4Kne0dUlWcApRJJPm3rRn4HhvIWl-4iRQWTvi8HQmgQle07Fy3ITXjsa9uBv2ufGA-kczdwh7iLQRUjExFvfUwmqF4bhEeVNZX5PIIXGWzUtfYdxhsMtyR-QBNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:32:05.061Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTY2MjIsImlhdCI6MTc1MjQ5NjMyMiwiYXV0aF90aW1lIjoxNzUyNDk2MzIxLCJqdGkiOiIzMDkxNTEyYy0zMThhLTQ5MDUtOGMzYy0yMmIzNmY2OGMxMDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HgnTdbxt4lOP8w3bQ-57PKmXtpVX8xD16BQa9dhQpRmiH80NefQm-64uiTbliN6fnjikxMqyMBQDJpfy8od4yvTdEnI5C00NeWy-1konW4N6tNhhpxy-Fy0J-HfFtI9Pr0vW42X8Oe1Z-dgXEEaw3vgL48Yya_XKkqMWTr-qBOdS1bB8PHOnXRS3mIaVElXFjF4pB2A9mjiku7ouft3j_oA_VsW4Kne0dUlWcApRJJPm3rRn4HhvIWl-4iRQWTvi8HQmgQle07Fy3ITXjsa9uBv2ufGA-kczdwh7iLQRUjExFvfUwmqF4bhEeVNZX5PIIXGWzUtfYdxhsMtyR-QBNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:32:07.076Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTY2MjIsImlhdCI6MTc1MjQ5NjMyMiwiYXV0aF90aW1lIjoxNzUyNDk2MzIxLCJqdGkiOiIzMDkxNTEyYy0zMThhLTQ5MDUtOGMzYy0yMmIzNmY2OGMxMDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HgnTdbxt4lOP8w3bQ-57PKmXtpVX8xD16BQa9dhQpRmiH80NefQm-64uiTbliN6fnjikxMqyMBQDJpfy8od4yvTdEnI5C00NeWy-1konW4N6tNhhpxy-Fy0J-HfFtI9Pr0vW42X8Oe1Z-dgXEEaw3vgL48Yya_XKkqMWTr-qBOdS1bB8PHOnXRS3mIaVElXFjF4pB2A9mjiku7ouft3j_oA_VsW4Kne0dUlWcApRJJPm3rRn4HhvIWl-4iRQWTvi8HQmgQle07Fy3ITXjsa9uBv2ufGA-kczdwh7iLQRUjExFvfUwmqF4bhEeVNZX5PIIXGWzUtfYdxhsMtyR-QBNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:32:09.085Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTY2MjIsImlhdCI6MTc1MjQ5NjMyMiwiYXV0aF90aW1lIjoxNzUyNDk2MzIxLCJqdGkiOiIzMDkxNTEyYy0zMThhLTQ5MDUtOGMzYy0yMmIzNmY2OGMxMDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HgnTdbxt4lOP8w3bQ-57PKmXtpVX8xD16BQa9dhQpRmiH80NefQm-64uiTbliN6fnjikxMqyMBQDJpfy8od4yvTdEnI5C00NeWy-1konW4N6tNhhpxy-Fy0J-HfFtI9Pr0vW42X8Oe1Z-dgXEEaw3vgL48Yya_XKkqMWTr-qBOdS1bB8PHOnXRS3mIaVElXFjF4pB2A9mjiku7ouft3j_oA_VsW4Kne0dUlWcApRJJPm3rRn4HhvIWl-4iRQWTvi8HQmgQle07Fy3ITXjsa9uBv2ufGA-kczdwh7iLQRUjExFvfUwmqF4bhEeVNZX5PIIXGWzUtfYdxhsMtyR-QBNg' failed: Establishing a tunnel via proxy server failed.

[2025-07-14T12:32:11.097Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTI0OTY2MjIsImlhdCI6MTc1MjQ5NjMyMiwiYXV0aF90aW1lIjoxNzUyNDk2MzIxLCJqdGkiOiIzMDkxNTEyYy0zMThhLTQ5MDUtOGMzYy0yMmIzNmY2OGMxMDAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.HgnTdbxt4lOP8w3bQ-57PKmXtpVX8xD16BQa9dhQpRmiH80NefQm-64uiTbliN6fnjikxMqyMBQDJpfy8od4yvTdEnI5C00NeWy-1konW4N6tNhhpxy-Fy0J-HfFtI9Pr0vW42X8Oe1Z-dgXEEaw3vgL48Yya_XKkqMWTr-qBOdS1bB8PHOnXRS3mIaVElXFjF4pB2A9mjiku7ouft3j_oA_VsW4Kne0dUlWcApRJJPm3rRn4HhvIWl-4iRQWTvi8HQmgQle07Fy3ITXjsa9uBv2ufGA-kczdwh7iLQRUjExFvfUwmqF4bhEeVNZX5PIIXGWzUtfYdxhsMtyR-QBNg' failed: Establishing a tunnel via proxy server failed.
