[2025-07-31T13:50:54.760Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a7082cf1-5afe-48c3-891e-266d112a567b&response_mode=fragment&response_type=code&scope=openid&nonce=6f3d90c3-c22d-4fce-9f65-16eb8b76c015 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T13:50:54.761Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a7082cf1-5afe-48c3-891e-266d112a567b&response_mode=fragment&response_type=code&scope=openid&nonce=6f3d90c3-c22d-4fce-9f65-16eb8b76c015 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T13:50:56.794Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAxNTUsImlhdCI6MTc1Mzk2OTg1NSwiYXV0aF90aW1lIjoxNzUzOTY5ODU1LCJqdGkiOiIwNjg1NjU5NS1kMzM1LTRmNWQtODJlYi05M2FlM2I5MTQ4N2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kVVwkGORX6wF92cxMtjMJPu9tpqsCvx9XZfDRmuWEFVbcMVOV40bji1NbhFIcsZPGC0hWrxfxL2O_ughPgVFlfg_wFDTXm1LcW3k0AcJSCo4iReLCf_3g1WFAZVdp9UnUJbiOITECZ-zgxUb9wTxw8SGlh3vSzhkO_CqftJ9YTph3e8B8rrGutrWAEDbqWlcL_-RUs6tHpK5WbaUddKbVlr1M83KmyLAycT_TM5W90FHvLvSjTtGvqfwqH5zIKOlvHPAW29nDGa6uK_U8o3mDdWojivJ8UZJ9eKRMkAy9AjvcYhO-ppaP2A49WK6EoSOvlEnce4dXYxev-VkBdTszw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:50:58.800Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAxNTUsImlhdCI6MTc1Mzk2OTg1NSwiYXV0aF90aW1lIjoxNzUzOTY5ODU1LCJqdGkiOiIwNjg1NjU5NS1kMzM1LTRmNWQtODJlYi05M2FlM2I5MTQ4N2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kVVwkGORX6wF92cxMtjMJPu9tpqsCvx9XZfDRmuWEFVbcMVOV40bji1NbhFIcsZPGC0hWrxfxL2O_ughPgVFlfg_wFDTXm1LcW3k0AcJSCo4iReLCf_3g1WFAZVdp9UnUJbiOITECZ-zgxUb9wTxw8SGlh3vSzhkO_CqftJ9YTph3e8B8rrGutrWAEDbqWlcL_-RUs6tHpK5WbaUddKbVlr1M83KmyLAycT_TM5W90FHvLvSjTtGvqfwqH5zIKOlvHPAW29nDGa6uK_U8o3mDdWojivJ8UZJ9eKRMkAy9AjvcYhO-ppaP2A49WK6EoSOvlEnce4dXYxev-VkBdTszw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:51:00.865Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAxNTUsImlhdCI6MTc1Mzk2OTg1NSwiYXV0aF90aW1lIjoxNzUzOTY5ODU1LCJqdGkiOiIwNjg1NjU5NS1kMzM1LTRmNWQtODJlYi05M2FlM2I5MTQ4N2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kVVwkGORX6wF92cxMtjMJPu9tpqsCvx9XZfDRmuWEFVbcMVOV40bji1NbhFIcsZPGC0hWrxfxL2O_ughPgVFlfg_wFDTXm1LcW3k0AcJSCo4iReLCf_3g1WFAZVdp9UnUJbiOITECZ-zgxUb9wTxw8SGlh3vSzhkO_CqftJ9YTph3e8B8rrGutrWAEDbqWlcL_-RUs6tHpK5WbaUddKbVlr1M83KmyLAycT_TM5W90FHvLvSjTtGvqfwqH5zIKOlvHPAW29nDGa6uK_U8o3mDdWojivJ8UZJ9eKRMkAy9AjvcYhO-ppaP2A49WK6EoSOvlEnce4dXYxev-VkBdTszw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:51:02.979Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAxNTUsImlhdCI6MTc1Mzk2OTg1NSwiYXV0aF90aW1lIjoxNzUzOTY5ODU1LCJqdGkiOiIwNjg1NjU5NS1kMzM1LTRmNWQtODJlYi05M2FlM2I5MTQ4N2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kVVwkGORX6wF92cxMtjMJPu9tpqsCvx9XZfDRmuWEFVbcMVOV40bji1NbhFIcsZPGC0hWrxfxL2O_ughPgVFlfg_wFDTXm1LcW3k0AcJSCo4iReLCf_3g1WFAZVdp9UnUJbiOITECZ-zgxUb9wTxw8SGlh3vSzhkO_CqftJ9YTph3e8B8rrGutrWAEDbqWlcL_-RUs6tHpK5WbaUddKbVlr1M83KmyLAycT_TM5W90FHvLvSjTtGvqfwqH5zIKOlvHPAW29nDGa6uK_U8o3mDdWojivJ8UZJ9eKRMkAy9AjvcYhO-ppaP2A49WK6EoSOvlEnce4dXYxev-VkBdTszw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:51:04.899Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAxNTUsImlhdCI6MTc1Mzk2OTg1NSwiYXV0aF90aW1lIjoxNzUzOTY5ODU1LCJqdGkiOiIwNjg1NjU5NS1kMzM1LTRmNWQtODJlYi05M2FlM2I5MTQ4N2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kVVwkGORX6wF92cxMtjMJPu9tpqsCvx9XZfDRmuWEFVbcMVOV40bji1NbhFIcsZPGC0hWrxfxL2O_ughPgVFlfg_wFDTXm1LcW3k0AcJSCo4iReLCf_3g1WFAZVdp9UnUJbiOITECZ-zgxUb9wTxw8SGlh3vSzhkO_CqftJ9YTph3e8B8rrGutrWAEDbqWlcL_-RUs6tHpK5WbaUddKbVlr1M83KmyLAycT_TM5W90FHvLvSjTtGvqfwqH5zIKOlvHPAW29nDGa6uK_U8o3mDdWojivJ8UZJ9eKRMkAy9AjvcYhO-ppaP2A49WK6EoSOvlEnce4dXYxev-VkBdTszw' failed: Establishing a tunnel via proxy server failed.
