[2025-07-31T13:52:55.212Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7ec60b1f-e589-40d4-8963-588dd806a6b4&response_mode=fragment&response_type=code&scope=openid&nonce=04785083-aa59-42b9-8bd5-db952a37fd92 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T13:52:55.213Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=7ec60b1f-e589-40d4-8963-588dd806a6b4&response_mode=fragment&response_type=code&scope=openid&nonce=04785083-aa59-42b9-8bd5-db952a37fd92 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T13:52:57.101Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAyNzYsImlhdCI6MTc1Mzk2OTk3NiwiYXV0aF90aW1lIjoxNzUzOTY5OTc1LCJqdGkiOiJlYWM1NzdjYi00NDg3LTRlODQtYjZkMC01Y2MwZDkwMjhjNzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hRyrozBkZMQv7TAQh4OxnaWTjT1u5J-D9G7hJXRHM_0xLNqYlCuZ9u_RjWs5j_Fg6GP_G_oT22GhWXrb5pvlJVosg3UaRVZtp5iBiUoywmy-8693-2an6MBGe5-n8UnaqZaQ6isxowra9DO7U_cbWVfjsliqcmw90o2vDrw9NuXJkSOSoDxS8CxydaxVUyMbYJV3zTbQhH3JZwWAvqgLWDizWBITuRzRlO_XjpSFf1SNX-I_eRnQ42U0RDovX1xVUuFm5cOLaFA2pZudeg-XuPMObu0U1byMKzRdMimNlsr1f4gZutEAvXcQqhJGduqRDNq2vaL28a2B0I_L6iq-Jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:52:59.106Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAyNzYsImlhdCI6MTc1Mzk2OTk3NiwiYXV0aF90aW1lIjoxNzUzOTY5OTc1LCJqdGkiOiJlYWM1NzdjYi00NDg3LTRlODQtYjZkMC01Y2MwZDkwMjhjNzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hRyrozBkZMQv7TAQh4OxnaWTjT1u5J-D9G7hJXRHM_0xLNqYlCuZ9u_RjWs5j_Fg6GP_G_oT22GhWXrb5pvlJVosg3UaRVZtp5iBiUoywmy-8693-2an6MBGe5-n8UnaqZaQ6isxowra9DO7U_cbWVfjsliqcmw90o2vDrw9NuXJkSOSoDxS8CxydaxVUyMbYJV3zTbQhH3JZwWAvqgLWDizWBITuRzRlO_XjpSFf1SNX-I_eRnQ42U0RDovX1xVUuFm5cOLaFA2pZudeg-XuPMObu0U1byMKzRdMimNlsr1f4gZutEAvXcQqhJGduqRDNq2vaL28a2B0I_L6iq-Jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:01.116Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAyNzYsImlhdCI6MTc1Mzk2OTk3NiwiYXV0aF90aW1lIjoxNzUzOTY5OTc1LCJqdGkiOiJlYWM1NzdjYi00NDg3LTRlODQtYjZkMC01Y2MwZDkwMjhjNzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hRyrozBkZMQv7TAQh4OxnaWTjT1u5J-D9G7hJXRHM_0xLNqYlCuZ9u_RjWs5j_Fg6GP_G_oT22GhWXrb5pvlJVosg3UaRVZtp5iBiUoywmy-8693-2an6MBGe5-n8UnaqZaQ6isxowra9DO7U_cbWVfjsliqcmw90o2vDrw9NuXJkSOSoDxS8CxydaxVUyMbYJV3zTbQhH3JZwWAvqgLWDizWBITuRzRlO_XjpSFf1SNX-I_eRnQ42U0RDovX1xVUuFm5cOLaFA2pZudeg-XuPMObu0U1byMKzRdMimNlsr1f4gZutEAvXcQqhJGduqRDNq2vaL28a2B0I_L6iq-Jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:03.250Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAyNzYsImlhdCI6MTc1Mzk2OTk3NiwiYXV0aF90aW1lIjoxNzUzOTY5OTc1LCJqdGkiOiJlYWM1NzdjYi00NDg3LTRlODQtYjZkMC01Y2MwZDkwMjhjNzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hRyrozBkZMQv7TAQh4OxnaWTjT1u5J-D9G7hJXRHM_0xLNqYlCuZ9u_RjWs5j_Fg6GP_G_oT22GhWXrb5pvlJVosg3UaRVZtp5iBiUoywmy-8693-2an6MBGe5-n8UnaqZaQ6isxowra9DO7U_cbWVfjsliqcmw90o2vDrw9NuXJkSOSoDxS8CxydaxVUyMbYJV3zTbQhH3JZwWAvqgLWDizWBITuRzRlO_XjpSFf1SNX-I_eRnQ42U0RDovX1xVUuFm5cOLaFA2pZudeg-XuPMObu0U1byMKzRdMimNlsr1f4gZutEAvXcQqhJGduqRDNq2vaL28a2B0I_L6iq-Jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:05.171Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAyNzYsImlhdCI6MTc1Mzk2OTk3NiwiYXV0aF90aW1lIjoxNzUzOTY5OTc1LCJqdGkiOiJlYWM1NzdjYi00NDg3LTRlODQtYjZkMC01Y2MwZDkwMjhjNzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hRyrozBkZMQv7TAQh4OxnaWTjT1u5J-D9G7hJXRHM_0xLNqYlCuZ9u_RjWs5j_Fg6GP_G_oT22GhWXrb5pvlJVosg3UaRVZtp5iBiUoywmy-8693-2an6MBGe5-n8UnaqZaQ6isxowra9DO7U_cbWVfjsliqcmw90o2vDrw9NuXJkSOSoDxS8CxydaxVUyMbYJV3zTbQhH3JZwWAvqgLWDizWBITuRzRlO_XjpSFf1SNX-I_eRnQ42U0RDovX1xVUuFm5cOLaFA2pZudeg-XuPMObu0U1byMKzRdMimNlsr1f4gZutEAvXcQqhJGduqRDNq2vaL28a2B0I_L6iq-Jw' failed: Establishing a tunnel via proxy server failed.
