[2025-07-31T13:53:46.261Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b5b95ef5-13fd-4c2f-8fc1-3f5aa74e480e&response_mode=fragment&response_type=code&scope=openid&nonce=79e40e72-d9b1-4803-840f-edb055247f98 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T13:53:46.262Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b5b95ef5-13fd-4c2f-8fc1-3f5aa74e480e&response_mode=fragment&response_type=code&scope=openid&nonce=79e40e72-d9b1-4803-840f-edb055247f98 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T13:53:48.264Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAzMjcsImlhdCI6MTc1Mzk3MDAyNywiYXV0aF90aW1lIjoxNzUzOTcwMDI2LCJqdGkiOiI1NTk0YmFjZi1iN2ViLTRiYjYtYTBkNi00Nzc1NTcwMmM4ZTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ksa849StMBJau9eOgBvXc62ITI5y2f7B_otpsCE32jNOO8l5IudThfohHqb5v8TLzb6yRg-uVpD5bFse5lJzhENZgZBcy2RH1d_FvqqNg66UUkYeFTVOGl93U29CqVlbxMY0Aa3ndXOcvc-9NTroWShxqybcbUvov5sD9HCAqueBNLRtR_ibiBPVuhPvIRyP79t_KGjQiy5zEK2sxbisYh0ePQgtGaF7k5BJkL1m81feVRiYZMecywLIhi02szhmuLWnAEfCUc5hLiCaDzlv7GKZWs4kZ9rGoAd-iFowCiKQRo6ae4pjlYVIIDKQ9sopx6JSbNuTQO66Vb0qsTns_A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:50.100Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAzMjcsImlhdCI6MTc1Mzk3MDAyNywiYXV0aF90aW1lIjoxNzUzOTcwMDI2LCJqdGkiOiI1NTk0YmFjZi1iN2ViLTRiYjYtYTBkNi00Nzc1NTcwMmM4ZTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ksa849StMBJau9eOgBvXc62ITI5y2f7B_otpsCE32jNOO8l5IudThfohHqb5v8TLzb6yRg-uVpD5bFse5lJzhENZgZBcy2RH1d_FvqqNg66UUkYeFTVOGl93U29CqVlbxMY0Aa3ndXOcvc-9NTroWShxqybcbUvov5sD9HCAqueBNLRtR_ibiBPVuhPvIRyP79t_KGjQiy5zEK2sxbisYh0ePQgtGaF7k5BJkL1m81feVRiYZMecywLIhi02szhmuLWnAEfCUc5hLiCaDzlv7GKZWs4kZ9rGoAd-iFowCiKQRo6ae4pjlYVIIDKQ9sopx6JSbNuTQO66Vb0qsTns_A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:52.107Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAzMjcsImlhdCI6MTc1Mzk3MDAyNywiYXV0aF90aW1lIjoxNzUzOTcwMDI2LCJqdGkiOiI1NTk0YmFjZi1iN2ViLTRiYjYtYTBkNi00Nzc1NTcwMmM4ZTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ksa849StMBJau9eOgBvXc62ITI5y2f7B_otpsCE32jNOO8l5IudThfohHqb5v8TLzb6yRg-uVpD5bFse5lJzhENZgZBcy2RH1d_FvqqNg66UUkYeFTVOGl93U29CqVlbxMY0Aa3ndXOcvc-9NTroWShxqybcbUvov5sD9HCAqueBNLRtR_ibiBPVuhPvIRyP79t_KGjQiy5zEK2sxbisYh0ePQgtGaF7k5BJkL1m81feVRiYZMecywLIhi02szhmuLWnAEfCUc5hLiCaDzlv7GKZWs4kZ9rGoAd-iFowCiKQRo6ae4pjlYVIIDKQ9sopx6JSbNuTQO66Vb0qsTns_A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:54.249Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAzMjcsImlhdCI6MTc1Mzk3MDAyNywiYXV0aF90aW1lIjoxNzUzOTcwMDI2LCJqdGkiOiI1NTk0YmFjZi1iN2ViLTRiYjYtYTBkNi00Nzc1NTcwMmM4ZTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ksa849StMBJau9eOgBvXc62ITI5y2f7B_otpsCE32jNOO8l5IudThfohHqb5v8TLzb6yRg-uVpD5bFse5lJzhENZgZBcy2RH1d_FvqqNg66UUkYeFTVOGl93U29CqVlbxMY0Aa3ndXOcvc-9NTroWShxqybcbUvov5sD9HCAqueBNLRtR_ibiBPVuhPvIRyP79t_KGjQiy5zEK2sxbisYh0ePQgtGaF7k5BJkL1m81feVRiYZMecywLIhi02szhmuLWnAEfCUc5hLiCaDzlv7GKZWs4kZ9rGoAd-iFowCiKQRo6ae4pjlYVIIDKQ9sopx6JSbNuTQO66Vb0qsTns_A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:56.167Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAzMjcsImlhdCI6MTc1Mzk3MDAyNywiYXV0aF90aW1lIjoxNzUzOTcwMDI2LCJqdGkiOiI1NTk0YmFjZi1iN2ViLTRiYjYtYTBkNi00Nzc1NTcwMmM4ZTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ksa849StMBJau9eOgBvXc62ITI5y2f7B_otpsCE32jNOO8l5IudThfohHqb5v8TLzb6yRg-uVpD5bFse5lJzhENZgZBcy2RH1d_FvqqNg66UUkYeFTVOGl93U29CqVlbxMY0Aa3ndXOcvc-9NTroWShxqybcbUvov5sD9HCAqueBNLRtR_ibiBPVuhPvIRyP79t_KGjQiy5zEK2sxbisYh0ePQgtGaF7k5BJkL1m81feVRiYZMecywLIhi02szhmuLWnAEfCUc5hLiCaDzlv7GKZWs4kZ9rGoAd-iFowCiKQRo6ae4pjlYVIIDKQ9sopx6JSbNuTQO66Vb0qsTns_A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:53:58.297Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAzMjcsImlhdCI6MTc1Mzk3MDAyNywiYXV0aF90aW1lIjoxNzUzOTcwMDI2LCJqdGkiOiI1NTk0YmFjZi1iN2ViLTRiYjYtYTBkNi00Nzc1NTcwMmM4ZTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ksa849StMBJau9eOgBvXc62ITI5y2f7B_otpsCE32jNOO8l5IudThfohHqb5v8TLzb6yRg-uVpD5bFse5lJzhENZgZBcy2RH1d_FvqqNg66UUkYeFTVOGl93U29CqVlbxMY0Aa3ndXOcvc-9NTroWShxqybcbUvov5sD9HCAqueBNLRtR_ibiBPVuhPvIRyP79t_KGjQiy5zEK2sxbisYh0ePQgtGaF7k5BJkL1m81feVRiYZMecywLIhi02szhmuLWnAEfCUc5hLiCaDzlv7GKZWs4kZ9rGoAd-iFowCiKQRo6ae4pjlYVIIDKQ9sopx6JSbNuTQO66Vb0qsTns_A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T13:54:00.253Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzAzMjcsImlhdCI6MTc1Mzk3MDAyNywiYXV0aF90aW1lIjoxNzUzOTcwMDI2LCJqdGkiOiI1NTk0YmFjZi1iN2ViLTRiYjYtYTBkNi00Nzc1NTcwMmM4ZTUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ksa849StMBJau9eOgBvXc62ITI5y2f7B_otpsCE32jNOO8l5IudThfohHqb5v8TLzb6yRg-uVpD5bFse5lJzhENZgZBcy2RH1d_FvqqNg66UUkYeFTVOGl93U29CqVlbxMY0Aa3ndXOcvc-9NTroWShxqybcbUvov5sD9HCAqueBNLRtR_ibiBPVuhPvIRyP79t_KGjQiy5zEK2sxbisYh0ePQgtGaF7k5BJkL1m81feVRiYZMecywLIhi02szhmuLWnAEfCUc5hLiCaDzlv7GKZWs4kZ9rGoAd-iFowCiKQRo6ae4pjlYVIIDKQ9sopx6JSbNuTQO66Vb0qsTns_A' failed: Establishing a tunnel via proxy server failed.

