[2025-07-31T14:01:42.519Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c88f14c4-4c6c-4b24-8494-760e6d568608&response_mode=fragment&response_type=code&scope=openid&nonce=822c4e41-0d33-4504-af29-33a2ef354b4f - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T14:01:42.520Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c88f14c4-4c6c-4b24-8494-760e6d568608&response_mode=fragment&response_type=code&scope=openid&nonce=822c4e41-0d33-4504-af29-33a2ef354b4f - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T14:01:44.699Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA4MDMsImlhdCI6MTc1Mzk3MDUwMywiYXV0aF90aW1lIjoxNzUzOTcwNTAyLCJqdGkiOiJhOGNiYWY5NS1iNDI2LTRiODYtYmEzMy0xYzk1N2U4MzA4YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Kd6xsaBAACuhhJNAiHq-3ZyQIfbFa4huP6xfbr3Zb2oveD5UowtLw-SqvPiFLQOV3GgafgU-LNUXiuPWkdduh1PqTtjdss4g_W6lVxwXqK9oNaLHhaTa_Rk8z3N28PvqoIZpPr9uunkCgb6aQBpOxocf8MVfiPITDpBG7sLcPx1VHHRyHsVfiAFDZDx0plHmITJcxSlvuDgH-RGFXI703KCoH1XwDhgoQKdTbqifz5vECONfXf9EIsTqX2v6hH1TXTcSu896skv7fuRmkDJG4D-eBMrQm7PAz9h5PoFUlDtbrrzpziQTD-Bw_KMesnYJnE4dCDdsxH0SzNtcKwEO6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:01:46.757Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA4MDMsImlhdCI6MTc1Mzk3MDUwMywiYXV0aF90aW1lIjoxNzUzOTcwNTAyLCJqdGkiOiJhOGNiYWY5NS1iNDI2LTRiODYtYmEzMy0xYzk1N2U4MzA4YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Kd6xsaBAACuhhJNAiHq-3ZyQIfbFa4huP6xfbr3Zb2oveD5UowtLw-SqvPiFLQOV3GgafgU-LNUXiuPWkdduh1PqTtjdss4g_W6lVxwXqK9oNaLHhaTa_Rk8z3N28PvqoIZpPr9uunkCgb6aQBpOxocf8MVfiPITDpBG7sLcPx1VHHRyHsVfiAFDZDx0plHmITJcxSlvuDgH-RGFXI703KCoH1XwDhgoQKdTbqifz5vECONfXf9EIsTqX2v6hH1TXTcSu896skv7fuRmkDJG4D-eBMrQm7PAz9h5PoFUlDtbrrzpziQTD-Bw_KMesnYJnE4dCDdsxH0SzNtcKwEO6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:01:48.791Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA4MDMsImlhdCI6MTc1Mzk3MDUwMywiYXV0aF90aW1lIjoxNzUzOTcwNTAyLCJqdGkiOiJhOGNiYWY5NS1iNDI2LTRiODYtYmEzMy0xYzk1N2U4MzA4YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Kd6xsaBAACuhhJNAiHq-3ZyQIfbFa4huP6xfbr3Zb2oveD5UowtLw-SqvPiFLQOV3GgafgU-LNUXiuPWkdduh1PqTtjdss4g_W6lVxwXqK9oNaLHhaTa_Rk8z3N28PvqoIZpPr9uunkCgb6aQBpOxocf8MVfiPITDpBG7sLcPx1VHHRyHsVfiAFDZDx0plHmITJcxSlvuDgH-RGFXI703KCoH1XwDhgoQKdTbqifz5vECONfXf9EIsTqX2v6hH1TXTcSu896skv7fuRmkDJG4D-eBMrQm7PAz9h5PoFUlDtbrrzpziQTD-Bw_KMesnYJnE4dCDdsxH0SzNtcKwEO6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:01:50.797Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA4MDMsImlhdCI6MTc1Mzk3MDUwMywiYXV0aF90aW1lIjoxNzUzOTcwNTAyLCJqdGkiOiJhOGNiYWY5NS1iNDI2LTRiODYtYmEzMy0xYzk1N2U4MzA4YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Kd6xsaBAACuhhJNAiHq-3ZyQIfbFa4huP6xfbr3Zb2oveD5UowtLw-SqvPiFLQOV3GgafgU-LNUXiuPWkdduh1PqTtjdss4g_W6lVxwXqK9oNaLHhaTa_Rk8z3N28PvqoIZpPr9uunkCgb6aQBpOxocf8MVfiPITDpBG7sLcPx1VHHRyHsVfiAFDZDx0plHmITJcxSlvuDgH-RGFXI703KCoH1XwDhgoQKdTbqifz5vECONfXf9EIsTqX2v6hH1TXTcSu896skv7fuRmkDJG4D-eBMrQm7PAz9h5PoFUlDtbrrzpziQTD-Bw_KMesnYJnE4dCDdsxH0SzNtcKwEO6A' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:01:52.807Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA4MDMsImlhdCI6MTc1Mzk3MDUwMywiYXV0aF90aW1lIjoxNzUzOTcwNTAyLCJqdGkiOiJhOGNiYWY5NS1iNDI2LTRiODYtYmEzMy0xYzk1N2U4MzA4YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Kd6xsaBAACuhhJNAiHq-3ZyQIfbFa4huP6xfbr3Zb2oveD5UowtLw-SqvPiFLQOV3GgafgU-LNUXiuPWkdduh1PqTtjdss4g_W6lVxwXqK9oNaLHhaTa_Rk8z3N28PvqoIZpPr9uunkCgb6aQBpOxocf8MVfiPITDpBG7sLcPx1VHHRyHsVfiAFDZDx0plHmITJcxSlvuDgH-RGFXI703KCoH1XwDhgoQKdTbqifz5vECONfXf9EIsTqX2v6hH1TXTcSu896skv7fuRmkDJG4D-eBMrQm7PAz9h5PoFUlDtbrrzpziQTD-Bw_KMesnYJnE4dCDdsxH0SzNtcKwEO6A' failed: Establishing a tunnel via proxy server failed.
