[2025-07-31T14:04:42.621Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2919fdfc-21e3-4fc6-8ae6-272099edd8fa&response_mode=fragment&response_type=code&scope=openid&nonce=81b9968a-aaf0-4ed3-8067-e0fb638c6b47 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T14:04:42.623Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2919fdfc-21e3-4fc6-8ae6-272099edd8fa&response_mode=fragment&response_type=code&scope=openid&nonce=81b9968a-aaf0-4ed3-8067-e0fb638c6b47 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T14:04:44.717Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA5ODMsImlhdCI6MTc1Mzk3MDY4MywiYXV0aF90aW1lIjoxNzUzOTcwNjgyLCJqdGkiOiI0ODU1NTEzNC01NWIzLTQwM2YtYmRkMy00OTY5N2QyYmNmZmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nvMq41N5cEg0XWkaufpI9_zGcYOX1ZYRD0p8pL0f7Qz6pA36F1_9DErQXnEyShgUbTiKJNS5efjH7ZFwCXOT2xu4m25StPmby7vbIcmBt5L_RF5aG1REIS7gBCHNU634rIkj9K_AGdEV0jyVvKOqj4UHd_tI1bbmZ798EhLNl5GVnZ9W8kpHivLTeMxy_dDng7SyLMVs8CtJp2DzU-jA2prV-_gb3n5wc23fMPvY_A6zxchVSopuxkm56MSNgwISxI7ZAsWPoeVsaLdWNYAsO2ykqzqz4oWbWMYhhAEaHvze6gSatf-Io6qudKQ9hK7XV_CD2Ge7mCZsUPyKAAe0Kw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:04:46.754Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA5ODMsImlhdCI6MTc1Mzk3MDY4MywiYXV0aF90aW1lIjoxNzUzOTcwNjgyLCJqdGkiOiI0ODU1NTEzNC01NWIzLTQwM2YtYmRkMy00OTY5N2QyYmNmZmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nvMq41N5cEg0XWkaufpI9_zGcYOX1ZYRD0p8pL0f7Qz6pA36F1_9DErQXnEyShgUbTiKJNS5efjH7ZFwCXOT2xu4m25StPmby7vbIcmBt5L_RF5aG1REIS7gBCHNU634rIkj9K_AGdEV0jyVvKOqj4UHd_tI1bbmZ798EhLNl5GVnZ9W8kpHivLTeMxy_dDng7SyLMVs8CtJp2DzU-jA2prV-_gb3n5wc23fMPvY_A6zxchVSopuxkm56MSNgwISxI7ZAsWPoeVsaLdWNYAsO2ykqzqz4oWbWMYhhAEaHvze6gSatf-Io6qudKQ9hK7XV_CD2Ge7mCZsUPyKAAe0Kw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:04:48.765Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA5ODMsImlhdCI6MTc1Mzk3MDY4MywiYXV0aF90aW1lIjoxNzUzOTcwNjgyLCJqdGkiOiI0ODU1NTEzNC01NWIzLTQwM2YtYmRkMy00OTY5N2QyYmNmZmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nvMq41N5cEg0XWkaufpI9_zGcYOX1ZYRD0p8pL0f7Qz6pA36F1_9DErQXnEyShgUbTiKJNS5efjH7ZFwCXOT2xu4m25StPmby7vbIcmBt5L_RF5aG1REIS7gBCHNU634rIkj9K_AGdEV0jyVvKOqj4UHd_tI1bbmZ798EhLNl5GVnZ9W8kpHivLTeMxy_dDng7SyLMVs8CtJp2DzU-jA2prV-_gb3n5wc23fMPvY_A6zxchVSopuxkm56MSNgwISxI7ZAsWPoeVsaLdWNYAsO2ykqzqz4oWbWMYhhAEaHvze6gSatf-Io6qudKQ9hK7XV_CD2Ge7mCZsUPyKAAe0Kw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:04:50.813Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA5ODMsImlhdCI6MTc1Mzk3MDY4MywiYXV0aF90aW1lIjoxNzUzOTcwNjgyLCJqdGkiOiI0ODU1NTEzNC01NWIzLTQwM2YtYmRkMy00OTY5N2QyYmNmZmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nvMq41N5cEg0XWkaufpI9_zGcYOX1ZYRD0p8pL0f7Qz6pA36F1_9DErQXnEyShgUbTiKJNS5efjH7ZFwCXOT2xu4m25StPmby7vbIcmBt5L_RF5aG1REIS7gBCHNU634rIkj9K_AGdEV0jyVvKOqj4UHd_tI1bbmZ798EhLNl5GVnZ9W8kpHivLTeMxy_dDng7SyLMVs8CtJp2DzU-jA2prV-_gb3n5wc23fMPvY_A6zxchVSopuxkm56MSNgwISxI7ZAsWPoeVsaLdWNYAsO2ykqzqz4oWbWMYhhAEaHvze6gSatf-Io6qudKQ9hK7XV_CD2Ge7mCZsUPyKAAe0Kw' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:04:52.839Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzA5ODMsImlhdCI6MTc1Mzk3MDY4MywiYXV0aF90aW1lIjoxNzUzOTcwNjgyLCJqdGkiOiI0ODU1NTEzNC01NWIzLTQwM2YtYmRkMy00OTY5N2QyYmNmZmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.nvMq41N5cEg0XWkaufpI9_zGcYOX1ZYRD0p8pL0f7Qz6pA36F1_9DErQXnEyShgUbTiKJNS5efjH7ZFwCXOT2xu4m25StPmby7vbIcmBt5L_RF5aG1REIS7gBCHNU634rIkj9K_AGdEV0jyVvKOqj4UHd_tI1bbmZ798EhLNl5GVnZ9W8kpHivLTeMxy_dDng7SyLMVs8CtJp2DzU-jA2prV-_gb3n5wc23fMPvY_A6zxchVSopuxkm56MSNgwISxI7ZAsWPoeVsaLdWNYAsO2ykqzqz4oWbWMYhhAEaHvze6gSatf-Io6qudKQ9hK7XV_CD2Ge7mCZsUPyKAAe0Kw' failed: Establishing a tunnel via proxy server failed.
