[2025-07-31T14:05:48.657Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=64dea728-992e-4d35-aeaa-9c8138676006&response_mode=fragment&response_type=code&scope=openid&nonce=346694f9-42a3-4d14-8885-8f7e22619ae9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/ifi5d/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-31T14:05:48.659Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=64dea728-992e-4d35-aeaa-9c8138676006&response_mode=fragment&response_type=code&scope=openid&nonce=346694f9-42a3-4d14-8885-8f7e22619ae9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-31T14:05:50.628Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzEwNDksImlhdCI6MTc1Mzk3MDc0OSwiYXV0aF90aW1lIjoxNzUzOTcwNzQ4LCJqdGkiOiIzN2U2ZmQ2Ni0xNmQyLTQ5M2QtOWJjOS1mM2JhNjA2ODVmOWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FLYQj_65HYTauE_f6CDIJLeA8wklPxvePtRyIvX8OYoBkMvz6kjpTvJ6cKQcSyxQu8Ybe18Donyv3ykf9QkFkvNnkQjVnpPhMldXnl-5cIJ_RIP3NvFzPtt_1kD_iPT6WMfTQH3AWGcm46bBK_EBHZN6L_dDfesnv2c5C5gKp70N2sWGLeStSY4k2m4sXEgJFlCbMRstdelf4HZ3CUrZMCXWiv2jA05H1oRNevp8_46DJNnqna-h_wKm5djpJ3QDen8oxOoEnH8nHyXnHs9BMCsONqnrkudcx4DLSKfofqseigA_ztWVozmodATwBkSHIBDnrriLEDTn0gHVAzR6ow' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:05:52.674Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzEwNDksImlhdCI6MTc1Mzk3MDc0OSwiYXV0aF90aW1lIjoxNzUzOTcwNzQ4LCJqdGkiOiIzN2U2ZmQ2Ni0xNmQyLTQ5M2QtOWJjOS1mM2JhNjA2ODVmOWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FLYQj_65HYTauE_f6CDIJLeA8wklPxvePtRyIvX8OYoBkMvz6kjpTvJ6cKQcSyxQu8Ybe18Donyv3ykf9QkFkvNnkQjVnpPhMldXnl-5cIJ_RIP3NvFzPtt_1kD_iPT6WMfTQH3AWGcm46bBK_EBHZN6L_dDfesnv2c5C5gKp70N2sWGLeStSY4k2m4sXEgJFlCbMRstdelf4HZ3CUrZMCXWiv2jA05H1oRNevp8_46DJNnqna-h_wKm5djpJ3QDen8oxOoEnH8nHyXnHs9BMCsONqnrkudcx4DLSKfofqseigA_ztWVozmodATwBkSHIBDnrriLEDTn0gHVAzR6ow' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:05:54.690Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzEwNDksImlhdCI6MTc1Mzk3MDc0OSwiYXV0aF90aW1lIjoxNzUzOTcwNzQ4LCJqdGkiOiIzN2U2ZmQ2Ni0xNmQyLTQ5M2QtOWJjOS1mM2JhNjA2ODVmOWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FLYQj_65HYTauE_f6CDIJLeA8wklPxvePtRyIvX8OYoBkMvz6kjpTvJ6cKQcSyxQu8Ybe18Donyv3ykf9QkFkvNnkQjVnpPhMldXnl-5cIJ_RIP3NvFzPtt_1kD_iPT6WMfTQH3AWGcm46bBK_EBHZN6L_dDfesnv2c5C5gKp70N2sWGLeStSY4k2m4sXEgJFlCbMRstdelf4HZ3CUrZMCXWiv2jA05H1oRNevp8_46DJNnqna-h_wKm5djpJ3QDen8oxOoEnH8nHyXnHs9BMCsONqnrkudcx4DLSKfofqseigA_ztWVozmodATwBkSHIBDnrriLEDTn0gHVAzR6ow' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:05:56.702Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzEwNDksImlhdCI6MTc1Mzk3MDc0OSwiYXV0aF90aW1lIjoxNzUzOTcwNzQ4LCJqdGkiOiIzN2U2ZmQ2Ni0xNmQyLTQ5M2QtOWJjOS1mM2JhNjA2ODVmOWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FLYQj_65HYTauE_f6CDIJLeA8wklPxvePtRyIvX8OYoBkMvz6kjpTvJ6cKQcSyxQu8Ybe18Donyv3ykf9QkFkvNnkQjVnpPhMldXnl-5cIJ_RIP3NvFzPtt_1kD_iPT6WMfTQH3AWGcm46bBK_EBHZN6L_dDfesnv2c5C5gKp70N2sWGLeStSY4k2m4sXEgJFlCbMRstdelf4HZ3CUrZMCXWiv2jA05H1oRNevp8_46DJNnqna-h_wKm5djpJ3QDen8oxOoEnH8nHyXnHs9BMCsONqnrkudcx4DLSKfofqseigA_ztWVozmodATwBkSHIBDnrriLEDTn0gHVAzR6ow' failed: Establishing a tunnel via proxy server failed.

[2025-07-31T14:05:58.745Z] [SEVERE] http://localhost:81/ui/static/js/main.c2dc4d28.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTM5NzEwNDksImlhdCI6MTc1Mzk3MDc0OSwiYXV0aF90aW1lIjoxNzUzOTcwNzQ4LCJqdGkiOiIzN2U2ZmQ2Ni0xNmQyLTQ5M2QtOWJjOS1mM2JhNjA2ODVmOWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FLYQj_65HYTauE_f6CDIJLeA8wklPxvePtRyIvX8OYoBkMvz6kjpTvJ6cKQcSyxQu8Ybe18Donyv3ykf9QkFkvNnkQjVnpPhMldXnl-5cIJ_RIP3NvFzPtt_1kD_iPT6WMfTQH3AWGcm46bBK_EBHZN6L_dDfesnv2c5C5gKp70N2sWGLeStSY4k2m4sXEgJFlCbMRstdelf4HZ3CUrZMCXWiv2jA05H1oRNevp8_46DJNnqna-h_wKm5djpJ3QDen8oxOoEnH8nHyXnHs9BMCsONqnrkudcx4DLSKfofqseigA_ztWVozmodATwBkSHIBDnrriLEDTn0gHVAzR6ow' failed: Establishing a tunnel via proxy server failed.
