[2025-05-06T12:26:13.232Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b631e598-479f-4f2f-8440-68e3644675dc&response_mode=fragment&response_type=code&scope=openid&nonce=fa379a89-8a6a-446e-b215-41de35aa0f8a - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/u81jo/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-05-06T12:26:13.234Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b631e598-479f-4f2f-8440-68e3644675dc&response_mode=fragment&response_type=code&scope=openid&nonce=fa379a89-8a6a-446e-b215-41de35aa0f8a - Autofocus processing was blocked because a document already has a focused element.

[2025-05-06T12:26:15.580Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ2NzQsImlhdCI6MTc0NjUzNDM3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MzczLCJqdGkiOiIzYjc0ZjE5OC1lYjhhLTRkNmYtOGViNi1jODZjYzc1MjQyNDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NhdJgbXdErYZOBqiR_1LV00c2HUuMn4J_h0tf7tYeEBOvycELc-f0dN4JC4vRyk3oqiPj8rCJbL2nQqgjoi_vQntVcKOUSuqjQXQByfat1rYBSTKj0xjqMhfDluMb4Z3DVniHPzL4e5w8TzX-XRon5YlXIJ5iVVqJXkOa2Am7W2wd1m9JSX3q6WfIEow805uvXsPS9ablFoeCFXEyxWkMU6-YpQRj8TYNCfypiLoWDw7sxL0thT3JxCczNPRwHhttx0YE-MhkyiRc8_OByrwoGO3TH2mSeeiqcXdfnPZsBhAUHu9oo2jGxHkJ2ro5DP1rHQSQMFmTDaD7z4R7acWXw' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:26:17.585Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ2NzQsImlhdCI6MTc0NjUzNDM3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MzczLCJqdGkiOiIzYjc0ZjE5OC1lYjhhLTRkNmYtOGViNi1jODZjYzc1MjQyNDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NhdJgbXdErYZOBqiR_1LV00c2HUuMn4J_h0tf7tYeEBOvycELc-f0dN4JC4vRyk3oqiPj8rCJbL2nQqgjoi_vQntVcKOUSuqjQXQByfat1rYBSTKj0xjqMhfDluMb4Z3DVniHPzL4e5w8TzX-XRon5YlXIJ5iVVqJXkOa2Am7W2wd1m9JSX3q6WfIEow805uvXsPS9ablFoeCFXEyxWkMU6-YpQRj8TYNCfypiLoWDw7sxL0thT3JxCczNPRwHhttx0YE-MhkyiRc8_OByrwoGO3TH2mSeeiqcXdfnPZsBhAUHu9oo2jGxHkJ2ro5DP1rHQSQMFmTDaD7z4R7acWXw' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:26:19.590Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ2NzQsImlhdCI6MTc0NjUzNDM3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MzczLCJqdGkiOiIzYjc0ZjE5OC1lYjhhLTRkNmYtOGViNi1jODZjYzc1MjQyNDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NhdJgbXdErYZOBqiR_1LV00c2HUuMn4J_h0tf7tYeEBOvycELc-f0dN4JC4vRyk3oqiPj8rCJbL2nQqgjoi_vQntVcKOUSuqjQXQByfat1rYBSTKj0xjqMhfDluMb4Z3DVniHPzL4e5w8TzX-XRon5YlXIJ5iVVqJXkOa2Am7W2wd1m9JSX3q6WfIEow805uvXsPS9ablFoeCFXEyxWkMU6-YpQRj8TYNCfypiLoWDw7sxL0thT3JxCczNPRwHhttx0YE-MhkyiRc8_OByrwoGO3TH2mSeeiqcXdfnPZsBhAUHu9oo2jGxHkJ2ro5DP1rHQSQMFmTDaD7z4R7acWXw' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:26:21.609Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ2NzQsImlhdCI6MTc0NjUzNDM3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MzczLCJqdGkiOiIzYjc0ZjE5OC1lYjhhLTRkNmYtOGViNi1jODZjYzc1MjQyNDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NhdJgbXdErYZOBqiR_1LV00c2HUuMn4J_h0tf7tYeEBOvycELc-f0dN4JC4vRyk3oqiPj8rCJbL2nQqgjoi_vQntVcKOUSuqjQXQByfat1rYBSTKj0xjqMhfDluMb4Z3DVniHPzL4e5w8TzX-XRon5YlXIJ5iVVqJXkOa2Am7W2wd1m9JSX3q6WfIEow805uvXsPS9ablFoeCFXEyxWkMU6-YpQRj8TYNCfypiLoWDw7sxL0thT3JxCczNPRwHhttx0YE-MhkyiRc8_OByrwoGO3TH2mSeeiqcXdfnPZsBhAUHu9oo2jGxHkJ2ro5DP1rHQSQMFmTDaD7z4R7acWXw' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:26:23.678Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ2NzQsImlhdCI6MTc0NjUzNDM3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MzczLCJqdGkiOiIzYjc0ZjE5OC1lYjhhLTRkNmYtOGViNi1jODZjYzc1MjQyNDQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.NhdJgbXdErYZOBqiR_1LV00c2HUuMn4J_h0tf7tYeEBOvycELc-f0dN4JC4vRyk3oqiPj8rCJbL2nQqgjoi_vQntVcKOUSuqjQXQByfat1rYBSTKj0xjqMhfDluMb4Z3DVniHPzL4e5w8TzX-XRon5YlXIJ5iVVqJXkOa2Am7W2wd1m9JSX3q6WfIEow805uvXsPS9ablFoeCFXEyxWkMU6-YpQRj8TYNCfypiLoWDw7sxL0thT3JxCczNPRwHhttx0YE-MhkyiRc8_OByrwoGO3TH2mSeeiqcXdfnPZsBhAUHu9oo2jGxHkJ2ro5DP1rHQSQMFmTDaD7z4R7acWXw' failed: Establishing a tunnel via proxy server failed.
