[2025-05-06T12:24:33.162Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=35c9cb13-ea69-4fac-8615-a4eb360971da&response_mode=fragment&response_type=code&scope=openid&nonce=27ab4f9c-88cc-4007-81e9-73986ba7db50 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/u81jo/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-05-06T12:24:33.164Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=35c9cb13-ea69-4fac-8615-a4eb360971da&response_mode=fragment&response_type=code&scope=openid&nonce=27ab4f9c-88cc-4007-81e9-73986ba7db50 - Autofocus processing was blocked because a document already has a focused element.

[2025-05-06T12:24:35.477Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ1NzQsImlhdCI6MTc0NjUzNDI3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MjczLCJqdGkiOiJjZjYxMDRjNC1hZGUyLTQ1ZWYtOWI4YS1iYWE4NTc3YThjM2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VSCVVZc1a4Cc3BI3Z87qnbGCjKOeaB36kT8yuIOETHW-HuLmkMBeiFx9lBxtlTeRf-tWdIFtvpyG54nWnKUMvqYGLW8Udll99QrngxhENZPzA4ca9LdU0O9aKOSw4NX3BTnLus0G253F8w73GReJIqNKl74j866kT_AasgvVRTrk2o6alquhpU7w_57XDnQXZhYpDWoJj16FZQ2EWhx_qIKZEuvhtSlZ_t4_aan_mIbMdJIfHVUVBUU_pTssn3rzombW8fkWX3V3qXCnIdEZeP2ah1Bl4D6UmZOQJyVs9GCZXO5q_LAXDSouHXUTXN_TTrIsInk2uhTJGsE3koyVhA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:24:37.483Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ1NzQsImlhdCI6MTc0NjUzNDI3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MjczLCJqdGkiOiJjZjYxMDRjNC1hZGUyLTQ1ZWYtOWI4YS1iYWE4NTc3YThjM2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VSCVVZc1a4Cc3BI3Z87qnbGCjKOeaB36kT8yuIOETHW-HuLmkMBeiFx9lBxtlTeRf-tWdIFtvpyG54nWnKUMvqYGLW8Udll99QrngxhENZPzA4ca9LdU0O9aKOSw4NX3BTnLus0G253F8w73GReJIqNKl74j866kT_AasgvVRTrk2o6alquhpU7w_57XDnQXZhYpDWoJj16FZQ2EWhx_qIKZEuvhtSlZ_t4_aan_mIbMdJIfHVUVBUU_pTssn3rzombW8fkWX3V3qXCnIdEZeP2ah1Bl4D6UmZOQJyVs9GCZXO5q_LAXDSouHXUTXN_TTrIsInk2uhTJGsE3koyVhA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:24:39.491Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ1NzQsImlhdCI6MTc0NjUzNDI3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MjczLCJqdGkiOiJjZjYxMDRjNC1hZGUyLTQ1ZWYtOWI4YS1iYWE4NTc3YThjM2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VSCVVZc1a4Cc3BI3Z87qnbGCjKOeaB36kT8yuIOETHW-HuLmkMBeiFx9lBxtlTeRf-tWdIFtvpyG54nWnKUMvqYGLW8Udll99QrngxhENZPzA4ca9LdU0O9aKOSw4NX3BTnLus0G253F8w73GReJIqNKl74j866kT_AasgvVRTrk2o6alquhpU7w_57XDnQXZhYpDWoJj16FZQ2EWhx_qIKZEuvhtSlZ_t4_aan_mIbMdJIfHVUVBUU_pTssn3rzombW8fkWX3V3qXCnIdEZeP2ah1Bl4D6UmZOQJyVs9GCZXO5q_LAXDSouHXUTXN_TTrIsInk2uhTJGsE3koyVhA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:24:41.611Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ1NzQsImlhdCI6MTc0NjUzNDI3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MjczLCJqdGkiOiJjZjYxMDRjNC1hZGUyLTQ1ZWYtOWI4YS1iYWE4NTc3YThjM2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VSCVVZc1a4Cc3BI3Z87qnbGCjKOeaB36kT8yuIOETHW-HuLmkMBeiFx9lBxtlTeRf-tWdIFtvpyG54nWnKUMvqYGLW8Udll99QrngxhENZPzA4ca9LdU0O9aKOSw4NX3BTnLus0G253F8w73GReJIqNKl74j866kT_AasgvVRTrk2o6alquhpU7w_57XDnQXZhYpDWoJj16FZQ2EWhx_qIKZEuvhtSlZ_t4_aan_mIbMdJIfHVUVBUU_pTssn3rzombW8fkWX3V3qXCnIdEZeP2ah1Bl4D6UmZOQJyVs9GCZXO5q_LAXDSouHXUTXN_TTrIsInk2uhTJGsE3koyVhA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:24:43.673Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ1NzQsImlhdCI6MTc0NjUzNDI3NCwiYXV0aF90aW1lIjoxNzQ2NTM0MjczLCJqdGkiOiJjZjYxMDRjNC1hZGUyLTQ1ZWYtOWI4YS1iYWE4NTc3YThjM2IiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.VSCVVZc1a4Cc3BI3Z87qnbGCjKOeaB36kT8yuIOETHW-HuLmkMBeiFx9lBxtlTeRf-tWdIFtvpyG54nWnKUMvqYGLW8Udll99QrngxhENZPzA4ca9LdU0O9aKOSw4NX3BTnLus0G253F8w73GReJIqNKl74j866kT_AasgvVRTrk2o6alquhpU7w_57XDnQXZhYpDWoJj16FZQ2EWhx_qIKZEuvhtSlZ_t4_aan_mIbMdJIfHVUVBUU_pTssn3rzombW8fkWX3V3qXCnIdEZeP2ah1Bl4D6UmZOQJyVs9GCZXO5q_LAXDSouHXUTXN_TTrIsInk2uhTJGsE3koyVhA' failed: Establishing a tunnel via proxy server failed.
