[2025-05-06T12:27:09.054Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a7854965-0f01-45cf-b4ef-c9345104bac5&response_mode=fragment&response_type=code&scope=openid&nonce=fcc7244e-49fb-45ec-9556-99408579810e - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/u81jo/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-05-06T12:27:09.056Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=a7854965-0f01-45cf-b4ef-c9345104bac5&response_mode=fragment&response_type=code&scope=openid&nonce=fcc7244e-49fb-45ec-9556-99408579810e - Autofocus processing was blocked because a document already has a focused element.

[2025-05-06T12:27:11.391Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ3MzAsImlhdCI6MTc0NjUzNDQzMCwiYXV0aF90aW1lIjoxNzQ2NTM0NDI5LCJqdGkiOiJhY2ZlMTM3NC04Zjc2LTQ3ZGUtYjIxNi1iODZkOGM4N2M4NGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.N6wqUK3gUIOh799UTJ0RTejp-fK8E3WGu5pEb2jeefhq1CLW4TN_d0BoipLUl_zUje_lMvEKYBUu-Z0caE3Qnw2H9qDb7jU8bIa6TpZuCU0TRo5ONGMigz0MB2qm5-rBeumn-IhiQUUXI5QqfZqNhiycmJZGbvEJCXGCOmDXtGdpH5s3dy0DgB8bUwtkcM7dUGpnPKE_RnBdfxJtFjKfMJ5btTnpzL6PLXwsnAqSlybCiVkuqeWkC5rpa_9CqSAN4-EVHfED-oHH-8Ha1m9BlfhjDdEFW6w3ywfy-Vr-Beo8xQuZVXzqSl-8VZCd_OmBjU0AsbwGilpe_MIPX21sfA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:27:13.412Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ3MzAsImlhdCI6MTc0NjUzNDQzMCwiYXV0aF90aW1lIjoxNzQ2NTM0NDI5LCJqdGkiOiJhY2ZlMTM3NC04Zjc2LTQ3ZGUtYjIxNi1iODZkOGM4N2M4NGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.N6wqUK3gUIOh799UTJ0RTejp-fK8E3WGu5pEb2jeefhq1CLW4TN_d0BoipLUl_zUje_lMvEKYBUu-Z0caE3Qnw2H9qDb7jU8bIa6TpZuCU0TRo5ONGMigz0MB2qm5-rBeumn-IhiQUUXI5QqfZqNhiycmJZGbvEJCXGCOmDXtGdpH5s3dy0DgB8bUwtkcM7dUGpnPKE_RnBdfxJtFjKfMJ5btTnpzL6PLXwsnAqSlybCiVkuqeWkC5rpa_9CqSAN4-EVHfED-oHH-8Ha1m9BlfhjDdEFW6w3ywfy-Vr-Beo8xQuZVXzqSl-8VZCd_OmBjU0AsbwGilpe_MIPX21sfA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:27:15.417Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ3MzAsImlhdCI6MTc0NjUzNDQzMCwiYXV0aF90aW1lIjoxNzQ2NTM0NDI5LCJqdGkiOiJhY2ZlMTM3NC04Zjc2LTQ3ZGUtYjIxNi1iODZkOGM4N2M4NGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.N6wqUK3gUIOh799UTJ0RTejp-fK8E3WGu5pEb2jeefhq1CLW4TN_d0BoipLUl_zUje_lMvEKYBUu-Z0caE3Qnw2H9qDb7jU8bIa6TpZuCU0TRo5ONGMigz0MB2qm5-rBeumn-IhiQUUXI5QqfZqNhiycmJZGbvEJCXGCOmDXtGdpH5s3dy0DgB8bUwtkcM7dUGpnPKE_RnBdfxJtFjKfMJ5btTnpzL6PLXwsnAqSlybCiVkuqeWkC5rpa_9CqSAN4-EVHfED-oHH-8Ha1m9BlfhjDdEFW6w3ywfy-Vr-Beo8xQuZVXzqSl-8VZCd_OmBjU0AsbwGilpe_MIPX21sfA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:27:17.473Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ3MzAsImlhdCI6MTc0NjUzNDQzMCwiYXV0aF90aW1lIjoxNzQ2NTM0NDI5LCJqdGkiOiJhY2ZlMTM3NC04Zjc2LTQ3ZGUtYjIxNi1iODZkOGM4N2M4NGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.N6wqUK3gUIOh799UTJ0RTejp-fK8E3WGu5pEb2jeefhq1CLW4TN_d0BoipLUl_zUje_lMvEKYBUu-Z0caE3Qnw2H9qDb7jU8bIa6TpZuCU0TRo5ONGMigz0MB2qm5-rBeumn-IhiQUUXI5QqfZqNhiycmJZGbvEJCXGCOmDXtGdpH5s3dy0DgB8bUwtkcM7dUGpnPKE_RnBdfxJtFjKfMJ5btTnpzL6PLXwsnAqSlybCiVkuqeWkC5rpa_9CqSAN4-EVHfED-oHH-8Ha1m9BlfhjDdEFW6w3ywfy-Vr-Beo8xQuZVXzqSl-8VZCd_OmBjU0AsbwGilpe_MIPX21sfA' failed: Establishing a tunnel via proxy server failed.

[2025-05-06T12:27:19.539Z] [SEVERE] http://localhost:81/ui/static/js/main.d43ac050.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDY1MzQ3MzAsImlhdCI6MTc0NjUzNDQzMCwiYXV0aF90aW1lIjoxNzQ2NTM0NDI5LCJqdGkiOiJhY2ZlMTM3NC04Zjc2LTQ3ZGUtYjIxNi1iODZkOGM4N2M4NGQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.N6wqUK3gUIOh799UTJ0RTejp-fK8E3WGu5pEb2jeefhq1CLW4TN_d0BoipLUl_zUje_lMvEKYBUu-Z0caE3Qnw2H9qDb7jU8bIa6TpZuCU0TRo5ONGMigz0MB2qm5-rBeumn-IhiQUUXI5QqfZqNhiycmJZGbvEJCXGCOmDXtGdpH5s3dy0DgB8bUwtkcM7dUGpnPKE_RnBdfxJtFjKfMJ5btTnpzL6PLXwsnAqSlybCiVkuqeWkC5rpa_9CqSAN4-EVHfED-oHH-8Ha1m9BlfhjDdEFW6w3ywfy-Vr-Beo8xQuZVXzqSl-8VZCd_OmBjU0AsbwGilpe_MIPX21sfA' failed: Establishing a tunnel via proxy server failed.
