"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets the value in the field, and then checks the value in the field with what should be set","9651","A test for setting a value in a field","","Tue May 13 09:32:11 GMT 2025","passed","Tue May 13 09:32:21 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","edit"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","10766","Confirmation Popup Validation Test","","Tue May 13 09:37:37 GMT 2025","passed","Tue May 13 09:37:48 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","confirm"
"The test checks the list of options that the method returns, with the expected result","10153","Test to get a list of options","","Tue May 13 09:36:59 GMT 2025","passed","Tue May 13 09:37:09 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","getListOptions"
"Info Widget is always read-only","6081","A test to check the field for ""Read-only""","","Tue May 13 09:25:46 GMT 2025","passed","Tue May 13 09:25:52 GMT 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","readonly"
"The InfoWidget doesn't have a Placeholder.","9113","Test for getting the Placeholder value","","Tue May 13 09:27:23 GMT 2025","passed","Tue May 13 09:27:32 GMT 2025","","Info. Checking the basic functions for the Text","application.Samples.Info.TextOnInfoTest","placeholder"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8457","A test to get the field color value in Hex format","","Tue May 13 09:37:20 GMT 2025","passed","Tue May 13 09:37:29 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","color"
"The method returns Option-Status pairs, for all. The test checks each pair.","8727","Test to check the status of all options","","Tue May 13 09:38:31 GMT 2025","passed","Tue May 13 09:38:40 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","statusOptions"
"The test gets the value from the placeholder attribute and returns it in String format","7751","Test for getting the Placeholder value","","Tue May 13 09:35:48 GMT 2025","passed","Tue May 13 09:35:56 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","placeholder"
"Filtering is not available for the Form widget","7275","Filtering test","","Tue May 13 09:37:43 GMT 2025","passed","Tue May 13 09:37:50 GMT 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","filtration"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","10214","Required Message text Verification field test","","Tue May 13 09:41:33 GMT 2025","passed","Tue May 13 09:41:44 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","required"
"Filtering is not available for the Form widget","4915","Filtering test","","Tue May 13 09:33:06 GMT 2025","passed","Tue May 13 09:33:10 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","6858","A test to get the field color value in Hex format","","Tue May 13 09:32:02 GMT 2025","passed","Tue May 13 09:32:09 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","color"
"Filtering is not available for InfoWidget.","7412","Filtering test","","Tue May 13 09:29:32 GMT 2025","passed","Tue May 13 09:29:39 GMT 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","filtration"
"Sorting is not available for InfoWidget.","42256","Sorting test","","Tue May 13 09:24:56 GMT 2025","passed","Tue May 13 09:25:38 GMT 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","sorting"
"Sorting is not available for InfoWidget.","7524","Sorting test","","Tue May 13 09:27:32 GMT 2025","passed","Tue May 13 09:27:40 GMT 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","sorting"
"The test checks for the disabled attribute","8744","A test to check the field for ""Read-only""","","Tue May 13 09:36:31 GMT 2025","passed","Tue May 13 09:36:40 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","readonly"
"The InfoWidget doesn't have a Placeholder.","10086","Test for getting the Placeholder value","","Tue May 13 09:26:35 GMT 2025","passed","Tue May 13 09:26:45 GMT 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","placeholder"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","5055","Run-time exception validation test","","Tue May 13 09:43:08 GMT 2025","passed","Tue May 13 09:43:13 GMT 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","runtimeException"
