[2025-06-04T17:46:15.038Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ad6f5826-d396-4c5e-b6a1-06a5076102eb&response_mode=fragment&response_type=code&scope=openid&nonce=5a582d99-58d5-4744-bb25-753ea85dcc8f - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/7upw0/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-04T17:46:15.039Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=ad6f5826-d396-4c5e-b6a1-06a5076102eb&response_mode=fragment&response_type=code&scope=openid&nonce=5a582d99-58d5-4744-bb25-753ea85dcc8f - Autofocus processing was blocked because a document already has a focused element.

[2025-06-04T17:46:16.833Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NzYsImlhdCI6MTc0OTA1OTE3NiwiYXV0aF90aW1lIjoxNzQ5MDU5MTc1LCJqdGkiOiJjYzg0ZjAwMC01ZTgxLTQyN2UtYmQ4OC1kYzZmMWRlN2ZmM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fz0UphhX4IZGk9-5lzulRtje4AvJOySPEiFABZvBS8cBGLoXGbr3zeiy457CeLkLNXlgvYo1ABFOffnfoWNLcTLzbW1NnV8pQstwJY-X5sYKBlteGPMgaqPGqv1-n8Oy81zlHwJywMWnf6c8kH-vFTIHE27YtPE2ptyPebOS8qoZ2P-iqbpLrTIb29PIcGmmsfpilxh_BDLW2_kZvSu6UTG2pG78dsasl-bB1Da_uKPOFi8N0QGwrcNtML4nIOoms909hNqWmAFBohXzalb0NZJVp273iEfySLY_mE0EK1Yekq6G0lZ82RYDJcJ4UPHOAJ9IVtg95tDIAU4oTiHm6Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:46:18.838Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NzYsImlhdCI6MTc0OTA1OTE3NiwiYXV0aF90aW1lIjoxNzQ5MDU5MTc1LCJqdGkiOiJjYzg0ZjAwMC01ZTgxLTQyN2UtYmQ4OC1kYzZmMWRlN2ZmM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fz0UphhX4IZGk9-5lzulRtje4AvJOySPEiFABZvBS8cBGLoXGbr3zeiy457CeLkLNXlgvYo1ABFOffnfoWNLcTLzbW1NnV8pQstwJY-X5sYKBlteGPMgaqPGqv1-n8Oy81zlHwJywMWnf6c8kH-vFTIHE27YtPE2ptyPebOS8qoZ2P-iqbpLrTIb29PIcGmmsfpilxh_BDLW2_kZvSu6UTG2pG78dsasl-bB1Da_uKPOFi8N0QGwrcNtML4nIOoms909hNqWmAFBohXzalb0NZJVp273iEfySLY_mE0EK1Yekq6G0lZ82RYDJcJ4UPHOAJ9IVtg95tDIAU4oTiHm6Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:46:20.843Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NzYsImlhdCI6MTc0OTA1OTE3NiwiYXV0aF90aW1lIjoxNzQ5MDU5MTc1LCJqdGkiOiJjYzg0ZjAwMC01ZTgxLTQyN2UtYmQ4OC1kYzZmMWRlN2ZmM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fz0UphhX4IZGk9-5lzulRtje4AvJOySPEiFABZvBS8cBGLoXGbr3zeiy457CeLkLNXlgvYo1ABFOffnfoWNLcTLzbW1NnV8pQstwJY-X5sYKBlteGPMgaqPGqv1-n8Oy81zlHwJywMWnf6c8kH-vFTIHE27YtPE2ptyPebOS8qoZ2P-iqbpLrTIb29PIcGmmsfpilxh_BDLW2_kZvSu6UTG2pG78dsasl-bB1Da_uKPOFi8N0QGwrcNtML4nIOoms909hNqWmAFBohXzalb0NZJVp273iEfySLY_mE0EK1Yekq6G0lZ82RYDJcJ4UPHOAJ9IVtg95tDIAU4oTiHm6Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:46:23.007Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NzYsImlhdCI6MTc0OTA1OTE3NiwiYXV0aF90aW1lIjoxNzQ5MDU5MTc1LCJqdGkiOiJjYzg0ZjAwMC01ZTgxLTQyN2UtYmQ4OC1kYzZmMWRlN2ZmM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fz0UphhX4IZGk9-5lzulRtje4AvJOySPEiFABZvBS8cBGLoXGbr3zeiy457CeLkLNXlgvYo1ABFOffnfoWNLcTLzbW1NnV8pQstwJY-X5sYKBlteGPMgaqPGqv1-n8Oy81zlHwJywMWnf6c8kH-vFTIHE27YtPE2ptyPebOS8qoZ2P-iqbpLrTIb29PIcGmmsfpilxh_BDLW2_kZvSu6UTG2pG78dsasl-bB1Da_uKPOFi8N0QGwrcNtML4nIOoms909hNqWmAFBohXzalb0NZJVp273iEfySLY_mE0EK1Yekq6G0lZ82RYDJcJ4UPHOAJ9IVtg95tDIAU4oTiHm6Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:46:24.920Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NzYsImlhdCI6MTc0OTA1OTE3NiwiYXV0aF90aW1lIjoxNzQ5MDU5MTc1LCJqdGkiOiJjYzg0ZjAwMC01ZTgxLTQyN2UtYmQ4OC1kYzZmMWRlN2ZmM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fz0UphhX4IZGk9-5lzulRtje4AvJOySPEiFABZvBS8cBGLoXGbr3zeiy457CeLkLNXlgvYo1ABFOffnfoWNLcTLzbW1NnV8pQstwJY-X5sYKBlteGPMgaqPGqv1-n8Oy81zlHwJywMWnf6c8kH-vFTIHE27YtPE2ptyPebOS8qoZ2P-iqbpLrTIb29PIcGmmsfpilxh_BDLW2_kZvSu6UTG2pG78dsasl-bB1Da_uKPOFi8N0QGwrcNtML4nIOoms909hNqWmAFBohXzalb0NZJVp273iEfySLY_mE0EK1Yekq6G0lZ82RYDJcJ4UPHOAJ9IVtg95tDIAU4oTiHm6Q' failed: Establishing a tunnel via proxy server failed.
