[2025-06-04T17:45:42.695Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=64845371-cb60-476c-b19c-b094669c5149&response_mode=fragment&response_type=code&scope=openid&nonce=f09015b3-a95c-4634-8d67-97b9be1398cd - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/7upw0/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-04T17:45:42.696Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=64845371-cb60-476c-b19c-b094669c5149&response_mode=fragment&response_type=code&scope=openid&nonce=f09015b3-a95c-4634-8d67-97b9be1398cd - Autofocus processing was blocked because a document already has a focused element.

[2025-06-04T17:45:44.545Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NDMsImlhdCI6MTc0OTA1OTE0MywiYXV0aF90aW1lIjoxNzQ5MDU5MTQyLCJqdGkiOiI2MjYxM2Y1ZC1hYjMwLTQwYzktYTk3NS1mZWY5N2RhZWIyM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O-KnwW4n6ZTR62l6nwpzdy5tGqsEcW8nZIFrfdkpZMccwbjf-eb77zYEQRo7p8Lp2xPDDslKJGeQU5AgvZOZoV0MNoRhVRqLyOSgoeWt-7KXlN1_Owplm6eQMx268A7P8mSPSJwwI0DNz4ueZ-XaFOyImSpGSOHb822I8PiuBw9T-_hFtfnhTg94vSBfT8pZb_LMzZGFeCmAuMsdHsO221GFI96KFJHz_jj6Pcrn62zbC9mV-MtaOaBWo00zi0Cz2yC-ZLn-bCb4-6dDitXpj-m0OmRkhyjyKj4eINxvrM3EouQ7OdjIME7fIzZdOGNstf7hCthiHa0R5ZjC6ERsVg' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:45:46.550Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NDMsImlhdCI6MTc0OTA1OTE0MywiYXV0aF90aW1lIjoxNzQ5MDU5MTQyLCJqdGkiOiI2MjYxM2Y1ZC1hYjMwLTQwYzktYTk3NS1mZWY5N2RhZWIyM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O-KnwW4n6ZTR62l6nwpzdy5tGqsEcW8nZIFrfdkpZMccwbjf-eb77zYEQRo7p8Lp2xPDDslKJGeQU5AgvZOZoV0MNoRhVRqLyOSgoeWt-7KXlN1_Owplm6eQMx268A7P8mSPSJwwI0DNz4ueZ-XaFOyImSpGSOHb822I8PiuBw9T-_hFtfnhTg94vSBfT8pZb_LMzZGFeCmAuMsdHsO221GFI96KFJHz_jj6Pcrn62zbC9mV-MtaOaBWo00zi0Cz2yC-ZLn-bCb4-6dDitXpj-m0OmRkhyjyKj4eINxvrM3EouQ7OdjIME7fIzZdOGNstf7hCthiHa0R5ZjC6ERsVg' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:45:48.554Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NDMsImlhdCI6MTc0OTA1OTE0MywiYXV0aF90aW1lIjoxNzQ5MDU5MTQyLCJqdGkiOiI2MjYxM2Y1ZC1hYjMwLTQwYzktYTk3NS1mZWY5N2RhZWIyM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O-KnwW4n6ZTR62l6nwpzdy5tGqsEcW8nZIFrfdkpZMccwbjf-eb77zYEQRo7p8Lp2xPDDslKJGeQU5AgvZOZoV0MNoRhVRqLyOSgoeWt-7KXlN1_Owplm6eQMx268A7P8mSPSJwwI0DNz4ueZ-XaFOyImSpGSOHb822I8PiuBw9T-_hFtfnhTg94vSBfT8pZb_LMzZGFeCmAuMsdHsO221GFI96KFJHz_jj6Pcrn62zbC9mV-MtaOaBWo00zi0Cz2yC-ZLn-bCb4-6dDitXpj-m0OmRkhyjyKj4eINxvrM3EouQ7OdjIME7fIzZdOGNstf7hCthiHa0R5ZjC6ERsVg' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:45:50.678Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NDMsImlhdCI6MTc0OTA1OTE0MywiYXV0aF90aW1lIjoxNzQ5MDU5MTQyLCJqdGkiOiI2MjYxM2Y1ZC1hYjMwLTQwYzktYTk3NS1mZWY5N2RhZWIyM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O-KnwW4n6ZTR62l6nwpzdy5tGqsEcW8nZIFrfdkpZMccwbjf-eb77zYEQRo7p8Lp2xPDDslKJGeQU5AgvZOZoV0MNoRhVRqLyOSgoeWt-7KXlN1_Owplm6eQMx268A7P8mSPSJwwI0DNz4ueZ-XaFOyImSpGSOHb822I8PiuBw9T-_hFtfnhTg94vSBfT8pZb_LMzZGFeCmAuMsdHsO221GFI96KFJHz_jj6Pcrn62zbC9mV-MtaOaBWo00zi0Cz2yC-ZLn-bCb4-6dDitXpj-m0OmRkhyjyKj4eINxvrM3EouQ7OdjIME7fIzZdOGNstf7hCthiHa0R5ZjC6ERsVg' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T17:45:52.589Z] [SEVERE] http://localhost:81/ui/static/js/main.38e0263b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNTk0NDMsImlhdCI6MTc0OTA1OTE0MywiYXV0aF90aW1lIjoxNzQ5MDU5MTQyLCJqdGkiOiI2MjYxM2Y1ZC1hYjMwLTQwYzktYTk3NS1mZWY5N2RhZWIyM2MiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O-KnwW4n6ZTR62l6nwpzdy5tGqsEcW8nZIFrfdkpZMccwbjf-eb77zYEQRo7p8Lp2xPDDslKJGeQU5AgvZOZoV0MNoRhVRqLyOSgoeWt-7KXlN1_Owplm6eQMx268A7P8mSPSJwwI0DNz4ueZ-XaFOyImSpGSOHb822I8PiuBw9T-_hFtfnhTg94vSBfT8pZb_LMzZGFeCmAuMsdHsO221GFI96KFJHz_jj6Pcrn62zbC9mV-MtaOaBWo00zi0Cz2yC-ZLn-bCb4-6dDitXpj-m0OmRkhyjyKj4eINxvrM3EouQ7OdjIME7fIzZdOGNstf7hCthiHa0R5ZjC6ERsVg' failed: Establishing a tunnel via proxy server failed.
