[2025-06-04T19:11:14.199Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=23a5cc61-2351-4f60-a4fe-b82fd4179a3a&response_mode=fragment&response_type=code&scope=openid&nonce=5ac0eb41-2c1e-4ff0-bd5d-2b70a7add4cb - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/7upw0/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-04T19:11:14.199Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=23a5cc61-2351-4f60-a4fe-b82fd4179a3a&response_mode=fragment&response_type=code&scope=openid&nonce=5ac0eb41-2c1e-4ff0-bd5d-2b70a7add4cb - Autofocus processing was blocked because a document already has a focused element.

[2025-06-04T19:11:16.071Z] [SEVERE] http://localhost:81/ui/static/js/main.2943bcf4.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNjQ1NzUsImlhdCI6MTc0OTA2NDI3NSwiYXV0aF90aW1lIjoxNzQ5MDY0Mjc0LCJqdGkiOiJkOWVhMDE1Zi1jNTY3LTQyNjUtYTJmOC1mNDk2Y2I5NWE3MjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fWEDV_WDKaVmjWq7AaQLaxAfDlqjvQTpry4JDeY5usqxw4Y6TPDu__ojbGB4Cu4MNMDrHmbUB0oZYhmBY6WQkXMTc6Q6J4gy-wErZQ4QdvX1WFHmfwz2CJwXQo_7LHmoZskKbhuGGJm0HtcVcXuQrW_lW293KlQqW1OOzc5enFnSh307xKj-gnn8kPsQZStpxj2LihwyKr9dJ7zWAKF9JSgF7jAcCIONwfTFqUHEhCF3vBb2Zwx7QEk9xOeIr7_B4RZf8rOvyMy9TaI3PlFlpq_2ec6_jyV6l2AWWYQiCGgvWp4-3V3Povifa_BYQAFx9Vd-nU4i7MBkkIOQE_-9xw' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T19:11:18.079Z] [SEVERE] http://localhost:81/ui/static/js/main.2943bcf4.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNjQ1NzUsImlhdCI6MTc0OTA2NDI3NSwiYXV0aF90aW1lIjoxNzQ5MDY0Mjc0LCJqdGkiOiJkOWVhMDE1Zi1jNTY3LTQyNjUtYTJmOC1mNDk2Y2I5NWE3MjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fWEDV_WDKaVmjWq7AaQLaxAfDlqjvQTpry4JDeY5usqxw4Y6TPDu__ojbGB4Cu4MNMDrHmbUB0oZYhmBY6WQkXMTc6Q6J4gy-wErZQ4QdvX1WFHmfwz2CJwXQo_7LHmoZskKbhuGGJm0HtcVcXuQrW_lW293KlQqW1OOzc5enFnSh307xKj-gnn8kPsQZStpxj2LihwyKr9dJ7zWAKF9JSgF7jAcCIONwfTFqUHEhCF3vBb2Zwx7QEk9xOeIr7_B4RZf8rOvyMy9TaI3PlFlpq_2ec6_jyV6l2AWWYQiCGgvWp4-3V3Povifa_BYQAFx9Vd-nU4i7MBkkIOQE_-9xw' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T19:11:20.083Z] [SEVERE] http://localhost:81/ui/static/js/main.2943bcf4.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNjQ1NzUsImlhdCI6MTc0OTA2NDI3NSwiYXV0aF90aW1lIjoxNzQ5MDY0Mjc0LCJqdGkiOiJkOWVhMDE1Zi1jNTY3LTQyNjUtYTJmOC1mNDk2Y2I5NWE3MjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fWEDV_WDKaVmjWq7AaQLaxAfDlqjvQTpry4JDeY5usqxw4Y6TPDu__ojbGB4Cu4MNMDrHmbUB0oZYhmBY6WQkXMTc6Q6J4gy-wErZQ4QdvX1WFHmfwz2CJwXQo_7LHmoZskKbhuGGJm0HtcVcXuQrW_lW293KlQqW1OOzc5enFnSh307xKj-gnn8kPsQZStpxj2LihwyKr9dJ7zWAKF9JSgF7jAcCIONwfTFqUHEhCF3vBb2Zwx7QEk9xOeIr7_B4RZf8rOvyMy9TaI3PlFlpq_2ec6_jyV6l2AWWYQiCGgvWp4-3V3Povifa_BYQAFx9Vd-nU4i7MBkkIOQE_-9xw' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T19:11:22.240Z] [SEVERE] http://localhost:81/ui/static/js/main.2943bcf4.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNjQ1NzUsImlhdCI6MTc0OTA2NDI3NSwiYXV0aF90aW1lIjoxNzQ5MDY0Mjc0LCJqdGkiOiJkOWVhMDE1Zi1jNTY3LTQyNjUtYTJmOC1mNDk2Y2I5NWE3MjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fWEDV_WDKaVmjWq7AaQLaxAfDlqjvQTpry4JDeY5usqxw4Y6TPDu__ojbGB4Cu4MNMDrHmbUB0oZYhmBY6WQkXMTc6Q6J4gy-wErZQ4QdvX1WFHmfwz2CJwXQo_7LHmoZskKbhuGGJm0HtcVcXuQrW_lW293KlQqW1OOzc5enFnSh307xKj-gnn8kPsQZStpxj2LihwyKr9dJ7zWAKF9JSgF7jAcCIONwfTFqUHEhCF3vBb2Zwx7QEk9xOeIr7_B4RZf8rOvyMy9TaI3PlFlpq_2ec6_jyV6l2AWWYQiCGgvWp4-3V3Povifa_BYQAFx9Vd-nU4i7MBkkIOQE_-9xw' failed: Establishing a tunnel via proxy server failed.

[2025-06-04T19:11:24.156Z] [SEVERE] http://localhost:81/ui/static/js/main.2943bcf4.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkwNjQ1NzUsImlhdCI6MTc0OTA2NDI3NSwiYXV0aF90aW1lIjoxNzQ5MDY0Mjc0LCJqdGkiOiJkOWVhMDE1Zi1jNTY3LTQyNjUtYTJmOC1mNDk2Y2I5NWE3MjIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fWEDV_WDKaVmjWq7AaQLaxAfDlqjvQTpry4JDeY5usqxw4Y6TPDu__ojbGB4Cu4MNMDrHmbUB0oZYhmBY6WQkXMTc6Q6J4gy-wErZQ4QdvX1WFHmfwz2CJwXQo_7LHmoZskKbhuGGJm0HtcVcXuQrW_lW293KlQqW1OOzc5enFnSh307xKj-gnn8kPsQZStpxj2LihwyKr9dJ7zWAKF9JSgF7jAcCIONwfTFqUHEhCF3vBb2Zwx7QEk9xOeIr7_B4RZf8rOvyMy9TaI3PlFlpq_2ec6_jyV6l2AWWYQiCGgvWp4-3V3Povifa_BYQAFx9Vd-nU4i7MBkkIOQE_-9xw' failed: Establishing a tunnel via proxy server failed.
