[2025-06-05T10:09:51.727Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=bd97df21-bbb6-4504-8e85-d04e931a4e61&response_mode=fragment&response_type=code&scope=openid&nonce=ba327a6c-9f32-403a-8567-1a42123cb9af - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/u2sik/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-05T10:09:51.728Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=bd97df21-bbb6-4504-8e85-d04e931a4e61&response_mode=fragment&response_type=code&scope=openid&nonce=ba327a6c-9f32-403a-8567-1a42123cb9af - Autofocus processing was blocked because a document already has a focused element.

[2025-06-05T10:09:54.163Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg0OTMsImlhdCI6MTc0OTExODE5MywiYXV0aF90aW1lIjoxNzQ5MTE4MTkxLCJqdGkiOiI4NDhhYmVmZC02MTNiLTRiZGMtYjI4Yy1mZTQ1ZDVmNzVlNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Tf9jyeZO0HyCHzwAOqhXzdb5adncXY0ydw9CZCBtZOSXOTakOHXYkqgBYq-zAoMjHg1NzB0mYFvCy5FIedrqimG-LHvPF-MIXsNct-w8U83HLZrkSnhbgip7dN5kBjvK4Y5fSeMtcJvHd-cVPOJIgP5opVCP4C3JIdwrWO3G-2YdLfyW1pIIcQXAXOrUz4cIs-4Vc0qw62Ph3kCsAwiUYgwf_Jp4Zzpk92RTNHLNI3EAOmvSEkawlskS5VWiccQqhk2h0Feb8npbtt-I0kkPNC7Aa2-6xqM14rhyicPnf-cQgSc4fQ5uyPtTSVb4ze6PMBk32GK6-SUkOG5jg-mTeQ' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:09:56.086Z] [INFO] http://localhost:81/ui/static/js/main.a29e5165.js 1:3132072 "Field with key = customFieldAdditional was not found on left side of pickMap. Autocomplete will show values without filtration"

[2025-06-05T10:09:56.172Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg0OTMsImlhdCI6MTc0OTExODE5MywiYXV0aF90aW1lIjoxNzQ5MTE4MTkxLCJqdGkiOiI4NDhhYmVmZC02MTNiLTRiZGMtYjI4Yy1mZTQ1ZDVmNzVlNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Tf9jyeZO0HyCHzwAOqhXzdb5adncXY0ydw9CZCBtZOSXOTakOHXYkqgBYq-zAoMjHg1NzB0mYFvCy5FIedrqimG-LHvPF-MIXsNct-w8U83HLZrkSnhbgip7dN5kBjvK4Y5fSeMtcJvHd-cVPOJIgP5opVCP4C3JIdwrWO3G-2YdLfyW1pIIcQXAXOrUz4cIs-4Vc0qw62Ph3kCsAwiUYgwf_Jp4Zzpk92RTNHLNI3EAOmvSEkawlskS5VWiccQqhk2h0Feb8npbtt-I0kkPNC7Aa2-6xqM14rhyicPnf-cQgSc4fQ5uyPtTSVb4ze6PMBk32GK6-SUkOG5jg-mTeQ' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:09:58.179Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg0OTMsImlhdCI6MTc0OTExODE5MywiYXV0aF90aW1lIjoxNzQ5MTE4MTkxLCJqdGkiOiI4NDhhYmVmZC02MTNiLTRiZGMtYjI4Yy1mZTQ1ZDVmNzVlNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Tf9jyeZO0HyCHzwAOqhXzdb5adncXY0ydw9CZCBtZOSXOTakOHXYkqgBYq-zAoMjHg1NzB0mYFvCy5FIedrqimG-LHvPF-MIXsNct-w8U83HLZrkSnhbgip7dN5kBjvK4Y5fSeMtcJvHd-cVPOJIgP5opVCP4C3JIdwrWO3G-2YdLfyW1pIIcQXAXOrUz4cIs-4Vc0qw62Ph3kCsAwiUYgwf_Jp4Zzpk92RTNHLNI3EAOmvSEkawlskS5VWiccQqhk2h0Feb8npbtt-I0kkPNC7Aa2-6xqM14rhyicPnf-cQgSc4fQ5uyPtTSVb4ze6PMBk32GK6-SUkOG5jg-mTeQ' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:10:00.324Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg0OTMsImlhdCI6MTc0OTExODE5MywiYXV0aF90aW1lIjoxNzQ5MTE4MTkxLCJqdGkiOiI4NDhhYmVmZC02MTNiLTRiZGMtYjI4Yy1mZTQ1ZDVmNzVlNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Tf9jyeZO0HyCHzwAOqhXzdb5adncXY0ydw9CZCBtZOSXOTakOHXYkqgBYq-zAoMjHg1NzB0mYFvCy5FIedrqimG-LHvPF-MIXsNct-w8U83HLZrkSnhbgip7dN5kBjvK4Y5fSeMtcJvHd-cVPOJIgP5opVCP4C3JIdwrWO3G-2YdLfyW1pIIcQXAXOrUz4cIs-4Vc0qw62Ph3kCsAwiUYgwf_Jp4Zzpk92RTNHLNI3EAOmvSEkawlskS5VWiccQqhk2h0Feb8npbtt-I0kkPNC7Aa2-6xqM14rhyicPnf-cQgSc4fQ5uyPtTSVb4ze6PMBk32GK6-SUkOG5jg-mTeQ' failed: Establishing a tunnel via proxy server failed.
