[2025-06-05T10:13:56.946Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=25cbac27-0af0-4cca-9f38-b2026dca6de7&response_mode=fragment&response_type=code&scope=openid&nonce=e3bcb2ce-66f0-4f10-b284-c024b859a850 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/u2sik/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-05T10:13:56.947Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=25cbac27-0af0-4cca-9f38-b2026dca6de7&response_mode=fragment&response_type=code&scope=openid&nonce=e3bcb2ce-66f0-4f10-b284-c024b859a850 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-05T10:13:59.131Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg3MzgsImlhdCI6MTc0OTExODQzOCwiYXV0aF90aW1lIjoxNzQ5MTE4NDM3LCJqdGkiOiI3MzAzZjEwNS1iMmQ3LTQ5ZDYtYjk2Ni1jZmU3MThlZjRmYjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BydVuMtT-OtEsxL51B73COYsfy7WO1yforWnAeF37is1qEhBSSj92tQw1K9AV9ZhMdC-lqBs25By6L-yhrdx0gx5F9Y5PuAVbPL9oxIqUMcLYP1Zg_CN96oMxTvEgnFvYaxDf_pn5k3y9RBUcDmxiPTNMOwPK6F2wXWcykRIElBieJCnOy8IWx9s35Q6blcaYbdvrYKWudAjHAmpyDMMER_OovVFa8XCQCSCPILKA4XwpVCAQ84XjZqV6dIRMFLnYd55opB_Gir9lVTqNV40qVjPizh4h2XMMMloqa7pYUK4NoCZQm8pLBSbxsGzMr0EkKrtFH0KlwYyPKdPhNcO5Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:14:01.169Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg3MzgsImlhdCI6MTc0OTExODQzOCwiYXV0aF90aW1lIjoxNzQ5MTE4NDM3LCJqdGkiOiI3MzAzZjEwNS1iMmQ3LTQ5ZDYtYjk2Ni1jZmU3MThlZjRmYjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BydVuMtT-OtEsxL51B73COYsfy7WO1yforWnAeF37is1qEhBSSj92tQw1K9AV9ZhMdC-lqBs25By6L-yhrdx0gx5F9Y5PuAVbPL9oxIqUMcLYP1Zg_CN96oMxTvEgnFvYaxDf_pn5k3y9RBUcDmxiPTNMOwPK6F2wXWcykRIElBieJCnOy8IWx9s35Q6blcaYbdvrYKWudAjHAmpyDMMER_OovVFa8XCQCSCPILKA4XwpVCAQ84XjZqV6dIRMFLnYd55opB_Gir9lVTqNV40qVjPizh4h2XMMMloqa7pYUK4NoCZQm8pLBSbxsGzMr0EkKrtFH0KlwYyPKdPhNcO5Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:14:03.175Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg3MzgsImlhdCI6MTc0OTExODQzOCwiYXV0aF90aW1lIjoxNzQ5MTE4NDM3LCJqdGkiOiI3MzAzZjEwNS1iMmQ3LTQ5ZDYtYjk2Ni1jZmU3MThlZjRmYjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BydVuMtT-OtEsxL51B73COYsfy7WO1yforWnAeF37is1qEhBSSj92tQw1K9AV9ZhMdC-lqBs25By6L-yhrdx0gx5F9Y5PuAVbPL9oxIqUMcLYP1Zg_CN96oMxTvEgnFvYaxDf_pn5k3y9RBUcDmxiPTNMOwPK6F2wXWcykRIElBieJCnOy8IWx9s35Q6blcaYbdvrYKWudAjHAmpyDMMER_OovVFa8XCQCSCPILKA4XwpVCAQ84XjZqV6dIRMFLnYd55opB_Gir9lVTqNV40qVjPizh4h2XMMMloqa7pYUK4NoCZQm8pLBSbxsGzMr0EkKrtFH0KlwYyPKdPhNcO5Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:14:05.331Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg3MzgsImlhdCI6MTc0OTExODQzOCwiYXV0aF90aW1lIjoxNzQ5MTE4NDM3LCJqdGkiOiI3MzAzZjEwNS1iMmQ3LTQ5ZDYtYjk2Ni1jZmU3MThlZjRmYjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BydVuMtT-OtEsxL51B73COYsfy7WO1yforWnAeF37is1qEhBSSj92tQw1K9AV9ZhMdC-lqBs25By6L-yhrdx0gx5F9Y5PuAVbPL9oxIqUMcLYP1Zg_CN96oMxTvEgnFvYaxDf_pn5k3y9RBUcDmxiPTNMOwPK6F2wXWcykRIElBieJCnOy8IWx9s35Q6blcaYbdvrYKWudAjHAmpyDMMER_OovVFa8XCQCSCPILKA4XwpVCAQ84XjZqV6dIRMFLnYd55opB_Gir9lVTqNV40qVjPizh4h2XMMMloqa7pYUK4NoCZQm8pLBSbxsGzMr0EkKrtFH0KlwYyPKdPhNcO5Q' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:14:07.254Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTg3MzgsImlhdCI6MTc0OTExODQzOCwiYXV0aF90aW1lIjoxNzQ5MTE4NDM3LCJqdGkiOiI3MzAzZjEwNS1iMmQ3LTQ5ZDYtYjk2Ni1jZmU3MThlZjRmYjgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BydVuMtT-OtEsxL51B73COYsfy7WO1yforWnAeF37is1qEhBSSj92tQw1K9AV9ZhMdC-lqBs25By6L-yhrdx0gx5F9Y5PuAVbPL9oxIqUMcLYP1Zg_CN96oMxTvEgnFvYaxDf_pn5k3y9RBUcDmxiPTNMOwPK6F2wXWcykRIElBieJCnOy8IWx9s35Q6blcaYbdvrYKWudAjHAmpyDMMER_OovVFa8XCQCSCPILKA4XwpVCAQ84XjZqV6dIRMFLnYd55opB_Gir9lVTqNV40qVjPizh4h2XMMMloqa7pYUK4NoCZQm8pLBSbxsGzMr0EkKrtFH0KlwYyPKdPhNcO5Q' failed: Establishing a tunnel via proxy server failed.
