[2025-06-05T10:20:52.708Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=12e77cd8-e29f-4b25-88b8-299bf8083f47&response_mode=fragment&response_type=code&scope=openid&nonce=cf19e3db-5922-4639-8582-ec4b558726d7 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/u2sik/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-05T10:20:52.709Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=12e77cd8-e29f-4b25-88b8-299bf8083f47&response_mode=fragment&response_type=code&scope=openid&nonce=cf19e3db-5922-4639-8582-ec4b558726d7 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-05T10:20:54.974Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTkxNTQsImlhdCI6MTc0OTExODg1NCwiYXV0aF90aW1lIjoxNzQ5MTE4ODUyLCJqdGkiOiI4OGU0ZWU0ZC03NDhiLTQ2MzgtODA3Zi1hOTIwZDZiYjMzOWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ODp8eSr7h4KYHYtGqhhkx91s_TByGJF7XXfhNGe1TD2tScs30nT8oI_LZdbqJ5E5872NxM4xqM-wL4VGQsOWI14AK56rvFSjAlO_WMhvy-1XUHUSR5u_ZM_0tWoa_unxm-GyYlZq12JZW1liT00aFSOwtj9i3ZrcegNepnaSKanhiFIV5HeCdUOWTIsMrtlCnxDZUSDDsbFdZcbT-xxPJVRnbxu9nDdVeLkh6FG2Rkr3OHerUrdot8qyg8Mr5uL2wK6DqmFsnPzrmoioHmVeIMqQdO6FiCwUJREOYF4dFcrDN6rFOmUYjgGpTM4Kvcc-yaTUV7olAv8tHdLErdd4-w' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:20:57.036Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTkxNTQsImlhdCI6MTc0OTExODg1NCwiYXV0aF90aW1lIjoxNzQ5MTE4ODUyLCJqdGkiOiI4OGU0ZWU0ZC03NDhiLTQ2MzgtODA3Zi1hOTIwZDZiYjMzOWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ODp8eSr7h4KYHYtGqhhkx91s_TByGJF7XXfhNGe1TD2tScs30nT8oI_LZdbqJ5E5872NxM4xqM-wL4VGQsOWI14AK56rvFSjAlO_WMhvy-1XUHUSR5u_ZM_0tWoa_unxm-GyYlZq12JZW1liT00aFSOwtj9i3ZrcegNepnaSKanhiFIV5HeCdUOWTIsMrtlCnxDZUSDDsbFdZcbT-xxPJVRnbxu9nDdVeLkh6FG2Rkr3OHerUrdot8qyg8Mr5uL2wK6DqmFsnPzrmoioHmVeIMqQdO6FiCwUJREOYF4dFcrDN6rFOmUYjgGpTM4Kvcc-yaTUV7olAv8tHdLErdd4-w' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:20:59.043Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTkxNTQsImlhdCI6MTc0OTExODg1NCwiYXV0aF90aW1lIjoxNzQ5MTE4ODUyLCJqdGkiOiI4OGU0ZWU0ZC03NDhiLTQ2MzgtODA3Zi1hOTIwZDZiYjMzOWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ODp8eSr7h4KYHYtGqhhkx91s_TByGJF7XXfhNGe1TD2tScs30nT8oI_LZdbqJ5E5872NxM4xqM-wL4VGQsOWI14AK56rvFSjAlO_WMhvy-1XUHUSR5u_ZM_0tWoa_unxm-GyYlZq12JZW1liT00aFSOwtj9i3ZrcegNepnaSKanhiFIV5HeCdUOWTIsMrtlCnxDZUSDDsbFdZcbT-xxPJVRnbxu9nDdVeLkh6FG2Rkr3OHerUrdot8qyg8Mr5uL2wK6DqmFsnPzrmoioHmVeIMqQdO6FiCwUJREOYF4dFcrDN6rFOmUYjgGpTM4Kvcc-yaTUV7olAv8tHdLErdd4-w' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:21:01.206Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTkxNTQsImlhdCI6MTc0OTExODg1NCwiYXV0aF90aW1lIjoxNzQ5MTE4ODUyLCJqdGkiOiI4OGU0ZWU0ZC03NDhiLTQ2MzgtODA3Zi1hOTIwZDZiYjMzOWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ODp8eSr7h4KYHYtGqhhkx91s_TByGJF7XXfhNGe1TD2tScs30nT8oI_LZdbqJ5E5872NxM4xqM-wL4VGQsOWI14AK56rvFSjAlO_WMhvy-1XUHUSR5u_ZM_0tWoa_unxm-GyYlZq12JZW1liT00aFSOwtj9i3ZrcegNepnaSKanhiFIV5HeCdUOWTIsMrtlCnxDZUSDDsbFdZcbT-xxPJVRnbxu9nDdVeLkh6FG2Rkr3OHerUrdot8qyg8Mr5uL2wK6DqmFsnPzrmoioHmVeIMqQdO6FiCwUJREOYF4dFcrDN6rFOmUYjgGpTM4Kvcc-yaTUV7olAv8tHdLErdd4-w' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T10:21:03.240Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTkxNTQsImlhdCI6MTc0OTExODg1NCwiYXV0aF90aW1lIjoxNzQ5MTE4ODUyLCJqdGkiOiI4OGU0ZWU0ZC03NDhiLTQ2MzgtODA3Zi1hOTIwZDZiYjMzOWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.ODp8eSr7h4KYHYtGqhhkx91s_TByGJF7XXfhNGe1TD2tScs30nT8oI_LZdbqJ5E5872NxM4xqM-wL4VGQsOWI14AK56rvFSjAlO_WMhvy-1XUHUSR5u_ZM_0tWoa_unxm-GyYlZq12JZW1liT00aFSOwtj9i3ZrcegNepnaSKanhiFIV5HeCdUOWTIsMrtlCnxDZUSDDsbFdZcbT-xxPJVRnbxu9nDdVeLkh6FG2Rkr3OHerUrdot8qyg8Mr5uL2wK6DqmFsnPzrmoioHmVeIMqQdO6FiCwUJREOYF4dFcrDN6rFOmUYjgGpTM4Kvcc-yaTUV7olAv8tHdLErdd4-w' failed: Establishing a tunnel via proxy server failed.
