[2025-06-05T09:49:50.217Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=01e35a24-175c-4532-87f1-4368342bfae4&response_mode=fragment&response_type=code&scope=openid&nonce=bc488e3d-a140-479a-ae37-abbcbcddc6cc - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/u2sik/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-05T09:49:50.219Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=01e35a24-175c-4532-87f1-4368342bfae4&response_mode=fragment&response_type=code&scope=openid&nonce=bc488e3d-a140-479a-ae37-abbcbcddc6cc - Autofocus processing was blocked because a document already has a focused element.

[2025-06-05T09:49:52.788Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTcyOTEsImlhdCI6MTc0OTExNjk5MSwiYXV0aF90aW1lIjoxNzQ5MTE2OTkwLCJqdGkiOiJhY2I5MTQwZi1iNjY0LTRiOTEtOGQ0ZS0wZDEyMTQzYjQ3NDUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Hh3tuOcafwnyP7p3QB42hIqVZWBTJ-y1_8cZ8O1hwaRRIwXuSRCFboKh0QiSabN9jbEeT1DsNv97edGJWH3uBRoQ-4XxyZiZ1zxQ_J9zUOWSlnVM_lifCyHbmxsEm3uGAHhEl5v2E5dGYLC_btkT1oi4TUOZgzVWlCnoC5jTufmqiBeYdsvHAf15r6zoi6i9s__PevAijP8UXy1Aw62leUGUw65JjnRv-zLnDLOjOctsDR7emz8BH7VjaM2qIMTGYUnUBVCJ8NbNya38wlmXshY8Nd38x6P8Pvl-pafDZHIw2XfE6x8T3EVPuRGH41TegZFmPSYGapugtaSvklD8lw' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T09:49:54.855Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTcyOTEsImlhdCI6MTc0OTExNjk5MSwiYXV0aF90aW1lIjoxNzQ5MTE2OTkwLCJqdGkiOiJhY2I5MTQwZi1iNjY0LTRiOTEtOGQ0ZS0wZDEyMTQzYjQ3NDUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Hh3tuOcafwnyP7p3QB42hIqVZWBTJ-y1_8cZ8O1hwaRRIwXuSRCFboKh0QiSabN9jbEeT1DsNv97edGJWH3uBRoQ-4XxyZiZ1zxQ_J9zUOWSlnVM_lifCyHbmxsEm3uGAHhEl5v2E5dGYLC_btkT1oi4TUOZgzVWlCnoC5jTufmqiBeYdsvHAf15r6zoi6i9s__PevAijP8UXy1Aw62leUGUw65JjnRv-zLnDLOjOctsDR7emz8BH7VjaM2qIMTGYUnUBVCJ8NbNya38wlmXshY8Nd38x6P8Pvl-pafDZHIw2XfE6x8T3EVPuRGH41TegZFmPSYGapugtaSvklD8lw' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T09:49:56.861Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTcyOTEsImlhdCI6MTc0OTExNjk5MSwiYXV0aF90aW1lIjoxNzQ5MTE2OTkwLCJqdGkiOiJhY2I5MTQwZi1iNjY0LTRiOTEtOGQ0ZS0wZDEyMTQzYjQ3NDUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Hh3tuOcafwnyP7p3QB42hIqVZWBTJ-y1_8cZ8O1hwaRRIwXuSRCFboKh0QiSabN9jbEeT1DsNv97edGJWH3uBRoQ-4XxyZiZ1zxQ_J9zUOWSlnVM_lifCyHbmxsEm3uGAHhEl5v2E5dGYLC_btkT1oi4TUOZgzVWlCnoC5jTufmqiBeYdsvHAf15r6zoi6i9s__PevAijP8UXy1Aw62leUGUw65JjnRv-zLnDLOjOctsDR7emz8BH7VjaM2qIMTGYUnUBVCJ8NbNya38wlmXshY8Nd38x6P8Pvl-pafDZHIw2XfE6x8T3EVPuRGH41TegZFmPSYGapugtaSvklD8lw' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T09:49:59.027Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTcyOTEsImlhdCI6MTc0OTExNjk5MSwiYXV0aF90aW1lIjoxNzQ5MTE2OTkwLCJqdGkiOiJhY2I5MTQwZi1iNjY0LTRiOTEtOGQ0ZS0wZDEyMTQzYjQ3NDUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Hh3tuOcafwnyP7p3QB42hIqVZWBTJ-y1_8cZ8O1hwaRRIwXuSRCFboKh0QiSabN9jbEeT1DsNv97edGJWH3uBRoQ-4XxyZiZ1zxQ_J9zUOWSlnVM_lifCyHbmxsEm3uGAHhEl5v2E5dGYLC_btkT1oi4TUOZgzVWlCnoC5jTufmqiBeYdsvHAf15r6zoi6i9s__PevAijP8UXy1Aw62leUGUw65JjnRv-zLnDLOjOctsDR7emz8BH7VjaM2qIMTGYUnUBVCJ8NbNya38wlmXshY8Nd38x6P8Pvl-pafDZHIw2XfE6x8T3EVPuRGH41TegZFmPSYGapugtaSvklD8lw' failed: Establishing a tunnel via proxy server failed.

[2025-06-05T09:50:01.013Z] [SEVERE] http://localhost:81/ui/static/js/main.a29e5165.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NDkxMTcyOTEsImlhdCI6MTc0OTExNjk5MSwiYXV0aF90aW1lIjoxNzQ5MTE2OTkwLCJqdGkiOiJhY2I5MTQwZi1iNjY0LTRiOTEtOGQ0ZS0wZDEyMTQzYjQ3NDUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Hh3tuOcafwnyP7p3QB42hIqVZWBTJ-y1_8cZ8O1hwaRRIwXuSRCFboKh0QiSabN9jbEeT1DsNv97edGJWH3uBRoQ-4XxyZiZ1zxQ_J9zUOWSlnVM_lifCyHbmxsEm3uGAHhEl5v2E5dGYLC_btkT1oi4TUOZgzVWlCnoC5jTufmqiBeYdsvHAf15r6zoi6i9s__PevAijP8UXy1Aw62leUGUw65JjnRv-zLnDLOjOctsDR7emz8BH7VjaM2qIMTGYUnUBVCJ8NbNya38wlmXshY8Nd38x6P8Pvl-pafDZHIw2XfE6x8T3EVPuRGH41TegZFmPSYGapugtaSvklD8lw' failed: Establishing a tunnel via proxy server failed.
