[2025-06-30T11:26:50.802Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0ca97588-b423-44f5-8ce5-608ad18935db&response_mode=fragment&response_type=code&scope=openid&nonce=3c0ecbb5-b38b-4c22-89b8-17f5d60c65b7 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T11:26:50.802Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0ca97588-b423-44f5-8ce5-608ad18935db&response_mode=fragment&response_type=code&scope=openid&nonce=3c0ecbb5-b38b-4c22-89b8-17f5d60c65b7 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T11:26:52.876Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMxMTEsImlhdCI6MTc1MTI4MjgxMSwiYXV0aF90aW1lIjoxNzUxMjgyODEwLCJqdGkiOiJmOWI5YjMwYy04YjM2LTQwNzEtYjk5Ni1lMmI0ZmU5YmQyYWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bUO3p8uOZPB5Wa2LhFAOLzm-m7y3ZgNJRIAudnI3A_K6Dpwi68OuJ0i8wz8Ik9MzBjMTmgVwAhQG3YUE23X8tj24kezM6VrauSS33ZI7Gu9e_l-l20llzVChBkiP9rfyxchspE4u2HB0NAYp5EWD6Ys-98EfObqd348eWjdvDuYTt33QtJWBy5ezAHfoXnXNyvKT8WovUFrQi50lXvNuM6A7XRMi7j9YlLnAtPrMSLujBMoNy6qa9bc2orgfU_rsXruZKIfnWsFyDnZLEaV8jIXIjoUlfWd6upxlZZ8nVewJlBBoYyAeUfYg56GU2UwtW3QZDKTLgcRkFzzDRgdP5g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:26:54.884Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMxMTEsImlhdCI6MTc1MTI4MjgxMSwiYXV0aF90aW1lIjoxNzUxMjgyODEwLCJqdGkiOiJmOWI5YjMwYy04YjM2LTQwNzEtYjk5Ni1lMmI0ZmU5YmQyYWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bUO3p8uOZPB5Wa2LhFAOLzm-m7y3ZgNJRIAudnI3A_K6Dpwi68OuJ0i8wz8Ik9MzBjMTmgVwAhQG3YUE23X8tj24kezM6VrauSS33ZI7Gu9e_l-l20llzVChBkiP9rfyxchspE4u2HB0NAYp5EWD6Ys-98EfObqd348eWjdvDuYTt33QtJWBy5ezAHfoXnXNyvKT8WovUFrQi50lXvNuM6A7XRMi7j9YlLnAtPrMSLujBMoNy6qa9bc2orgfU_rsXruZKIfnWsFyDnZLEaV8jIXIjoUlfWd6upxlZZ8nVewJlBBoYyAeUfYg56GU2UwtW3QZDKTLgcRkFzzDRgdP5g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:26:56.999Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMxMTEsImlhdCI6MTc1MTI4MjgxMSwiYXV0aF90aW1lIjoxNzUxMjgyODEwLCJqdGkiOiJmOWI5YjMwYy04YjM2LTQwNzEtYjk5Ni1lMmI0ZmU5YmQyYWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bUO3p8uOZPB5Wa2LhFAOLzm-m7y3ZgNJRIAudnI3A_K6Dpwi68OuJ0i8wz8Ik9MzBjMTmgVwAhQG3YUE23X8tj24kezM6VrauSS33ZI7Gu9e_l-l20llzVChBkiP9rfyxchspE4u2HB0NAYp5EWD6Ys-98EfObqd348eWjdvDuYTt33QtJWBy5ezAHfoXnXNyvKT8WovUFrQi50lXvNuM6A7XRMi7j9YlLnAtPrMSLujBMoNy6qa9bc2orgfU_rsXruZKIfnWsFyDnZLEaV8jIXIjoUlfWd6upxlZZ8nVewJlBBoYyAeUfYg56GU2UwtW3QZDKTLgcRkFzzDRgdP5g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:26:59.072Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMxMTEsImlhdCI6MTc1MTI4MjgxMSwiYXV0aF90aW1lIjoxNzUxMjgyODEwLCJqdGkiOiJmOWI5YjMwYy04YjM2LTQwNzEtYjk5Ni1lMmI0ZmU5YmQyYWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bUO3p8uOZPB5Wa2LhFAOLzm-m7y3ZgNJRIAudnI3A_K6Dpwi68OuJ0i8wz8Ik9MzBjMTmgVwAhQG3YUE23X8tj24kezM6VrauSS33ZI7Gu9e_l-l20llzVChBkiP9rfyxchspE4u2HB0NAYp5EWD6Ys-98EfObqd348eWjdvDuYTt33QtJWBy5ezAHfoXnXNyvKT8WovUFrQi50lXvNuM6A7XRMi7j9YlLnAtPrMSLujBMoNy6qa9bc2orgfU_rsXruZKIfnWsFyDnZLEaV8jIXIjoUlfWd6upxlZZ8nVewJlBBoYyAeUfYg56GU2UwtW3QZDKTLgcRkFzzDRgdP5g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:27:01.138Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMxMTEsImlhdCI6MTc1MTI4MjgxMSwiYXV0aF90aW1lIjoxNzUxMjgyODEwLCJqdGkiOiJmOWI5YjMwYy04YjM2LTQwNzEtYjk5Ni1lMmI0ZmU5YmQyYWIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.bUO3p8uOZPB5Wa2LhFAOLzm-m7y3ZgNJRIAudnI3A_K6Dpwi68OuJ0i8wz8Ik9MzBjMTmgVwAhQG3YUE23X8tj24kezM6VrauSS33ZI7Gu9e_l-l20llzVChBkiP9rfyxchspE4u2HB0NAYp5EWD6Ys-98EfObqd348eWjdvDuYTt33QtJWBy5ezAHfoXnXNyvKT8WovUFrQi50lXvNuM6A7XRMi7j9YlLnAtPrMSLujBMoNy6qa9bc2orgfU_rsXruZKIfnWsFyDnZLEaV8jIXIjoUlfWd6upxlZZ8nVewJlBBoYyAeUfYg56GU2UwtW3QZDKTLgcRkFzzDRgdP5g' failed: Establishing a tunnel via proxy server failed.

