[2025-06-30T11:26:32.958Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b1f3795e-b496-4c00-8de1-66a283b529d8&response_mode=fragment&response_type=code&scope=openid&nonce=ae4a5a8f-c1d5-4225-8025-9893df52e264 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T11:26:32.958Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b1f3795e-b496-4c00-8de1-66a283b529d8&response_mode=fragment&response_type=code&scope=openid&nonce=ae4a5a8f-c1d5-4225-8025-9893df52e264 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T11:26:35.233Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMwOTQsImlhdCI6MTc1MTI4Mjc5NCwiYXV0aF90aW1lIjoxNzUxMjgyNzkzLCJqdGkiOiIwNjYyYzVlZC01ZGRhLTRiZTctYjA2ZC0zOWQ4OTE2MGM0NzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QUcDgbu0-0C4iebpa9SpLYYSvPNFvm5qt0CWyxOufQRbT2OJavNcc2B-UA-PRGhKkn1_A3AKD6vAf_mR73cDga81sqkkJqG8FEYGL1AE0Atue2eZbESRCVTNDG5t_wU49cVCdcS7xOdNFd75CrRLCyNWbjDZqbfYGo0KOnLZIdZ6UydkDdqsjOiFXv53B9dw9PmZvPzH_K-GduCAGhuOA_FB1IS8XaxVcfa_kivqWQD1Ios3hZ_KK4gSXi3wdM8BH_X5pCG05MeNPC5T5j91sKw0JDdNU801387n_D6sKoNYUs_N8Waeb-7_ceTimiWYPNSXwWlJ2-AbwhcAXMujpw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:26:37.237Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMwOTQsImlhdCI6MTc1MTI4Mjc5NCwiYXV0aF90aW1lIjoxNzUxMjgyNzkzLCJqdGkiOiIwNjYyYzVlZC01ZGRhLTRiZTctYjA2ZC0zOWQ4OTE2MGM0NzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QUcDgbu0-0C4iebpa9SpLYYSvPNFvm5qt0CWyxOufQRbT2OJavNcc2B-UA-PRGhKkn1_A3AKD6vAf_mR73cDga81sqkkJqG8FEYGL1AE0Atue2eZbESRCVTNDG5t_wU49cVCdcS7xOdNFd75CrRLCyNWbjDZqbfYGo0KOnLZIdZ6UydkDdqsjOiFXv53B9dw9PmZvPzH_K-GduCAGhuOA_FB1IS8XaxVcfa_kivqWQD1Ios3hZ_KK4gSXi3wdM8BH_X5pCG05MeNPC5T5j91sKw0JDdNU801387n_D6sKoNYUs_N8Waeb-7_ceTimiWYPNSXwWlJ2-AbwhcAXMujpw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:26:39.242Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMwOTQsImlhdCI6MTc1MTI4Mjc5NCwiYXV0aF90aW1lIjoxNzUxMjgyNzkzLCJqdGkiOiIwNjYyYzVlZC01ZGRhLTRiZTctYjA2ZC0zOWQ4OTE2MGM0NzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QUcDgbu0-0C4iebpa9SpLYYSvPNFvm5qt0CWyxOufQRbT2OJavNcc2B-UA-PRGhKkn1_A3AKD6vAf_mR73cDga81sqkkJqG8FEYGL1AE0Atue2eZbESRCVTNDG5t_wU49cVCdcS7xOdNFd75CrRLCyNWbjDZqbfYGo0KOnLZIdZ6UydkDdqsjOiFXv53B9dw9PmZvPzH_K-GduCAGhuOA_FB1IS8XaxVcfa_kivqWQD1Ios3hZ_KK4gSXi3wdM8BH_X5pCG05MeNPC5T5j91sKw0JDdNU801387n_D6sKoNYUs_N8Waeb-7_ceTimiWYPNSXwWlJ2-AbwhcAXMujpw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:26:41.254Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMwOTQsImlhdCI6MTc1MTI4Mjc5NCwiYXV0aF90aW1lIjoxNzUxMjgyNzkzLCJqdGkiOiIwNjYyYzVlZC01ZGRhLTRiZTctYjA2ZC0zOWQ4OTE2MGM0NzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QUcDgbu0-0C4iebpa9SpLYYSvPNFvm5qt0CWyxOufQRbT2OJavNcc2B-UA-PRGhKkn1_A3AKD6vAf_mR73cDga81sqkkJqG8FEYGL1AE0Atue2eZbESRCVTNDG5t_wU49cVCdcS7xOdNFd75CrRLCyNWbjDZqbfYGo0KOnLZIdZ6UydkDdqsjOiFXv53B9dw9PmZvPzH_K-GduCAGhuOA_FB1IS8XaxVcfa_kivqWQD1Ios3hZ_KK4gSXi3wdM8BH_X5pCG05MeNPC5T5j91sKw0JDdNU801387n_D6sKoNYUs_N8Waeb-7_ceTimiWYPNSXwWlJ2-AbwhcAXMujpw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:26:43.301Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMwOTQsImlhdCI6MTc1MTI4Mjc5NCwiYXV0aF90aW1lIjoxNzUxMjgyNzkzLCJqdGkiOiIwNjYyYzVlZC01ZGRhLTRiZTctYjA2ZC0zOWQ4OTE2MGM0NzYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QUcDgbu0-0C4iebpa9SpLYYSvPNFvm5qt0CWyxOufQRbT2OJavNcc2B-UA-PRGhKkn1_A3AKD6vAf_mR73cDga81sqkkJqG8FEYGL1AE0Atue2eZbESRCVTNDG5t_wU49cVCdcS7xOdNFd75CrRLCyNWbjDZqbfYGo0KOnLZIdZ6UydkDdqsjOiFXv53B9dw9PmZvPzH_K-GduCAGhuOA_FB1IS8XaxVcfa_kivqWQD1Ios3hZ_KK4gSXi3wdM8BH_X5pCG05MeNPC5T5j91sKw0JDdNU801387n_D6sKoNYUs_N8Waeb-7_ceTimiWYPNSXwWlJ2-AbwhcAXMujpw' failed: Establishing a tunnel via proxy server failed.
