[2025-06-30T11:30:05.644Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=169b76f8-d824-4df0-adcf-eb94f763c195&response_mode=fragment&response_type=code&scope=openid&nonce=87fe0b0a-de11-4160-87a2-21053d2fb819 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T11:30:05.645Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=169b76f8-d824-4df0-adcf-eb94f763c195&response_mode=fragment&response_type=code&scope=openid&nonce=87fe0b0a-de11-4160-87a2-21053d2fb819 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T11:30:07.786Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMzMDYsImlhdCI6MTc1MTI4MzAwNiwiYXV0aF90aW1lIjoxNzUxMjgzMDA1LCJqdGkiOiIzMmRjMzIxNy03ZjkzLTQ3ZWMtYjIxYS04OWFkYzAyNzU2NzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TuimqZcVr7td3Nrsp2jkfEz60Kk2w7vYcYqy1ODq8cbASHa0XlrhNu3YDzBH0JbVtTVK8qd8l-tWuqwkCnIWKbXgYh5cEvwvcVOrzebe9HrThf0pqALrPlbiXmdM_N3_w0trL6J5w7hu_POQToTgwB8tV7gPyXSSZPykGlz6BXvx10ZHY-WoHFtswPpfPVIsMgH20DCzXklIXHba8DsIC2QYVZxqWybi4dqYOdQ95dKyVEPIILg936Na92w7lQ28x9Gpv0Hnk99S1hAvvnGB06OCLJpuWtsbPJWFEkbjSgL0OoKfTgQUMF7yHcvo0ZNf5shaxGQH_71zKMwjYIdkmg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:30:09.789Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMzMDYsImlhdCI6MTc1MTI4MzAwNiwiYXV0aF90aW1lIjoxNzUxMjgzMDA1LCJqdGkiOiIzMmRjMzIxNy03ZjkzLTQ3ZWMtYjIxYS04OWFkYzAyNzU2NzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TuimqZcVr7td3Nrsp2jkfEz60Kk2w7vYcYqy1ODq8cbASHa0XlrhNu3YDzBH0JbVtTVK8qd8l-tWuqwkCnIWKbXgYh5cEvwvcVOrzebe9HrThf0pqALrPlbiXmdM_N3_w0trL6J5w7hu_POQToTgwB8tV7gPyXSSZPykGlz6BXvx10ZHY-WoHFtswPpfPVIsMgH20DCzXklIXHba8DsIC2QYVZxqWybi4dqYOdQ95dKyVEPIILg936Na92w7lQ28x9Gpv0Hnk99S1hAvvnGB06OCLJpuWtsbPJWFEkbjSgL0OoKfTgQUMF7yHcvo0ZNf5shaxGQH_71zKMwjYIdkmg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:30:11.937Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMzMDYsImlhdCI6MTc1MTI4MzAwNiwiYXV0aF90aW1lIjoxNzUxMjgzMDA1LCJqdGkiOiIzMmRjMzIxNy03ZjkzLTQ3ZWMtYjIxYS04OWFkYzAyNzU2NzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TuimqZcVr7td3Nrsp2jkfEz60Kk2w7vYcYqy1ODq8cbASHa0XlrhNu3YDzBH0JbVtTVK8qd8l-tWuqwkCnIWKbXgYh5cEvwvcVOrzebe9HrThf0pqALrPlbiXmdM_N3_w0trL6J5w7hu_POQToTgwB8tV7gPyXSSZPykGlz6BXvx10ZHY-WoHFtswPpfPVIsMgH20DCzXklIXHba8DsIC2QYVZxqWybi4dqYOdQ95dKyVEPIILg936Na92w7lQ28x9Gpv0Hnk99S1hAvvnGB06OCLJpuWtsbPJWFEkbjSgL0OoKfTgQUMF7yHcvo0ZNf5shaxGQH_71zKMwjYIdkmg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:30:14.029Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMzMDYsImlhdCI6MTc1MTI4MzAwNiwiYXV0aF90aW1lIjoxNzUxMjgzMDA1LCJqdGkiOiIzMmRjMzIxNy03ZjkzLTQ3ZWMtYjIxYS04OWFkYzAyNzU2NzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TuimqZcVr7td3Nrsp2jkfEz60Kk2w7vYcYqy1ODq8cbASHa0XlrhNu3YDzBH0JbVtTVK8qd8l-tWuqwkCnIWKbXgYh5cEvwvcVOrzebe9HrThf0pqALrPlbiXmdM_N3_w0trL6J5w7hu_POQToTgwB8tV7gPyXSSZPykGlz6BXvx10ZHY-WoHFtswPpfPVIsMgH20DCzXklIXHba8DsIC2QYVZxqWybi4dqYOdQ95dKyVEPIILg936Na92w7lQ28x9Gpv0Hnk99S1hAvvnGB06OCLJpuWtsbPJWFEkbjSgL0OoKfTgQUMF7yHcvo0ZNf5shaxGQH_71zKMwjYIdkmg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:30:16.103Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMzMDYsImlhdCI6MTc1MTI4MzAwNiwiYXV0aF90aW1lIjoxNzUxMjgzMDA1LCJqdGkiOiIzMmRjMzIxNy03ZjkzLTQ3ZWMtYjIxYS04OWFkYzAyNzU2NzciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.TuimqZcVr7td3Nrsp2jkfEz60Kk2w7vYcYqy1ODq8cbASHa0XlrhNu3YDzBH0JbVtTVK8qd8l-tWuqwkCnIWKbXgYh5cEvwvcVOrzebe9HrThf0pqALrPlbiXmdM_N3_w0trL6J5w7hu_POQToTgwB8tV7gPyXSSZPykGlz6BXvx10ZHY-WoHFtswPpfPVIsMgH20DCzXklIXHba8DsIC2QYVZxqWybi4dqYOdQ95dKyVEPIILg936Na92w7lQ28x9Gpv0Hnk99S1hAvvnGB06OCLJpuWtsbPJWFEkbjSgL0OoKfTgQUMF7yHcvo0ZNf5shaxGQH_71zKMwjYIdkmg' failed: Establishing a tunnel via proxy server failed.
