[2025-06-30T11:29:12.499Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=dac51bbf-063f-4070-8772-5f311193c029&response_mode=fragment&response_type=code&scope=openid&nonce=e062a029-0137-4474-8b98-e9b2a9a73f10 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T11:29:12.500Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=dac51bbf-063f-4070-8772-5f311193c029&response_mode=fragment&response_type=code&scope=openid&nonce=e062a029-0137-4474-8b98-e9b2a9a73f10 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T11:29:14.638Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNTMsImlhdCI6MTc1MTI4Mjk1MywiYXV0aF90aW1lIjoxNzUxMjgyOTUyLCJqdGkiOiJlMWFhYTQ3MC0zMjBlLTQ2ZDgtOTJjNi01MjRmYzYyZTc2MzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fIBF7uFGuiqrthydG_gEPeUpgEC7RkXQ03OP7D23Ga3l6uR7oIjLLwBYvOvgVFtvGxDHDIkDamToUifd9aFIoyl2-nyrcDCch-H46jJywhT-XvPa0GJ6CAeS7jicG_u2ItyisW52F3xY1CuGayvpKEs1etmTnl2u0szq_z9zAD9RJ6GB75Y4Ns_SpzUKMcK1u-ASJBYXcFdlfaGv1nAIMfq2QspuW-9nkTp-cnORqGLmHKv2Y3Hd_kH613UwCJeJBH0cobPxFXQqn0I2YPix1QWMgDu7qJVIIyqXyzNr3Q1JGnYdhUUNJEXgkAwzMRxU3QmczzJdXGJvzOAJbSmu0g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:16.645Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNTMsImlhdCI6MTc1MTI4Mjk1MywiYXV0aF90aW1lIjoxNzUxMjgyOTUyLCJqdGkiOiJlMWFhYTQ3MC0zMjBlLTQ2ZDgtOTJjNi01MjRmYzYyZTc2MzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fIBF7uFGuiqrthydG_gEPeUpgEC7RkXQ03OP7D23Ga3l6uR7oIjLLwBYvOvgVFtvGxDHDIkDamToUifd9aFIoyl2-nyrcDCch-H46jJywhT-XvPa0GJ6CAeS7jicG_u2ItyisW52F3xY1CuGayvpKEs1etmTnl2u0szq_z9zAD9RJ6GB75Y4Ns_SpzUKMcK1u-ASJBYXcFdlfaGv1nAIMfq2QspuW-9nkTp-cnORqGLmHKv2Y3Hd_kH613UwCJeJBH0cobPxFXQqn0I2YPix1QWMgDu7qJVIIyqXyzNr3Q1JGnYdhUUNJEXgkAwzMRxU3QmczzJdXGJvzOAJbSmu0g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:18.651Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNTMsImlhdCI6MTc1MTI4Mjk1MywiYXV0aF90aW1lIjoxNzUxMjgyOTUyLCJqdGkiOiJlMWFhYTQ3MC0zMjBlLTQ2ZDgtOTJjNi01MjRmYzYyZTc2MzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fIBF7uFGuiqrthydG_gEPeUpgEC7RkXQ03OP7D23Ga3l6uR7oIjLLwBYvOvgVFtvGxDHDIkDamToUifd9aFIoyl2-nyrcDCch-H46jJywhT-XvPa0GJ6CAeS7jicG_u2ItyisW52F3xY1CuGayvpKEs1etmTnl2u0szq_z9zAD9RJ6GB75Y4Ns_SpzUKMcK1u-ASJBYXcFdlfaGv1nAIMfq2QspuW-9nkTp-cnORqGLmHKv2Y3Hd_kH613UwCJeJBH0cobPxFXQqn0I2YPix1QWMgDu7qJVIIyqXyzNr3Q1JGnYdhUUNJEXgkAwzMRxU3QmczzJdXGJvzOAJbSmu0g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:20.720Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNTMsImlhdCI6MTc1MTI4Mjk1MywiYXV0aF90aW1lIjoxNzUxMjgyOTUyLCJqdGkiOiJlMWFhYTQ3MC0zMjBlLTQ2ZDgtOTJjNi01MjRmYzYyZTc2MzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fIBF7uFGuiqrthydG_gEPeUpgEC7RkXQ03OP7D23Ga3l6uR7oIjLLwBYvOvgVFtvGxDHDIkDamToUifd9aFIoyl2-nyrcDCch-H46jJywhT-XvPa0GJ6CAeS7jicG_u2ItyisW52F3xY1CuGayvpKEs1etmTnl2u0szq_z9zAD9RJ6GB75Y4Ns_SpzUKMcK1u-ASJBYXcFdlfaGv1nAIMfq2QspuW-9nkTp-cnORqGLmHKv2Y3Hd_kH613UwCJeJBH0cobPxFXQqn0I2YPix1QWMgDu7qJVIIyqXyzNr3Q1JGnYdhUUNJEXgkAwzMRxU3QmczzJdXGJvzOAJbSmu0g' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:22.835Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNTMsImlhdCI6MTc1MTI4Mjk1MywiYXV0aF90aW1lIjoxNzUxMjgyOTUyLCJqdGkiOiJlMWFhYTQ3MC0zMjBlLTQ2ZDgtOTJjNi01MjRmYzYyZTc2MzEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.fIBF7uFGuiqrthydG_gEPeUpgEC7RkXQ03OP7D23Ga3l6uR7oIjLLwBYvOvgVFtvGxDHDIkDamToUifd9aFIoyl2-nyrcDCch-H46jJywhT-XvPa0GJ6CAeS7jicG_u2ItyisW52F3xY1CuGayvpKEs1etmTnl2u0szq_z9zAD9RJ6GB75Y4Ns_SpzUKMcK1u-ASJBYXcFdlfaGv1nAIMfq2QspuW-9nkTp-cnORqGLmHKv2Y3Hd_kH613UwCJeJBH0cobPxFXQqn0I2YPix1QWMgDu7qJVIIyqXyzNr3Q1JGnYdhUUNJEXgkAwzMRxU3QmczzJdXGJvzOAJbSmu0g' failed: Establishing a tunnel via proxy server failed.
