[2025-06-30T11:22:36.638Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=066c9dc9-6a14-472a-bec7-b242a0b9f379&response_mode=fragment&response_type=code&scope=openid&nonce=534a8a0c-d508-496a-8037-5908eececfe4 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T11:22:36.640Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=066c9dc9-6a14-472a-bec7-b242a0b9f379&response_mode=fragment&response_type=code&scope=openid&nonce=534a8a0c-d508-496a-8037-5908eececfe4 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T11:22:38.715Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODI4NTcsImlhdCI6MTc1MTI4MjU1NywiYXV0aF90aW1lIjoxNzUxMjgyNTU2LCJqdGkiOiI3Mzc5YWZhZi01MTU2LTQ0NDktYWZmYy01NDkwMDAzZDUxMmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FrprJLyg19nmwL7li2x8E4_5rQAPY6hY4k-YGuCtHA0vgRT-j9AIYMkEcoO5X_sLP5NHy7reHX-Y4H3Yw6Dor9xEzuQtM4pfK5-4MNGBEErX3DkBhECQ3ZsDzWlnubPVAr6jz13jaRFFLaDI5DOTR7J-uWVirzkeKOfjKjyVKmw-KEj62-xYw3jCja9RC2JBpD2KakO2sCpfV5XR3kGjUiGBJE9YEWeyZZUUbvSrGC39lSnTQfnMNVchU1rhoZAE0KF8-A4sAsuf3kuUXQgRhXswJoN4aaDJX9brjc_6vomHb1hACs_KIxUeCTMk6dx4KHZM8HlG75iIRR_IsdU_Iw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:22:40.720Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODI4NTcsImlhdCI6MTc1MTI4MjU1NywiYXV0aF90aW1lIjoxNzUxMjgyNTU2LCJqdGkiOiI3Mzc5YWZhZi01MTU2LTQ0NDktYWZmYy01NDkwMDAzZDUxMmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FrprJLyg19nmwL7li2x8E4_5rQAPY6hY4k-YGuCtHA0vgRT-j9AIYMkEcoO5X_sLP5NHy7reHX-Y4H3Yw6Dor9xEzuQtM4pfK5-4MNGBEErX3DkBhECQ3ZsDzWlnubPVAr6jz13jaRFFLaDI5DOTR7J-uWVirzkeKOfjKjyVKmw-KEj62-xYw3jCja9RC2JBpD2KakO2sCpfV5XR3kGjUiGBJE9YEWeyZZUUbvSrGC39lSnTQfnMNVchU1rhoZAE0KF8-A4sAsuf3kuUXQgRhXswJoN4aaDJX9brjc_6vomHb1hACs_KIxUeCTMk6dx4KHZM8HlG75iIRR_IsdU_Iw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:22:42.725Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODI4NTcsImlhdCI6MTc1MTI4MjU1NywiYXV0aF90aW1lIjoxNzUxMjgyNTU2LCJqdGkiOiI3Mzc5YWZhZi01MTU2LTQ0NDktYWZmYy01NDkwMDAzZDUxMmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FrprJLyg19nmwL7li2x8E4_5rQAPY6hY4k-YGuCtHA0vgRT-j9AIYMkEcoO5X_sLP5NHy7reHX-Y4H3Yw6Dor9xEzuQtM4pfK5-4MNGBEErX3DkBhECQ3ZsDzWlnubPVAr6jz13jaRFFLaDI5DOTR7J-uWVirzkeKOfjKjyVKmw-KEj62-xYw3jCja9RC2JBpD2KakO2sCpfV5XR3kGjUiGBJE9YEWeyZZUUbvSrGC39lSnTQfnMNVchU1rhoZAE0KF8-A4sAsuf3kuUXQgRhXswJoN4aaDJX9brjc_6vomHb1hACs_KIxUeCTMk6dx4KHZM8HlG75iIRR_IsdU_Iw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:22:44.897Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODI4NTcsImlhdCI6MTc1MTI4MjU1NywiYXV0aF90aW1lIjoxNzUxMjgyNTU2LCJqdGkiOiI3Mzc5YWZhZi01MTU2LTQ0NDktYWZmYy01NDkwMDAzZDUxMmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FrprJLyg19nmwL7li2x8E4_5rQAPY6hY4k-YGuCtHA0vgRT-j9AIYMkEcoO5X_sLP5NHy7reHX-Y4H3Yw6Dor9xEzuQtM4pfK5-4MNGBEErX3DkBhECQ3ZsDzWlnubPVAr6jz13jaRFFLaDI5DOTR7J-uWVirzkeKOfjKjyVKmw-KEj62-xYw3jCja9RC2JBpD2KakO2sCpfV5XR3kGjUiGBJE9YEWeyZZUUbvSrGC39lSnTQfnMNVchU1rhoZAE0KF8-A4sAsuf3kuUXQgRhXswJoN4aaDJX9brjc_6vomHb1hACs_KIxUeCTMk6dx4KHZM8HlG75iIRR_IsdU_Iw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:22:46.736Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODI4NTcsImlhdCI6MTc1MTI4MjU1NywiYXV0aF90aW1lIjoxNzUxMjgyNTU2LCJqdGkiOiI3Mzc5YWZhZi01MTU2LTQ0NDktYWZmYy01NDkwMDAzZDUxMmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FrprJLyg19nmwL7li2x8E4_5rQAPY6hY4k-YGuCtHA0vgRT-j9AIYMkEcoO5X_sLP5NHy7reHX-Y4H3Yw6Dor9xEzuQtM4pfK5-4MNGBEErX3DkBhECQ3ZsDzWlnubPVAr6jz13jaRFFLaDI5DOTR7J-uWVirzkeKOfjKjyVKmw-KEj62-xYw3jCja9RC2JBpD2KakO2sCpfV5XR3kGjUiGBJE9YEWeyZZUUbvSrGC39lSnTQfnMNVchU1rhoZAE0KF8-A4sAsuf3kuUXQgRhXswJoN4aaDJX9brjc_6vomHb1hACs_KIxUeCTMk6dx4KHZM8HlG75iIRR_IsdU_Iw' failed: Establishing a tunnel via proxy server failed.
