[2025-06-30T10:50:01.882Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=00928eeb-c784-47bf-9142-da0777b046df&response_mode=fragment&response_type=code&scope=openid&nonce=a623fa77-e05d-4b1c-93c5-e9426342ef79 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T10:50:01.883Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=00928eeb-c784-47bf-9142-da0777b046df&response_mode=fragment&response_type=code&scope=openid&nonce=a623fa77-e05d-4b1c-93c5-e9426342ef79 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T10:50:04.663Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODA5MDMsImlhdCI6MTc1MTI4MDYwMywiYXV0aF90aW1lIjoxNzUxMjgwNjAyLCJqdGkiOiJiMzcyZmY4MC0wMWZiLTQyYzctYTdjMi00YTI0OTM4NmZiMmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CrSEZ2VZk2bDAFgHFubpGiFAgchdbAs3FamKu43S8eGTuvogTNhoCBuxmUCNiGLSFzUIumeHGGrXzSy-D5MHpa_Mahy1Oj9pl6IcDT7C7Vdmyvd1kVgBESwkLJmkuPDGRX4Lajj7hl8Vbv10OR0XDfecxJf4KjgqhyqFQPdTr4R14lnfXdR_Kpkla3OHJwm3KaiPfjI69TQQlo1DE2y88uC3d9rTs9yxFaL1DbHl-JVwgsB2q7WeRiZBTxKfXD9lf7nP449vdIf2WewYnCiBkIdLufOm659s5tK4-F8GcpJVA0YMWceKihcteWnQLg60V1K_GppgFvG077AYodWgfw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T10:50:06.672Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODA5MDMsImlhdCI6MTc1MTI4MDYwMywiYXV0aF90aW1lIjoxNzUxMjgwNjAyLCJqdGkiOiJiMzcyZmY4MC0wMWZiLTQyYzctYTdjMi00YTI0OTM4NmZiMmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CrSEZ2VZk2bDAFgHFubpGiFAgchdbAs3FamKu43S8eGTuvogTNhoCBuxmUCNiGLSFzUIumeHGGrXzSy-D5MHpa_Mahy1Oj9pl6IcDT7C7Vdmyvd1kVgBESwkLJmkuPDGRX4Lajj7hl8Vbv10OR0XDfecxJf4KjgqhyqFQPdTr4R14lnfXdR_Kpkla3OHJwm3KaiPfjI69TQQlo1DE2y88uC3d9rTs9yxFaL1DbHl-JVwgsB2q7WeRiZBTxKfXD9lf7nP449vdIf2WewYnCiBkIdLufOm659s5tK4-F8GcpJVA0YMWceKihcteWnQLg60V1K_GppgFvG077AYodWgfw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T10:50:08.688Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODA5MDMsImlhdCI6MTc1MTI4MDYwMywiYXV0aF90aW1lIjoxNzUxMjgwNjAyLCJqdGkiOiJiMzcyZmY4MC0wMWZiLTQyYzctYTdjMi00YTI0OTM4NmZiMmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CrSEZ2VZk2bDAFgHFubpGiFAgchdbAs3FamKu43S8eGTuvogTNhoCBuxmUCNiGLSFzUIumeHGGrXzSy-D5MHpa_Mahy1Oj9pl6IcDT7C7Vdmyvd1kVgBESwkLJmkuPDGRX4Lajj7hl8Vbv10OR0XDfecxJf4KjgqhyqFQPdTr4R14lnfXdR_Kpkla3OHJwm3KaiPfjI69TQQlo1DE2y88uC3d9rTs9yxFaL1DbHl-JVwgsB2q7WeRiZBTxKfXD9lf7nP449vdIf2WewYnCiBkIdLufOm659s5tK4-F8GcpJVA0YMWceKihcteWnQLg60V1K_GppgFvG077AYodWgfw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T10:50:10.711Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODA5MDMsImlhdCI6MTc1MTI4MDYwMywiYXV0aF90aW1lIjoxNzUxMjgwNjAyLCJqdGkiOiJiMzcyZmY4MC0wMWZiLTQyYzctYTdjMi00YTI0OTM4NmZiMmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CrSEZ2VZk2bDAFgHFubpGiFAgchdbAs3FamKu43S8eGTuvogTNhoCBuxmUCNiGLSFzUIumeHGGrXzSy-D5MHpa_Mahy1Oj9pl6IcDT7C7Vdmyvd1kVgBESwkLJmkuPDGRX4Lajj7hl8Vbv10OR0XDfecxJf4KjgqhyqFQPdTr4R14lnfXdR_Kpkla3OHJwm3KaiPfjI69TQQlo1DE2y88uC3d9rTs9yxFaL1DbHl-JVwgsB2q7WeRiZBTxKfXD9lf7nP449vdIf2WewYnCiBkIdLufOm659s5tK4-F8GcpJVA0YMWceKihcteWnQLg60V1K_GppgFvG077AYodWgfw' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T10:50:12.731Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODA5MDMsImlhdCI6MTc1MTI4MDYwMywiYXV0aF90aW1lIjoxNzUxMjgwNjAyLCJqdGkiOiJiMzcyZmY4MC0wMWZiLTQyYzctYTdjMi00YTI0OTM4NmZiMmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.CrSEZ2VZk2bDAFgHFubpGiFAgchdbAs3FamKu43S8eGTuvogTNhoCBuxmUCNiGLSFzUIumeHGGrXzSy-D5MHpa_Mahy1Oj9pl6IcDT7C7Vdmyvd1kVgBESwkLJmkuPDGRX4Lajj7hl8Vbv10OR0XDfecxJf4KjgqhyqFQPdTr4R14lnfXdR_Kpkla3OHJwm3KaiPfjI69TQQlo1DE2y88uC3d9rTs9yxFaL1DbHl-JVwgsB2q7WeRiZBTxKfXD9lf7nP449vdIf2WewYnCiBkIdLufOm659s5tK4-F8GcpJVA0YMWceKihcteWnQLg60V1K_GppgFvG077AYodWgfw' failed: Establishing a tunnel via proxy server failed.
