[2025-06-30T11:29:30.145Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f56af50b-5804-4677-8676-bd7a0c30819a&response_mode=fragment&response_type=code&scope=openid&nonce=144c34fe-937e-448a-96b7-ba2863d552df - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T11:29:30.145Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f56af50b-5804-4677-8676-bd7a0c30819a&response_mode=fragment&response_type=code&scope=openid&nonce=144c34fe-937e-448a-96b7-ba2863d552df - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T11:29:32.287Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNzEsImlhdCI6MTc1MTI4Mjk3MSwiYXV0aF90aW1lIjoxNzUxMjgyOTcwLCJqdGkiOiIyZmIyMDVhNC1jMTc2LTRhODgtYjVkNS0zY2ExZmUzMTc5ZjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FbBbYkhrP0fVAk8gbMP84sYrjVmmnMecC0DAbgwfkeyrckUOjThzvwnOg4103HExdZ4qy_L8x4MFbhh9loAqZ4IxCSwsob5zPkc4mhE6xUJgVox4uEkDeJ6bVeCNw0qahoYlGxMbY_8jhuwUMgqewIbt-5gUY7XYE1o6ksiIWx_sKhZgJl49lt97_SPsddOVE-Ki9ytHbcLJdrgGhSWloeDQ8UWk68wm1UAgGDuHEIrduIY4iI2EVe184QyEZOyad1_6FuR3QCiFsktkVE-JOZBI-U68H7r8DbRuvLC_6wZsyG4XTAIM_UM9tjNwtofU0xJgO2EY94HrlMxZ4FnpUg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:34.292Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNzEsImlhdCI6MTc1MTI4Mjk3MSwiYXV0aF90aW1lIjoxNzUxMjgyOTcwLCJqdGkiOiIyZmIyMDVhNC1jMTc2LTRhODgtYjVkNS0zY2ExZmUzMTc5ZjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FbBbYkhrP0fVAk8gbMP84sYrjVmmnMecC0DAbgwfkeyrckUOjThzvwnOg4103HExdZ4qy_L8x4MFbhh9loAqZ4IxCSwsob5zPkc4mhE6xUJgVox4uEkDeJ6bVeCNw0qahoYlGxMbY_8jhuwUMgqewIbt-5gUY7XYE1o6ksiIWx_sKhZgJl49lt97_SPsddOVE-Ki9ytHbcLJdrgGhSWloeDQ8UWk68wm1UAgGDuHEIrduIY4iI2EVe184QyEZOyad1_6FuR3QCiFsktkVE-JOZBI-U68H7r8DbRuvLC_6wZsyG4XTAIM_UM9tjNwtofU0xJgO2EY94HrlMxZ4FnpUg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:36.296Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNzEsImlhdCI6MTc1MTI4Mjk3MSwiYXV0aF90aW1lIjoxNzUxMjgyOTcwLCJqdGkiOiIyZmIyMDVhNC1jMTc2LTRhODgtYjVkNS0zY2ExZmUzMTc5ZjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FbBbYkhrP0fVAk8gbMP84sYrjVmmnMecC0DAbgwfkeyrckUOjThzvwnOg4103HExdZ4qy_L8x4MFbhh9loAqZ4IxCSwsob5zPkc4mhE6xUJgVox4uEkDeJ6bVeCNw0qahoYlGxMbY_8jhuwUMgqewIbt-5gUY7XYE1o6ksiIWx_sKhZgJl49lt97_SPsddOVE-Ki9ytHbcLJdrgGhSWloeDQ8UWk68wm1UAgGDuHEIrduIY4iI2EVe184QyEZOyad1_6FuR3QCiFsktkVE-JOZBI-U68H7r8DbRuvLC_6wZsyG4XTAIM_UM9tjNwtofU0xJgO2EY94HrlMxZ4FnpUg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:38.361Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNzEsImlhdCI6MTc1MTI4Mjk3MSwiYXV0aF90aW1lIjoxNzUxMjgyOTcwLCJqdGkiOiIyZmIyMDVhNC1jMTc2LTRhODgtYjVkNS0zY2ExZmUzMTc5ZjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FbBbYkhrP0fVAk8gbMP84sYrjVmmnMecC0DAbgwfkeyrckUOjThzvwnOg4103HExdZ4qy_L8x4MFbhh9loAqZ4IxCSwsob5zPkc4mhE6xUJgVox4uEkDeJ6bVeCNw0qahoYlGxMbY_8jhuwUMgqewIbt-5gUY7XYE1o6ksiIWx_sKhZgJl49lt97_SPsddOVE-Ki9ytHbcLJdrgGhSWloeDQ8UWk68wm1UAgGDuHEIrduIY4iI2EVe184QyEZOyad1_6FuR3QCiFsktkVE-JOZBI-U68H7r8DbRuvLC_6wZsyG4XTAIM_UM9tjNwtofU0xJgO2EY94HrlMxZ4FnpUg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:40.426Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyNzEsImlhdCI6MTc1MTI4Mjk3MSwiYXV0aF90aW1lIjoxNzUxMjgyOTcwLCJqdGkiOiIyZmIyMDVhNC1jMTc2LTRhODgtYjVkNS0zY2ExZmUzMTc5ZjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FbBbYkhrP0fVAk8gbMP84sYrjVmmnMecC0DAbgwfkeyrckUOjThzvwnOg4103HExdZ4qy_L8x4MFbhh9loAqZ4IxCSwsob5zPkc4mhE6xUJgVox4uEkDeJ6bVeCNw0qahoYlGxMbY_8jhuwUMgqewIbt-5gUY7XYE1o6ksiIWx_sKhZgJl49lt97_SPsddOVE-Ki9ytHbcLJdrgGhSWloeDQ8UWk68wm1UAgGDuHEIrduIY4iI2EVe184QyEZOyad1_6FuR3QCiFsktkVE-JOZBI-U68H7r8DbRuvLC_6wZsyG4XTAIM_UM9tjNwtofU0xJgO2EY94HrlMxZ4FnpUg' failed: Establishing a tunnel via proxy server failed.
