[2025-06-30T11:29:47.728Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4d7139af-e267-4033-8de5-9b8ccd6fc919&response_mode=fragment&response_type=code&scope=openid&nonce=6ebf94a5-2b44-4010-be15-1491a4275906 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/9l0xw/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-06-30T11:29:47.729Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=4d7139af-e267-4033-8de5-9b8ccd6fc919&response_mode=fragment&response_type=code&scope=openid&nonce=6ebf94a5-2b44-4010-be15-1491a4275906 - Autofocus processing was blocked because a document already has a focused element.

[2025-06-30T11:29:49.799Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyODgsImlhdCI6MTc1MTI4Mjk4OCwiYXV0aF90aW1lIjoxNzUxMjgyOTg3LCJqdGkiOiI1ZGFmNGJlNy1iYjc0LTQyODQtODgyMC01YzYxMDYwZjYzNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y3IDF1z4xwYIA5_ht9Ljxi5UDy_wlP4pnRdURvq21-PLlN1ZRDTmPxc5UngctYp_pAkWlSJBFrJm17CaGTCHJeCyojiP5iMamS330Y_BSyPeg3zQnzg1fi5RnCp5q6pyP59eUcOlwCLiS2an9GtUriQDhjnpX-WWJw_bAP0DAY8LJpqgyaqTodw3C4A2QwOh0pqcs8MsAMugI4coox4_zeJ9xP2DF6zRppj2MUv9MGwE5JsTNKm0enewBlsbLNSZ-HFHk9ai09w3jRuVp8CEOJFnNkADrkSNLjEAb91UApwDcO10OjMXyVOjbzCtJx0WXIb22piSFLBvEVa3hXk4Wg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:51.803Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyODgsImlhdCI6MTc1MTI4Mjk4OCwiYXV0aF90aW1lIjoxNzUxMjgyOTg3LCJqdGkiOiI1ZGFmNGJlNy1iYjc0LTQyODQtODgyMC01YzYxMDYwZjYzNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y3IDF1z4xwYIA5_ht9Ljxi5UDy_wlP4pnRdURvq21-PLlN1ZRDTmPxc5UngctYp_pAkWlSJBFrJm17CaGTCHJeCyojiP5iMamS330Y_BSyPeg3zQnzg1fi5RnCp5q6pyP59eUcOlwCLiS2an9GtUriQDhjnpX-WWJw_bAP0DAY8LJpqgyaqTodw3C4A2QwOh0pqcs8MsAMugI4coox4_zeJ9xP2DF6zRppj2MUv9MGwE5JsTNKm0enewBlsbLNSZ-HFHk9ai09w3jRuVp8CEOJFnNkADrkSNLjEAb91UApwDcO10OjMXyVOjbzCtJx0WXIb22piSFLBvEVa3hXk4Wg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:53.808Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyODgsImlhdCI6MTc1MTI4Mjk4OCwiYXV0aF90aW1lIjoxNzUxMjgyOTg3LCJqdGkiOiI1ZGFmNGJlNy1iYjc0LTQyODQtODgyMC01YzYxMDYwZjYzNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y3IDF1z4xwYIA5_ht9Ljxi5UDy_wlP4pnRdURvq21-PLlN1ZRDTmPxc5UngctYp_pAkWlSJBFrJm17CaGTCHJeCyojiP5iMamS330Y_BSyPeg3zQnzg1fi5RnCp5q6pyP59eUcOlwCLiS2an9GtUriQDhjnpX-WWJw_bAP0DAY8LJpqgyaqTodw3C4A2QwOh0pqcs8MsAMugI4coox4_zeJ9xP2DF6zRppj2MUv9MGwE5JsTNKm0enewBlsbLNSZ-HFHk9ai09w3jRuVp8CEOJFnNkADrkSNLjEAb91UApwDcO10OjMXyVOjbzCtJx0WXIb22piSFLBvEVa3hXk4Wg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:55.826Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyODgsImlhdCI6MTc1MTI4Mjk4OCwiYXV0aF90aW1lIjoxNzUxMjgyOTg3LCJqdGkiOiI1ZGFmNGJlNy1iYjc0LTQyODQtODgyMC01YzYxMDYwZjYzNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y3IDF1z4xwYIA5_ht9Ljxi5UDy_wlP4pnRdURvq21-PLlN1ZRDTmPxc5UngctYp_pAkWlSJBFrJm17CaGTCHJeCyojiP5iMamS330Y_BSyPeg3zQnzg1fi5RnCp5q6pyP59eUcOlwCLiS2an9GtUriQDhjnpX-WWJw_bAP0DAY8LJpqgyaqTodw3C4A2QwOh0pqcs8MsAMugI4coox4_zeJ9xP2DF6zRppj2MUv9MGwE5JsTNKm0enewBlsbLNSZ-HFHk9ai09w3jRuVp8CEOJFnNkADrkSNLjEAb91UApwDcO10OjMXyVOjbzCtJx0WXIb22piSFLBvEVa3hXk4Wg' failed: Establishing a tunnel via proxy server failed.

[2025-06-30T11:29:57.878Z] [SEVERE] http://localhost:81/ui/static/js/main.addb5b34.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTEyODMyODgsImlhdCI6MTc1MTI4Mjk4OCwiYXV0aF90aW1lIjoxNzUxMjgyOTg3LCJqdGkiOiI1ZGFmNGJlNy1iYjc0LTQyODQtODgyMC01YzYxMDYwZjYzNGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Y3IDF1z4xwYIA5_ht9Ljxi5UDy_wlP4pnRdURvq21-PLlN1ZRDTmPxc5UngctYp_pAkWlSJBFrJm17CaGTCHJeCyojiP5iMamS330Y_BSyPeg3zQnzg1fi5RnCp5q6pyP59eUcOlwCLiS2an9GtUriQDhjnpX-WWJw_bAP0DAY8LJpqgyaqTodw3C4A2QwOh0pqcs8MsAMugI4coox4_zeJ9xP2DF6zRppj2MUv9MGwE5JsTNKm0enewBlsbLNSZ-HFHk9ai09w3jRuVp8CEOJFnNkADrkSNLjEAb91UApwDcO10OjMXyVOjbzCtJx0WXIb22piSFLBvEVa3hXk4Wg' failed: Establishing a tunnel via proxy server failed.
