[2025-07-10T11:56:06.540Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=6e4a09ee-3db3-4093-9318-441b4c3d53b8&response_mode=fragment&response_type=code&scope=openid&nonce=c9629a3f-45f1-4498-8958-46d509312e34 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/upwxy/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-10T11:56:06.542Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=6e4a09ee-3db3-4093-9318-441b4c3d53b8&response_mode=fragment&response_type=code&scope=openid&nonce=c9629a3f-45f1-4498-8958-46d509312e34 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-10T11:56:08.855Z] [SEVERE] http://localhost:81/ui/static/js/main.6ab23c37.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIxNDg4NjcsImlhdCI6MTc1MjE0ODU2NywiYXV0aF90aW1lIjoxNzUyMTQ4NTY2LCJqdGkiOiIwNTMzMWU1ZC0xOWFhLTQ4ZmUtYjczZS0yZmU1ZTQzMWNiOWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RJqcB2oWry_189uQg7dXvfKEl8g-dEi7jO0JlpBV-N5v1_Gbh6VG8pOiK4NaJtLES0TK4uTqjmMKIoylvFGH17t4A-hT9r7LsD9HU8emJTlVkT4xuCsfwqnOqDWjOVdw1IG-UBcPcSunvp60qdDkS01cZvla_GhHLL_WVhDZyv98-qdzdfl9vZ-s2516sUjQUGTuyF-3YNJp-dgkeoIfGDtwmoh-CEy9A40BvFKr8WkmmhITAFuRPLJ8MDygjj2UfsYKV5QP5ijbKaQhsqapz66Su6IeiOVL_szRiiWxARUceNTLT5NDZOLRTDWZEcoiDYdhZuRz3TjfP38M6AXxVw' failed: Establishing a tunnel via proxy server failed.

[2025-07-10T11:56:10.858Z] [SEVERE] http://localhost:81/ui/static/js/main.6ab23c37.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIxNDg4NjcsImlhdCI6MTc1MjE0ODU2NywiYXV0aF90aW1lIjoxNzUyMTQ4NTY2LCJqdGkiOiIwNTMzMWU1ZC0xOWFhLTQ4ZmUtYjczZS0yZmU1ZTQzMWNiOWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RJqcB2oWry_189uQg7dXvfKEl8g-dEi7jO0JlpBV-N5v1_Gbh6VG8pOiK4NaJtLES0TK4uTqjmMKIoylvFGH17t4A-hT9r7LsD9HU8emJTlVkT4xuCsfwqnOqDWjOVdw1IG-UBcPcSunvp60qdDkS01cZvla_GhHLL_WVhDZyv98-qdzdfl9vZ-s2516sUjQUGTuyF-3YNJp-dgkeoIfGDtwmoh-CEy9A40BvFKr8WkmmhITAFuRPLJ8MDygjj2UfsYKV5QP5ijbKaQhsqapz66Su6IeiOVL_szRiiWxARUceNTLT5NDZOLRTDWZEcoiDYdhZuRz3TjfP38M6AXxVw' failed: Establishing a tunnel via proxy server failed.

[2025-07-10T11:56:12.865Z] [SEVERE] http://localhost:81/ui/static/js/main.6ab23c37.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIxNDg4NjcsImlhdCI6MTc1MjE0ODU2NywiYXV0aF90aW1lIjoxNzUyMTQ4NTY2LCJqdGkiOiIwNTMzMWU1ZC0xOWFhLTQ4ZmUtYjczZS0yZmU1ZTQzMWNiOWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RJqcB2oWry_189uQg7dXvfKEl8g-dEi7jO0JlpBV-N5v1_Gbh6VG8pOiK4NaJtLES0TK4uTqjmMKIoylvFGH17t4A-hT9r7LsD9HU8emJTlVkT4xuCsfwqnOqDWjOVdw1IG-UBcPcSunvp60qdDkS01cZvla_GhHLL_WVhDZyv98-qdzdfl9vZ-s2516sUjQUGTuyF-3YNJp-dgkeoIfGDtwmoh-CEy9A40BvFKr8WkmmhITAFuRPLJ8MDygjj2UfsYKV5QP5ijbKaQhsqapz66Su6IeiOVL_szRiiWxARUceNTLT5NDZOLRTDWZEcoiDYdhZuRz3TjfP38M6AXxVw' failed: Establishing a tunnel via proxy server failed.

[2025-07-10T11:56:14.890Z] [SEVERE] http://localhost:81/ui/static/js/main.6ab23c37.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIxNDg4NjcsImlhdCI6MTc1MjE0ODU2NywiYXV0aF90aW1lIjoxNzUyMTQ4NTY2LCJqdGkiOiIwNTMzMWU1ZC0xOWFhLTQ4ZmUtYjczZS0yZmU1ZTQzMWNiOWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RJqcB2oWry_189uQg7dXvfKEl8g-dEi7jO0JlpBV-N5v1_Gbh6VG8pOiK4NaJtLES0TK4uTqjmMKIoylvFGH17t4A-hT9r7LsD9HU8emJTlVkT4xuCsfwqnOqDWjOVdw1IG-UBcPcSunvp60qdDkS01cZvla_GhHLL_WVhDZyv98-qdzdfl9vZ-s2516sUjQUGTuyF-3YNJp-dgkeoIfGDtwmoh-CEy9A40BvFKr8WkmmhITAFuRPLJ8MDygjj2UfsYKV5QP5ijbKaQhsqapz66Su6IeiOVL_szRiiWxARUceNTLT5NDZOLRTDWZEcoiDYdhZuRz3TjfP38M6AXxVw' failed: Establishing a tunnel via proxy server failed.

[2025-07-10T11:56:16.992Z] [SEVERE] http://localhost:81/ui/static/js/main.6ab23c37.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIxNDg4NjcsImlhdCI6MTc1MjE0ODU2NywiYXV0aF90aW1lIjoxNzUyMTQ4NTY2LCJqdGkiOiIwNTMzMWU1ZC0xOWFhLTQ4ZmUtYjczZS0yZmU1ZTQzMWNiOWEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.RJqcB2oWry_189uQg7dXvfKEl8g-dEi7jO0JlpBV-N5v1_Gbh6VG8pOiK4NaJtLES0TK4uTqjmMKIoylvFGH17t4A-hT9r7LsD9HU8emJTlVkT4xuCsfwqnOqDWjOVdw1IG-UBcPcSunvp60qdDkS01cZvla_GhHLL_WVhDZyv98-qdzdfl9vZ-s2516sUjQUGTuyF-3YNJp-dgkeoIfGDtwmoh-CEy9A40BvFKr8WkmmhITAFuRPLJ8MDygjj2UfsYKV5QP5ijbKaQhsqapz66Su6IeiOVL_szRiiWxARUceNTLT5NDZOLRTDWZEcoiDYdhZuRz3TjfP38M6AXxVw' failed: Establishing a tunnel via proxy server failed.
