[2025-07-11T23:08:18.277Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=13101101-79c9-44c9-9d66-870be681eeb4&response_mode=fragment&response_type=code&scope=openid&nonce=f896d158-8a18-4e84-9ce0-b3be919c78f8 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:08:18.278Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=13101101-79c9-44c9-9d66-870be681eeb4&response_mode=fragment&response_type=code&scope=openid&nonce=f896d158-8a18-4e84-9ce0-b3be919c78f8 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:08:20.158Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzU1OTksImlhdCI6MTc1MjI3NTI5OSwiYXV0aF90aW1lIjoxNzUyMjc1Mjk4LCJqdGkiOiI1YjI4OTdlYi05NjA5LTQ3ZWUtYTFmNi1lZTgzNjY5YzU0ZTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kLK8gzCKJh3JuaecQeGA5LMrJanO1nID7dL9aS7rucQR-KZpLR3o8HtR7GCQk5GHx2d7oDor4htKKoOhhG6oJ2QLbAs_t_25L9oCCWp7jgFdpb1x_vfsXl6QY3vbHmA8IsUHp_TjSTjcu0DdD2Rd7DisVS-8_fujX4Tjunrn_jogtXxklXsQL8zTAyhXb6prsqWgvplaz-wHHvBRw_i6R2U5HxOXenBApsZP4M0P3ilP933fh6or9iUnscTPAMIHoRcFERCPAuHhFvblo3NZpdnh0HZe2JB4ADadwhS0godgdBVbiJPf661HQjzM3t0kZzBf4xLlwZXZ4qCWkAN6XA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:08:22.164Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzU1OTksImlhdCI6MTc1MjI3NTI5OSwiYXV0aF90aW1lIjoxNzUyMjc1Mjk4LCJqdGkiOiI1YjI4OTdlYi05NjA5LTQ3ZWUtYTFmNi1lZTgzNjY5YzU0ZTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kLK8gzCKJh3JuaecQeGA5LMrJanO1nID7dL9aS7rucQR-KZpLR3o8HtR7GCQk5GHx2d7oDor4htKKoOhhG6oJ2QLbAs_t_25L9oCCWp7jgFdpb1x_vfsXl6QY3vbHmA8IsUHp_TjSTjcu0DdD2Rd7DisVS-8_fujX4Tjunrn_jogtXxklXsQL8zTAyhXb6prsqWgvplaz-wHHvBRw_i6R2U5HxOXenBApsZP4M0P3ilP933fh6or9iUnscTPAMIHoRcFERCPAuHhFvblo3NZpdnh0HZe2JB4ADadwhS0godgdBVbiJPf661HQjzM3t0kZzBf4xLlwZXZ4qCWkAN6XA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:08:24.186Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzU1OTksImlhdCI6MTc1MjI3NTI5OSwiYXV0aF90aW1lIjoxNzUyMjc1Mjk4LCJqdGkiOiI1YjI4OTdlYi05NjA5LTQ3ZWUtYTFmNi1lZTgzNjY5YzU0ZTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kLK8gzCKJh3JuaecQeGA5LMrJanO1nID7dL9aS7rucQR-KZpLR3o8HtR7GCQk5GHx2d7oDor4htKKoOhhG6oJ2QLbAs_t_25L9oCCWp7jgFdpb1x_vfsXl6QY3vbHmA8IsUHp_TjSTjcu0DdD2Rd7DisVS-8_fujX4Tjunrn_jogtXxklXsQL8zTAyhXb6prsqWgvplaz-wHHvBRw_i6R2U5HxOXenBApsZP4M0P3ilP933fh6or9iUnscTPAMIHoRcFERCPAuHhFvblo3NZpdnh0HZe2JB4ADadwhS0godgdBVbiJPf661HQjzM3t0kZzBf4xLlwZXZ4qCWkAN6XA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:08:26.200Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzU1OTksImlhdCI6MTc1MjI3NTI5OSwiYXV0aF90aW1lIjoxNzUyMjc1Mjk4LCJqdGkiOiI1YjI4OTdlYi05NjA5LTQ3ZWUtYTFmNi1lZTgzNjY5YzU0ZTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kLK8gzCKJh3JuaecQeGA5LMrJanO1nID7dL9aS7rucQR-KZpLR3o8HtR7GCQk5GHx2d7oDor4htKKoOhhG6oJ2QLbAs_t_25L9oCCWp7jgFdpb1x_vfsXl6QY3vbHmA8IsUHp_TjSTjcu0DdD2Rd7DisVS-8_fujX4Tjunrn_jogtXxklXsQL8zTAyhXb6prsqWgvplaz-wHHvBRw_i6R2U5HxOXenBApsZP4M0P3ilP933fh6or9iUnscTPAMIHoRcFERCPAuHhFvblo3NZpdnh0HZe2JB4ADadwhS0godgdBVbiJPf661HQjzM3t0kZzBf4xLlwZXZ4qCWkAN6XA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:08:28.228Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzU1OTksImlhdCI6MTc1MjI3NTI5OSwiYXV0aF90aW1lIjoxNzUyMjc1Mjk4LCJqdGkiOiI1YjI4OTdlYi05NjA5LTQ3ZWUtYTFmNi1lZTgzNjY5YzU0ZTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kLK8gzCKJh3JuaecQeGA5LMrJanO1nID7dL9aS7rucQR-KZpLR3o8HtR7GCQk5GHx2d7oDor4htKKoOhhG6oJ2QLbAs_t_25L9oCCWp7jgFdpb1x_vfsXl6QY3vbHmA8IsUHp_TjSTjcu0DdD2Rd7DisVS-8_fujX4Tjunrn_jogtXxklXsQL8zTAyhXb6prsqWgvplaz-wHHvBRw_i6R2U5HxOXenBApsZP4M0P3ilP933fh6or9iUnscTPAMIHoRcFERCPAuHhFvblo3NZpdnh0HZe2JB4ADadwhS0godgdBVbiJPf661HQjzM3t0kZzBf4xLlwZXZ4qCWkAN6XA' failed: Establishing a tunnel via proxy server failed.
