[2025-07-11T23:39:01.909Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f383d156-2e85-442f-86ae-74a480f683b0&response_mode=fragment&response_type=code&scope=openid&nonce=d2338f48-ff94-4e2a-9745-1a8ace366a05 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:39:01.910Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f383d156-2e85-442f-86ae-74a480f683b0&response_mode=fragment&response_type=code&scope=openid&nonce=d2338f48-ff94-4e2a-9745-1a8ace366a05 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:39:04.127Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc0NDMsImlhdCI6MTc1MjI3NzE0MywiYXV0aF90aW1lIjoxNzUyMjc3MTQyLCJqdGkiOiI2ZDVhYjQ3Zi0xZjgwLTRiMWMtYTU0Ny0wOGFkYTQxNTk5MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eaBbCzK_29vDKP11nq9UX1En_WaNBZZSVV0ymlZeqOSkg0ReB3dFoLyZLZ8LOyFRE3aSB9kdcI1FeGpOW-cVlFpklS3mVRTef3Jjy39BBa6clgna42WIbMafaU4PU_GlRZA_ye8a4WskP_emj-4F9BS4zQh2WqDG06nDH5vAb27XQ1S-4ySA4IE0spJiJHji2Ax-yhF0tEJLsbfu49oXMWEdbHyeBzKux6QWrOIG-8j3XHkRYar0LafmDm0Rm5CAnvjLGNdnJ3R7IWViQ0I1aVgRQ2LHnyO8UdNIGcSpQ3KlISSZ90S8fdiwBAEjhvX3xB2bbtdame-96f-rM3DS0A' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:39:06.132Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc0NDMsImlhdCI6MTc1MjI3NzE0MywiYXV0aF90aW1lIjoxNzUyMjc3MTQyLCJqdGkiOiI2ZDVhYjQ3Zi0xZjgwLTRiMWMtYTU0Ny0wOGFkYTQxNTk5MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eaBbCzK_29vDKP11nq9UX1En_WaNBZZSVV0ymlZeqOSkg0ReB3dFoLyZLZ8LOyFRE3aSB9kdcI1FeGpOW-cVlFpklS3mVRTef3Jjy39BBa6clgna42WIbMafaU4PU_GlRZA_ye8a4WskP_emj-4F9BS4zQh2WqDG06nDH5vAb27XQ1S-4ySA4IE0spJiJHji2Ax-yhF0tEJLsbfu49oXMWEdbHyeBzKux6QWrOIG-8j3XHkRYar0LafmDm0Rm5CAnvjLGNdnJ3R7IWViQ0I1aVgRQ2LHnyO8UdNIGcSpQ3KlISSZ90S8fdiwBAEjhvX3xB2bbtdame-96f-rM3DS0A' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:39:08.164Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc0NDMsImlhdCI6MTc1MjI3NzE0MywiYXV0aF90aW1lIjoxNzUyMjc3MTQyLCJqdGkiOiI2ZDVhYjQ3Zi0xZjgwLTRiMWMtYTU0Ny0wOGFkYTQxNTk5MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eaBbCzK_29vDKP11nq9UX1En_WaNBZZSVV0ymlZeqOSkg0ReB3dFoLyZLZ8LOyFRE3aSB9kdcI1FeGpOW-cVlFpklS3mVRTef3Jjy39BBa6clgna42WIbMafaU4PU_GlRZA_ye8a4WskP_emj-4F9BS4zQh2WqDG06nDH5vAb27XQ1S-4ySA4IE0spJiJHji2Ax-yhF0tEJLsbfu49oXMWEdbHyeBzKux6QWrOIG-8j3XHkRYar0LafmDm0Rm5CAnvjLGNdnJ3R7IWViQ0I1aVgRQ2LHnyO8UdNIGcSpQ3KlISSZ90S8fdiwBAEjhvX3xB2bbtdame-96f-rM3DS0A' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:39:10.241Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc0NDMsImlhdCI6MTc1MjI3NzE0MywiYXV0aF90aW1lIjoxNzUyMjc3MTQyLCJqdGkiOiI2ZDVhYjQ3Zi0xZjgwLTRiMWMtYTU0Ny0wOGFkYTQxNTk5MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eaBbCzK_29vDKP11nq9UX1En_WaNBZZSVV0ymlZeqOSkg0ReB3dFoLyZLZ8LOyFRE3aSB9kdcI1FeGpOW-cVlFpklS3mVRTef3Jjy39BBa6clgna42WIbMafaU4PU_GlRZA_ye8a4WskP_emj-4F9BS4zQh2WqDG06nDH5vAb27XQ1S-4ySA4IE0spJiJHji2Ax-yhF0tEJLsbfu49oXMWEdbHyeBzKux6QWrOIG-8j3XHkRYar0LafmDm0Rm5CAnvjLGNdnJ3R7IWViQ0I1aVgRQ2LHnyO8UdNIGcSpQ3KlISSZ90S8fdiwBAEjhvX3xB2bbtdame-96f-rM3DS0A' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:39:12.278Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc0NDMsImlhdCI6MTc1MjI3NzE0MywiYXV0aF90aW1lIjoxNzUyMjc3MTQyLCJqdGkiOiI2ZDVhYjQ3Zi0xZjgwLTRiMWMtYTU0Ny0wOGFkYTQxNTk5MmYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.eaBbCzK_29vDKP11nq9UX1En_WaNBZZSVV0ymlZeqOSkg0ReB3dFoLyZLZ8LOyFRE3aSB9kdcI1FeGpOW-cVlFpklS3mVRTef3Jjy39BBa6clgna42WIbMafaU4PU_GlRZA_ye8a4WskP_emj-4F9BS4zQh2WqDG06nDH5vAb27XQ1S-4ySA4IE0spJiJHji2Ax-yhF0tEJLsbfu49oXMWEdbHyeBzKux6QWrOIG-8j3XHkRYar0LafmDm0Rm5CAnvjLGNdnJ3R7IWViQ0I1aVgRQ2LHnyO8UdNIGcSpQ3KlISSZ90S8fdiwBAEjhvX3xB2bbtdame-96f-rM3DS0A' failed: Establishing a tunnel via proxy server failed.
