[2025-07-11T23:37:17.434Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=90eeb7e1-3e76-4d5d-badc-719063a291b0&response_mode=fragment&response_type=code&scope=openid&nonce=795e6c89-3cbc-43c8-a989-9c4ab956f52c - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:37:17.434Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=90eeb7e1-3e76-4d5d-badc-719063a291b0&response_mode=fragment&response_type=code&scope=openid&nonce=795e6c89-3cbc-43c8-a989-9c4ab956f52c - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:37:19.858Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzczMzgsImlhdCI6MTc1MjI3NzAzOCwiYXV0aF90aW1lIjoxNzUyMjc3MDM3LCJqdGkiOiJiNDU0YTk4Yy1lNDdlLTQ0YmMtYTZmNS03NzMxYzVmNWEyNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XcXXkfOieSmQQiMr-7BA-GHKOy-7Rj-KtVKfUsbWheiveA6wrS1QNQDIgfrZDcajFGJ7O4xIQxpoCWFL0GjgkzUgUMgRRdUhMYgnqXk6CydFiHPOpKaxyPj4lTls1Os-HjPrYyTC6WG9mk6HLB9eF36gXUEY4cqXl8qOs-B6IAgZKU-Gr0j5j_CQ68kzouLdDOSTSUn-O2Ng7adOlJpJEo5FGDJOGtvuXnm_XQ1lPc36nJ5IXuHsQc_AySHHzziX4XWuB7FYgT3UwPtN5J2vgUXMPMbxO2nAZpiNy3OAeZ385mnScgI06qglMuHyiCDZcBT6rCD-TVcyTobvx2BSaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:37:21.956Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzczMzgsImlhdCI6MTc1MjI3NzAzOCwiYXV0aF90aW1lIjoxNzUyMjc3MDM3LCJqdGkiOiJiNDU0YTk4Yy1lNDdlLTQ0YmMtYTZmNS03NzMxYzVmNWEyNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XcXXkfOieSmQQiMr-7BA-GHKOy-7Rj-KtVKfUsbWheiveA6wrS1QNQDIgfrZDcajFGJ7O4xIQxpoCWFL0GjgkzUgUMgRRdUhMYgnqXk6CydFiHPOpKaxyPj4lTls1Os-HjPrYyTC6WG9mk6HLB9eF36gXUEY4cqXl8qOs-B6IAgZKU-Gr0j5j_CQ68kzouLdDOSTSUn-O2Ng7adOlJpJEo5FGDJOGtvuXnm_XQ1lPc36nJ5IXuHsQc_AySHHzziX4XWuB7FYgT3UwPtN5J2vgUXMPMbxO2nAZpiNy3OAeZ385mnScgI06qglMuHyiCDZcBT6rCD-TVcyTobvx2BSaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:37:23.988Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzczMzgsImlhdCI6MTc1MjI3NzAzOCwiYXV0aF90aW1lIjoxNzUyMjc3MDM3LCJqdGkiOiJiNDU0YTk4Yy1lNDdlLTQ0YmMtYTZmNS03NzMxYzVmNWEyNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XcXXkfOieSmQQiMr-7BA-GHKOy-7Rj-KtVKfUsbWheiveA6wrS1QNQDIgfrZDcajFGJ7O4xIQxpoCWFL0GjgkzUgUMgRRdUhMYgnqXk6CydFiHPOpKaxyPj4lTls1Os-HjPrYyTC6WG9mk6HLB9eF36gXUEY4cqXl8qOs-B6IAgZKU-Gr0j5j_CQ68kzouLdDOSTSUn-O2Ng7adOlJpJEo5FGDJOGtvuXnm_XQ1lPc36nJ5IXuHsQc_AySHHzziX4XWuB7FYgT3UwPtN5J2vgUXMPMbxO2nAZpiNy3OAeZ385mnScgI06qglMuHyiCDZcBT6rCD-TVcyTobvx2BSaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:37:26.006Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzczMzgsImlhdCI6MTc1MjI3NzAzOCwiYXV0aF90aW1lIjoxNzUyMjc3MDM3LCJqdGkiOiJiNDU0YTk4Yy1lNDdlLTQ0YmMtYTZmNS03NzMxYzVmNWEyNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XcXXkfOieSmQQiMr-7BA-GHKOy-7Rj-KtVKfUsbWheiveA6wrS1QNQDIgfrZDcajFGJ7O4xIQxpoCWFL0GjgkzUgUMgRRdUhMYgnqXk6CydFiHPOpKaxyPj4lTls1Os-HjPrYyTC6WG9mk6HLB9eF36gXUEY4cqXl8qOs-B6IAgZKU-Gr0j5j_CQ68kzouLdDOSTSUn-O2Ng7adOlJpJEo5FGDJOGtvuXnm_XQ1lPc36nJ5IXuHsQc_AySHHzziX4XWuB7FYgT3UwPtN5J2vgUXMPMbxO2nAZpiNy3OAeZ385mnScgI06qglMuHyiCDZcBT6rCD-TVcyTobvx2BSaA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:37:28.043Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzczMzgsImlhdCI6MTc1MjI3NzAzOCwiYXV0aF90aW1lIjoxNzUyMjc3MDM3LCJqdGkiOiJiNDU0YTk4Yy1lNDdlLTQ0YmMtYTZmNS03NzMxYzVmNWEyNzIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.XcXXkfOieSmQQiMr-7BA-GHKOy-7Rj-KtVKfUsbWheiveA6wrS1QNQDIgfrZDcajFGJ7O4xIQxpoCWFL0GjgkzUgUMgRRdUhMYgnqXk6CydFiHPOpKaxyPj4lTls1Os-HjPrYyTC6WG9mk6HLB9eF36gXUEY4cqXl8qOs-B6IAgZKU-Gr0j5j_CQ68kzouLdDOSTSUn-O2Ng7adOlJpJEo5FGDJOGtvuXnm_XQ1lPc36nJ5IXuHsQc_AySHHzziX4XWuB7FYgT3UwPtN5J2vgUXMPMbxO2nAZpiNy3OAeZ385mnScgI06qglMuHyiCDZcBT6rCD-TVcyTobvx2BSaA' failed: Establishing a tunnel via proxy server failed.
