[2025-07-11T23:36:20.494Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3edd334f-adb1-4bab-99d8-1b968e901dcc&response_mode=fragment&response_type=code&scope=openid&nonce=ae5f5d81-06f5-4cf4-b5bc-718d307e5fa9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:36:20.494Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=3edd334f-adb1-4bab-99d8-1b968e901dcc&response_mode=fragment&response_type=code&scope=openid&nonce=ae5f5d81-06f5-4cf4-b5bc-718d307e5fa9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:36:22.649Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzcyODEsImlhdCI6MTc1MjI3Njk4MSwiYXV0aF90aW1lIjoxNzUyMjc2OTgwLCJqdGkiOiJhNjA2ZjVkYy01ZGFmLTQyOTMtOGQ5Yi00ZjJjNjMwNzYwZTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qbDM6KKeVEDrpuwmFqulAliG_rgt6_Ubi8Yv1smvcvq8IS26Co99ZoFJS-j3_lra37hd5ZyKCfGiUuSeJwpBJKrzsXz-HXm2vMx5dGVfLTevSZJB5Y5qGTR17-qJC0pHbTZPafORT0Gb7iamMk3sMVaOu0gRKVuwHmZhjqbfMUJjXVilLvqGwOFdvB-qk3WT33sKX_1_1yOOLvU8ilPbnRQCdvAnQvwbAkB0LUSSMoQHlLWt8S6TL0LWXxVDt3gU154dylFjG5aZwWYzh3OF-bYEmGyVaBdpwEij8O0h3-Ym0reI_LEe60fjBFxka1oFx436lYYjBQYQHmTwSbVgDQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:36:24.654Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzcyODEsImlhdCI6MTc1MjI3Njk4MSwiYXV0aF90aW1lIjoxNzUyMjc2OTgwLCJqdGkiOiJhNjA2ZjVkYy01ZGFmLTQyOTMtOGQ5Yi00ZjJjNjMwNzYwZTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qbDM6KKeVEDrpuwmFqulAliG_rgt6_Ubi8Yv1smvcvq8IS26Co99ZoFJS-j3_lra37hd5ZyKCfGiUuSeJwpBJKrzsXz-HXm2vMx5dGVfLTevSZJB5Y5qGTR17-qJC0pHbTZPafORT0Gb7iamMk3sMVaOu0gRKVuwHmZhjqbfMUJjXVilLvqGwOFdvB-qk3WT33sKX_1_1yOOLvU8ilPbnRQCdvAnQvwbAkB0LUSSMoQHlLWt8S6TL0LWXxVDt3gU154dylFjG5aZwWYzh3OF-bYEmGyVaBdpwEij8O0h3-Ym0reI_LEe60fjBFxka1oFx436lYYjBQYQHmTwSbVgDQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:36:26.658Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzcyODEsImlhdCI6MTc1MjI3Njk4MSwiYXV0aF90aW1lIjoxNzUyMjc2OTgwLCJqdGkiOiJhNjA2ZjVkYy01ZGFmLTQyOTMtOGQ5Yi00ZjJjNjMwNzYwZTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qbDM6KKeVEDrpuwmFqulAliG_rgt6_Ubi8Yv1smvcvq8IS26Co99ZoFJS-j3_lra37hd5ZyKCfGiUuSeJwpBJKrzsXz-HXm2vMx5dGVfLTevSZJB5Y5qGTR17-qJC0pHbTZPafORT0Gb7iamMk3sMVaOu0gRKVuwHmZhjqbfMUJjXVilLvqGwOFdvB-qk3WT33sKX_1_1yOOLvU8ilPbnRQCdvAnQvwbAkB0LUSSMoQHlLWt8S6TL0LWXxVDt3gU154dylFjG5aZwWYzh3OF-bYEmGyVaBdpwEij8O0h3-Ym0reI_LEe60fjBFxka1oFx436lYYjBQYQHmTwSbVgDQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:36:28.803Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzcyODEsImlhdCI6MTc1MjI3Njk4MSwiYXV0aF90aW1lIjoxNzUyMjc2OTgwLCJqdGkiOiJhNjA2ZjVkYy01ZGFmLTQyOTMtOGQ5Yi00ZjJjNjMwNzYwZTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qbDM6KKeVEDrpuwmFqulAliG_rgt6_Ubi8Yv1smvcvq8IS26Co99ZoFJS-j3_lra37hd5ZyKCfGiUuSeJwpBJKrzsXz-HXm2vMx5dGVfLTevSZJB5Y5qGTR17-qJC0pHbTZPafORT0Gb7iamMk3sMVaOu0gRKVuwHmZhjqbfMUJjXVilLvqGwOFdvB-qk3WT33sKX_1_1yOOLvU8ilPbnRQCdvAnQvwbAkB0LUSSMoQHlLWt8S6TL0LWXxVDt3gU154dylFjG5aZwWYzh3OF-bYEmGyVaBdpwEij8O0h3-Ym0reI_LEe60fjBFxka1oFx436lYYjBQYQHmTwSbVgDQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:36:30.816Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzcyODEsImlhdCI6MTc1MjI3Njk4MSwiYXV0aF90aW1lIjoxNzUyMjc2OTgwLCJqdGkiOiJhNjA2ZjVkYy01ZGFmLTQyOTMtOGQ5Yi00ZjJjNjMwNzYwZTYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.qbDM6KKeVEDrpuwmFqulAliG_rgt6_Ubi8Yv1smvcvq8IS26Co99ZoFJS-j3_lra37hd5ZyKCfGiUuSeJwpBJKrzsXz-HXm2vMx5dGVfLTevSZJB5Y5qGTR17-qJC0pHbTZPafORT0Gb7iamMk3sMVaOu0gRKVuwHmZhjqbfMUJjXVilLvqGwOFdvB-qk3WT33sKX_1_1yOOLvU8ilPbnRQCdvAnQvwbAkB0LUSSMoQHlLWt8S6TL0LWXxVDt3gU154dylFjG5aZwWYzh3OF-bYEmGyVaBdpwEij8O0h3-Ym0reI_LEe60fjBFxka1oFx436lYYjBQYQHmTwSbVgDQ' failed: Establishing a tunnel via proxy server failed.
