[2025-07-11T23:42:45.110Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=41063b9a-49f6-4ed5-863f-fc16196fd85d&response_mode=fragment&response_type=code&scope=openid&nonce=8df04254-6c77-41a8-acef-496bd19b8d54 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:42:45.110Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=41063b9a-49f6-4ed5-863f-fc16196fd85d&response_mode=fragment&response_type=code&scope=openid&nonce=8df04254-6c77-41a8-acef-496bd19b8d54 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:42:47.309Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2NjYsImlhdCI6MTc1MjI3NzM2NiwiYXV0aF90aW1lIjoxNzUyMjc3MzY1LCJqdGkiOiJkNGEyODQyZC05MDI3LTQ0Y2YtYjYwMy03MmI1NTlkMTUxMjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EVgE1WhbrOrd9CfWokCn1bIoBukgdt7jRT4RNrE9mIVcAIDdTzg1zkHKLPDWnwVV_HCD2nmDBAo9OvDCD2CWamA6mwjhGwznSxkJcHGrbUpu_Pf6iiccFYd-_0qAb-9NPh8OHXWB01HqUDUkbUYrIoqPg-X3GK37MQfoO9T_HSDTVnByz77gj3J5mtO9RnsYkNHEmd8HNO9MaWPnYbDVsP6dbcekhmegzxDoSj5Gn2ftM67M86mm9aaAGfXP4rsrL25sJQxHg9p8cVYtqXmJUU9OTy9dTJytXPjRObmx9iZZaK57CAIVn-FNPfeQyGkLyj7a7zC49HfE9ALGZ_yIbA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:49.315Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2NjYsImlhdCI6MTc1MjI3NzM2NiwiYXV0aF90aW1lIjoxNzUyMjc3MzY1LCJqdGkiOiJkNGEyODQyZC05MDI3LTQ0Y2YtYjYwMy03MmI1NTlkMTUxMjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EVgE1WhbrOrd9CfWokCn1bIoBukgdt7jRT4RNrE9mIVcAIDdTzg1zkHKLPDWnwVV_HCD2nmDBAo9OvDCD2CWamA6mwjhGwznSxkJcHGrbUpu_Pf6iiccFYd-_0qAb-9NPh8OHXWB01HqUDUkbUYrIoqPg-X3GK37MQfoO9T_HSDTVnByz77gj3J5mtO9RnsYkNHEmd8HNO9MaWPnYbDVsP6dbcekhmegzxDoSj5Gn2ftM67M86mm9aaAGfXP4rsrL25sJQxHg9p8cVYtqXmJUU9OTy9dTJytXPjRObmx9iZZaK57CAIVn-FNPfeQyGkLyj7a7zC49HfE9ALGZ_yIbA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:51.320Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2NjYsImlhdCI6MTc1MjI3NzM2NiwiYXV0aF90aW1lIjoxNzUyMjc3MzY1LCJqdGkiOiJkNGEyODQyZC05MDI3LTQ0Y2YtYjYwMy03MmI1NTlkMTUxMjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EVgE1WhbrOrd9CfWokCn1bIoBukgdt7jRT4RNrE9mIVcAIDdTzg1zkHKLPDWnwVV_HCD2nmDBAo9OvDCD2CWamA6mwjhGwznSxkJcHGrbUpu_Pf6iiccFYd-_0qAb-9NPh8OHXWB01HqUDUkbUYrIoqPg-X3GK37MQfoO9T_HSDTVnByz77gj3J5mtO9RnsYkNHEmd8HNO9MaWPnYbDVsP6dbcekhmegzxDoSj5Gn2ftM67M86mm9aaAGfXP4rsrL25sJQxHg9p8cVYtqXmJUU9OTy9dTJytXPjRObmx9iZZaK57CAIVn-FNPfeQyGkLyj7a7zC49HfE9ALGZ_yIbA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:53.393Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2NjYsImlhdCI6MTc1MjI3NzM2NiwiYXV0aF90aW1lIjoxNzUyMjc3MzY1LCJqdGkiOiJkNGEyODQyZC05MDI3LTQ0Y2YtYjYwMy03MmI1NTlkMTUxMjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EVgE1WhbrOrd9CfWokCn1bIoBukgdt7jRT4RNrE9mIVcAIDdTzg1zkHKLPDWnwVV_HCD2nmDBAo9OvDCD2CWamA6mwjhGwznSxkJcHGrbUpu_Pf6iiccFYd-_0qAb-9NPh8OHXWB01HqUDUkbUYrIoqPg-X3GK37MQfoO9T_HSDTVnByz77gj3J5mtO9RnsYkNHEmd8HNO9MaWPnYbDVsP6dbcekhmegzxDoSj5Gn2ftM67M86mm9aaAGfXP4rsrL25sJQxHg9p8cVYtqXmJUU9OTy9dTJytXPjRObmx9iZZaK57CAIVn-FNPfeQyGkLyj7a7zC49HfE9ALGZ_yIbA' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:55.406Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2NjYsImlhdCI6MTc1MjI3NzM2NiwiYXV0aF90aW1lIjoxNzUyMjc3MzY1LCJqdGkiOiJkNGEyODQyZC05MDI3LTQ0Y2YtYjYwMy03MmI1NTlkMTUxMjAiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EVgE1WhbrOrd9CfWokCn1bIoBukgdt7jRT4RNrE9mIVcAIDdTzg1zkHKLPDWnwVV_HCD2nmDBAo9OvDCD2CWamA6mwjhGwznSxkJcHGrbUpu_Pf6iiccFYd-_0qAb-9NPh8OHXWB01HqUDUkbUYrIoqPg-X3GK37MQfoO9T_HSDTVnByz77gj3J5mtO9RnsYkNHEmd8HNO9MaWPnYbDVsP6dbcekhmegzxDoSj5Gn2ftM67M86mm9aaAGfXP4rsrL25sJQxHg9p8cVYtqXmJUU9OTy9dTJytXPjRObmx9iZZaK57CAIVn-FNPfeQyGkLyj7a7zC49HfE9ALGZ_yIbA' failed: Establishing a tunnel via proxy server failed.
