[2025-07-12T00:17:57.413Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b5eb6210-09f3-49d2-8b97-e8195b210222&response_mode=fragment&response_type=code&scope=openid&nonce=f2d9ff0d-7ae0-4a63-8d3d-0bc123e25397 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:17:57.418Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b5eb6210-09f3-49d2-8b97-e8195b210222&response_mode=fragment&response_type=code&scope=openid&nonce=f2d9ff0d-7ae0-4a63-8d3d-0bc123e25397 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:17:59.688Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk3NzgsImlhdCI6MTc1MjI3OTQ3OCwiYXV0aF90aW1lIjoxNzUyMjc5NDc3LCJqdGkiOiIxN2RmMDkyYy1iMTU2LTQ0MDYtOGYxYy1lYWE2ZDUxYTUxZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ur1ZzTDXILu9oqakGn43TWtALe0V8nFSCOHy1kM2rMajx9grRkhWH2zJi6eMuy3C7AQgWQLwu8BGp3PG_H3xo6VG6bpo-3URukbIfjbHyP5ZWcE6Qcwd46NZFNyYEODtitr3iAmawJEEJKwysHdpnwCG4rixLQkidqBDR8PYx5b6iJUYh_LNpyyFDtyk2329VWj3nHQkFpc6Rjxlhawb7yK2sTWJ8AI2BL-K9_IOljdSC68MZPZFvkmF1jz_ZOArh9tC7fz2c9-munn2XkC-BWMXfQUs707Eew5ioJlvaVG_wXvnxbUNQ2ncBECBNafP6cQ9Snl-ZBykQPcPISwpMw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:01.732Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk3NzgsImlhdCI6MTc1MjI3OTQ3OCwiYXV0aF90aW1lIjoxNzUyMjc5NDc3LCJqdGkiOiIxN2RmMDkyYy1iMTU2LTQ0MDYtOGYxYy1lYWE2ZDUxYTUxZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ur1ZzTDXILu9oqakGn43TWtALe0V8nFSCOHy1kM2rMajx9grRkhWH2zJi6eMuy3C7AQgWQLwu8BGp3PG_H3xo6VG6bpo-3URukbIfjbHyP5ZWcE6Qcwd46NZFNyYEODtitr3iAmawJEEJKwysHdpnwCG4rixLQkidqBDR8PYx5b6iJUYh_LNpyyFDtyk2329VWj3nHQkFpc6Rjxlhawb7yK2sTWJ8AI2BL-K9_IOljdSC68MZPZFvkmF1jz_ZOArh9tC7fz2c9-munn2XkC-BWMXfQUs707Eew5ioJlvaVG_wXvnxbUNQ2ncBECBNafP6cQ9Snl-ZBykQPcPISwpMw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:03.873Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk3NzgsImlhdCI6MTc1MjI3OTQ3OCwiYXV0aF90aW1lIjoxNzUyMjc5NDc3LCJqdGkiOiIxN2RmMDkyYy1iMTU2LTQ0MDYtOGYxYy1lYWE2ZDUxYTUxZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ur1ZzTDXILu9oqakGn43TWtALe0V8nFSCOHy1kM2rMajx9grRkhWH2zJi6eMuy3C7AQgWQLwu8BGp3PG_H3xo6VG6bpo-3URukbIfjbHyP5ZWcE6Qcwd46NZFNyYEODtitr3iAmawJEEJKwysHdpnwCG4rixLQkidqBDR8PYx5b6iJUYh_LNpyyFDtyk2329VWj3nHQkFpc6Rjxlhawb7yK2sTWJ8AI2BL-K9_IOljdSC68MZPZFvkmF1jz_ZOArh9tC7fz2c9-munn2XkC-BWMXfQUs707Eew5ioJlvaVG_wXvnxbUNQ2ncBECBNafP6cQ9Snl-ZBykQPcPISwpMw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:05.890Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk3NzgsImlhdCI6MTc1MjI3OTQ3OCwiYXV0aF90aW1lIjoxNzUyMjc5NDc3LCJqdGkiOiIxN2RmMDkyYy1iMTU2LTQ0MDYtOGYxYy1lYWE2ZDUxYTUxZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ur1ZzTDXILu9oqakGn43TWtALe0V8nFSCOHy1kM2rMajx9grRkhWH2zJi6eMuy3C7AQgWQLwu8BGp3PG_H3xo6VG6bpo-3URukbIfjbHyP5ZWcE6Qcwd46NZFNyYEODtitr3iAmawJEEJKwysHdpnwCG4rixLQkidqBDR8PYx5b6iJUYh_LNpyyFDtyk2329VWj3nHQkFpc6Rjxlhawb7yK2sTWJ8AI2BL-K9_IOljdSC68MZPZFvkmF1jz_ZOArh9tC7fz2c9-munn2XkC-BWMXfQUs707Eew5ioJlvaVG_wXvnxbUNQ2ncBECBNafP6cQ9Snl-ZBykQPcPISwpMw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:07.917Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk3NzgsImlhdCI6MTc1MjI3OTQ3OCwiYXV0aF90aW1lIjoxNzUyMjc5NDc3LCJqdGkiOiIxN2RmMDkyYy1iMTU2LTQ0MDYtOGYxYy1lYWE2ZDUxYTUxZjciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ur1ZzTDXILu9oqakGn43TWtALe0V8nFSCOHy1kM2rMajx9grRkhWH2zJi6eMuy3C7AQgWQLwu8BGp3PG_H3xo6VG6bpo-3URukbIfjbHyP5ZWcE6Qcwd46NZFNyYEODtitr3iAmawJEEJKwysHdpnwCG4rixLQkidqBDR8PYx5b6iJUYh_LNpyyFDtyk2329VWj3nHQkFpc6Rjxlhawb7yK2sTWJ8AI2BL-K9_IOljdSC68MZPZFvkmF1jz_ZOArh9tC7fz2c9-munn2XkC-BWMXfQUs707Eew5ioJlvaVG_wXvnxbUNQ2ncBECBNafP6cQ9Snl-ZBykQPcPISwpMw' failed: Establishing a tunnel via proxy server failed.
