[2025-07-12T00:35:13.484Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b129a6dd-6d65-4b1c-83e1-0e3d5be518a0&response_mode=fragment&response_type=code&scope=openid&nonce=0fa86c4a-5d82-42b1-8fd8-c7273be74588 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:35:13.485Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b129a6dd-6d65-4b1c-83e1-0e3d5be518a0&response_mode=fragment&response_type=code&scope=openid&nonce=0fa86c4a-5d82-42b1-8fd8-c7273be74588 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:35:15.541Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MTQsImlhdCI6MTc1MjI4MDUxNCwiYXV0aF90aW1lIjoxNzUyMjgwNTEzLCJqdGkiOiJlODI0ZTU0OC04MTBhLTRlMzUtOTNiZS1lMTBlMDAyZTkzNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Txc7GCAEGJFqwGAXsPDgcy0wpuSebQB-wWX0H93Aer7qLmdBXFFSNqjNWFzpLgWotieqKaF7uOSQiYCXl-RK8GxbvHYsNDnFNN1B1DcuA9-CpCVGHZ7zWPfUx0iO-s7PYylOJQXjBjz76kItogiZ3YqO4zijYWtll9ynlSKGSV-nenf2pvt-JNGlsaqMRu6Rg_y8ERB4_6JdS4SZoWuFsE78JKEYNKb7o1JtCN4sTdfVKAXUkH3TBFZJsk70DdcP1FfKIm6s3dO6d6XtproLCigmTaRvmhYAqsfkTCMgW1XZaF-w0s_UQyDALpOP8DMaYOnieFgowfBetgVW16nclQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:17.550Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MTQsImlhdCI6MTc1MjI4MDUxNCwiYXV0aF90aW1lIjoxNzUyMjgwNTEzLCJqdGkiOiJlODI0ZTU0OC04MTBhLTRlMzUtOTNiZS1lMTBlMDAyZTkzNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Txc7GCAEGJFqwGAXsPDgcy0wpuSebQB-wWX0H93Aer7qLmdBXFFSNqjNWFzpLgWotieqKaF7uOSQiYCXl-RK8GxbvHYsNDnFNN1B1DcuA9-CpCVGHZ7zWPfUx0iO-s7PYylOJQXjBjz76kItogiZ3YqO4zijYWtll9ynlSKGSV-nenf2pvt-JNGlsaqMRu6Rg_y8ERB4_6JdS4SZoWuFsE78JKEYNKb7o1JtCN4sTdfVKAXUkH3TBFZJsk70DdcP1FfKIm6s3dO6d6XtproLCigmTaRvmhYAqsfkTCMgW1XZaF-w0s_UQyDALpOP8DMaYOnieFgowfBetgVW16nclQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:19.615Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MTQsImlhdCI6MTc1MjI4MDUxNCwiYXV0aF90aW1lIjoxNzUyMjgwNTEzLCJqdGkiOiJlODI0ZTU0OC04MTBhLTRlMzUtOTNiZS1lMTBlMDAyZTkzNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Txc7GCAEGJFqwGAXsPDgcy0wpuSebQB-wWX0H93Aer7qLmdBXFFSNqjNWFzpLgWotieqKaF7uOSQiYCXl-RK8GxbvHYsNDnFNN1B1DcuA9-CpCVGHZ7zWPfUx0iO-s7PYylOJQXjBjz76kItogiZ3YqO4zijYWtll9ynlSKGSV-nenf2pvt-JNGlsaqMRu6Rg_y8ERB4_6JdS4SZoWuFsE78JKEYNKb7o1JtCN4sTdfVKAXUkH3TBFZJsk70DdcP1FfKIm6s3dO6d6XtproLCigmTaRvmhYAqsfkTCMgW1XZaF-w0s_UQyDALpOP8DMaYOnieFgowfBetgVW16nclQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:21.640Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MTQsImlhdCI6MTc1MjI4MDUxNCwiYXV0aF90aW1lIjoxNzUyMjgwNTEzLCJqdGkiOiJlODI0ZTU0OC04MTBhLTRlMzUtOTNiZS1lMTBlMDAyZTkzNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Txc7GCAEGJFqwGAXsPDgcy0wpuSebQB-wWX0H93Aer7qLmdBXFFSNqjNWFzpLgWotieqKaF7uOSQiYCXl-RK8GxbvHYsNDnFNN1B1DcuA9-CpCVGHZ7zWPfUx0iO-s7PYylOJQXjBjz76kItogiZ3YqO4zijYWtll9ynlSKGSV-nenf2pvt-JNGlsaqMRu6Rg_y8ERB4_6JdS4SZoWuFsE78JKEYNKb7o1JtCN4sTdfVKAXUkH3TBFZJsk70DdcP1FfKIm6s3dO6d6XtproLCigmTaRvmhYAqsfkTCMgW1XZaF-w0s_UQyDALpOP8DMaYOnieFgowfBetgVW16nclQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:35:23.652Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4MTQsImlhdCI6MTc1MjI4MDUxNCwiYXV0aF90aW1lIjoxNzUyMjgwNTEzLCJqdGkiOiJlODI0ZTU0OC04MTBhLTRlMzUtOTNiZS1lMTBlMDAyZTkzNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Txc7GCAEGJFqwGAXsPDgcy0wpuSebQB-wWX0H93Aer7qLmdBXFFSNqjNWFzpLgWotieqKaF7uOSQiYCXl-RK8GxbvHYsNDnFNN1B1DcuA9-CpCVGHZ7zWPfUx0iO-s7PYylOJQXjBjz76kItogiZ3YqO4zijYWtll9ynlSKGSV-nenf2pvt-JNGlsaqMRu6Rg_y8ERB4_6JdS4SZoWuFsE78JKEYNKb7o1JtCN4sTdfVKAXUkH3TBFZJsk70DdcP1FfKIm6s3dO6d6XtproLCigmTaRvmhYAqsfkTCMgW1XZaF-w0s_UQyDALpOP8DMaYOnieFgowfBetgVW16nclQ' failed: Establishing a tunnel via proxy server failed.
