[2025-07-12T00:33:38.347Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8254d1e3-a7b9-476e-8e53-b0158b5ef050&response_mode=fragment&response_type=code&scope=openid&nonce=a4a82987-e7de-4ead-aa19-e9938f90848f - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:33:38.348Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=8254d1e3-a7b9-476e-8e53-b0158b5ef050&response_mode=fragment&response_type=code&scope=openid&nonce=a4a82987-e7de-4ead-aa19-e9938f90848f - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:33:40.621Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3MTksImlhdCI6MTc1MjI4MDQxOSwiYXV0aF90aW1lIjoxNzUyMjgwNDE4LCJqdGkiOiIyOTlkY2FhOS05OWQ4LTRkMzMtOGNlZS0yODFmOTBkNWRiMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EJnJkvmQmxiA5unmSWm_2FsI_XEQi7xuORaB5Z12Hk4vk51QikSukd5ZevcmnIHRGe1qBDGcRbSqVqRG2un7s62r2aBiQVydM1b2GpmMTSUx3umIs3OtjslQLI79XWl-MwKroMB0YatDPylXz-9wyhopMH7WGwfg2siBQXiL37A-MFUuGnpTDjA-ag9mOJ8I3nvx_RqoAv1nKhZQEnUsXNdmYACypAhhHvbA4oBN2WUIME55znE60YcsKyj-62oadnSf6vwOcdY1Bok7woMM6xbOj16e_B-EoRcT_S1z6ztqFTvh_3RkddZ0opzy71rMT9tRVW7uB8JFPIh6bD5jDg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:33:42.635Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3MTksImlhdCI6MTc1MjI4MDQxOSwiYXV0aF90aW1lIjoxNzUyMjgwNDE4LCJqdGkiOiIyOTlkY2FhOS05OWQ4LTRkMzMtOGNlZS0yODFmOTBkNWRiMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EJnJkvmQmxiA5unmSWm_2FsI_XEQi7xuORaB5Z12Hk4vk51QikSukd5ZevcmnIHRGe1qBDGcRbSqVqRG2un7s62r2aBiQVydM1b2GpmMTSUx3umIs3OtjslQLI79XWl-MwKroMB0YatDPylXz-9wyhopMH7WGwfg2siBQXiL37A-MFUuGnpTDjA-ag9mOJ8I3nvx_RqoAv1nKhZQEnUsXNdmYACypAhhHvbA4oBN2WUIME55znE60YcsKyj-62oadnSf6vwOcdY1Bok7woMM6xbOj16e_B-EoRcT_S1z6ztqFTvh_3RkddZ0opzy71rMT9tRVW7uB8JFPIh6bD5jDg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:33:44.700Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3MTksImlhdCI6MTc1MjI4MDQxOSwiYXV0aF90aW1lIjoxNzUyMjgwNDE4LCJqdGkiOiIyOTlkY2FhOS05OWQ4LTRkMzMtOGNlZS0yODFmOTBkNWRiMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EJnJkvmQmxiA5unmSWm_2FsI_XEQi7xuORaB5Z12Hk4vk51QikSukd5ZevcmnIHRGe1qBDGcRbSqVqRG2un7s62r2aBiQVydM1b2GpmMTSUx3umIs3OtjslQLI79XWl-MwKroMB0YatDPylXz-9wyhopMH7WGwfg2siBQXiL37A-MFUuGnpTDjA-ag9mOJ8I3nvx_RqoAv1nKhZQEnUsXNdmYACypAhhHvbA4oBN2WUIME55znE60YcsKyj-62oadnSf6vwOcdY1Bok7woMM6xbOj16e_B-EoRcT_S1z6ztqFTvh_3RkddZ0opzy71rMT9tRVW7uB8JFPIh6bD5jDg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:33:46.872Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3MTksImlhdCI6MTc1MjI4MDQxOSwiYXV0aF90aW1lIjoxNzUyMjgwNDE4LCJqdGkiOiIyOTlkY2FhOS05OWQ4LTRkMzMtOGNlZS0yODFmOTBkNWRiMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EJnJkvmQmxiA5unmSWm_2FsI_XEQi7xuORaB5Z12Hk4vk51QikSukd5ZevcmnIHRGe1qBDGcRbSqVqRG2un7s62r2aBiQVydM1b2GpmMTSUx3umIs3OtjslQLI79XWl-MwKroMB0YatDPylXz-9wyhopMH7WGwfg2siBQXiL37A-MFUuGnpTDjA-ag9mOJ8I3nvx_RqoAv1nKhZQEnUsXNdmYACypAhhHvbA4oBN2WUIME55znE60YcsKyj-62oadnSf6vwOcdY1Bok7woMM6xbOj16e_B-EoRcT_S1z6ztqFTvh_3RkddZ0opzy71rMT9tRVW7uB8JFPIh6bD5jDg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:33:48.868Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3MTksImlhdCI6MTc1MjI4MDQxOSwiYXV0aF90aW1lIjoxNzUyMjgwNDE4LCJqdGkiOiIyOTlkY2FhOS05OWQ4LTRkMzMtOGNlZS0yODFmOTBkNWRiMzkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EJnJkvmQmxiA5unmSWm_2FsI_XEQi7xuORaB5Z12Hk4vk51QikSukd5ZevcmnIHRGe1qBDGcRbSqVqRG2un7s62r2aBiQVydM1b2GpmMTSUx3umIs3OtjslQLI79XWl-MwKroMB0YatDPylXz-9wyhopMH7WGwfg2siBQXiL37A-MFUuGnpTDjA-ag9mOJ8I3nvx_RqoAv1nKhZQEnUsXNdmYACypAhhHvbA4oBN2WUIME55znE60YcsKyj-62oadnSf6vwOcdY1Bok7woMM6xbOj16e_B-EoRcT_S1z6ztqFTvh_3RkddZ0opzy71rMT9tRVW7uB8JFPIh6bD5jDg' failed: Establishing a tunnel via proxy server failed.
