[2025-07-12T00:28:54.827Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0075f113-23de-4ffb-88cb-7490cc0045e6&response_mode=fragment&response_type=code&scope=openid&nonce=c21e5862-4a20-4be1-80ba-18a2b73e48f9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:28:54.829Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0075f113-23de-4ffb-88cb-7490cc0045e6&response_mode=fragment&response_type=code&scope=openid&nonce=c21e5862-4a20-4be1-80ba-18a2b73e48f9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:28:56.809Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA0MzUsImlhdCI6MTc1MjI4MDEzNSwiYXV0aF90aW1lIjoxNzUyMjgwMTM1LCJqdGkiOiI1MDE3MmVhYy00ZGU1LTQ2YzQtYjRkMi00NzY3M2RkYzk3NjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FJchR7cz_Sivko0vZ8RoNn0q3TGa-C0d0l5BL-zM8g6NlXF696uJHxTesidzr0K1bWjlSmIoUl_EnnZWiGlaxvWfaTfxKGljvZUihZj00nKzMrbc7OhfRxztOT6PUijRBjaB7FkapFWllDlK8qNfMcgK8ufvTNqufAJ8YozkLEQbnugGqqQpTECMuBIn6iPLUOKQaRaGMw1Q4uP3JUqMirCPFrajuOIYqQMQjLCuW6J1cgxXCkNxfm-rdZAqNhgfeCWdYtLQK3Xw4UAKkCWdx8rx6xzKw9sodYid3Vq1JktSTqwLr5_w5LNFy8ZRSWx2wq8rizY2_fWA9CvCvcT-jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:28:58.815Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA0MzUsImlhdCI6MTc1MjI4MDEzNSwiYXV0aF90aW1lIjoxNzUyMjgwMTM1LCJqdGkiOiI1MDE3MmVhYy00ZGU1LTQ2YzQtYjRkMi00NzY3M2RkYzk3NjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FJchR7cz_Sivko0vZ8RoNn0q3TGa-C0d0l5BL-zM8g6NlXF696uJHxTesidzr0K1bWjlSmIoUl_EnnZWiGlaxvWfaTfxKGljvZUihZj00nKzMrbc7OhfRxztOT6PUijRBjaB7FkapFWllDlK8qNfMcgK8ufvTNqufAJ8YozkLEQbnugGqqQpTECMuBIn6iPLUOKQaRaGMw1Q4uP3JUqMirCPFrajuOIYqQMQjLCuW6J1cgxXCkNxfm-rdZAqNhgfeCWdYtLQK3Xw4UAKkCWdx8rx6xzKw9sodYid3Vq1JktSTqwLr5_w5LNFy8ZRSWx2wq8rizY2_fWA9CvCvcT-jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:29:00.820Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA0MzUsImlhdCI6MTc1MjI4MDEzNSwiYXV0aF90aW1lIjoxNzUyMjgwMTM1LCJqdGkiOiI1MDE3MmVhYy00ZGU1LTQ2YzQtYjRkMi00NzY3M2RkYzk3NjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FJchR7cz_Sivko0vZ8RoNn0q3TGa-C0d0l5BL-zM8g6NlXF696uJHxTesidzr0K1bWjlSmIoUl_EnnZWiGlaxvWfaTfxKGljvZUihZj00nKzMrbc7OhfRxztOT6PUijRBjaB7FkapFWllDlK8qNfMcgK8ufvTNqufAJ8YozkLEQbnugGqqQpTECMuBIn6iPLUOKQaRaGMw1Q4uP3JUqMirCPFrajuOIYqQMQjLCuW6J1cgxXCkNxfm-rdZAqNhgfeCWdYtLQK3Xw4UAKkCWdx8rx6xzKw9sodYid3Vq1JktSTqwLr5_w5LNFy8ZRSWx2wq8rizY2_fWA9CvCvcT-jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:29:02.827Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA0MzUsImlhdCI6MTc1MjI4MDEzNSwiYXV0aF90aW1lIjoxNzUyMjgwMTM1LCJqdGkiOiI1MDE3MmVhYy00ZGU1LTQ2YzQtYjRkMi00NzY3M2RkYzk3NjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FJchR7cz_Sivko0vZ8RoNn0q3TGa-C0d0l5BL-zM8g6NlXF696uJHxTesidzr0K1bWjlSmIoUl_EnnZWiGlaxvWfaTfxKGljvZUihZj00nKzMrbc7OhfRxztOT6PUijRBjaB7FkapFWllDlK8qNfMcgK8ufvTNqufAJ8YozkLEQbnugGqqQpTECMuBIn6iPLUOKQaRaGMw1Q4uP3JUqMirCPFrajuOIYqQMQjLCuW6J1cgxXCkNxfm-rdZAqNhgfeCWdYtLQK3Xw4UAKkCWdx8rx6xzKw9sodYid3Vq1JktSTqwLr5_w5LNFy8ZRSWx2wq8rizY2_fWA9CvCvcT-jw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:29:05.009Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA0MzUsImlhdCI6MTc1MjI4MDEzNSwiYXV0aF90aW1lIjoxNzUyMjgwMTM1LCJqdGkiOiI1MDE3MmVhYy00ZGU1LTQ2YzQtYjRkMi00NzY3M2RkYzk3NjEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.FJchR7cz_Sivko0vZ8RoNn0q3TGa-C0d0l5BL-zM8g6NlXF696uJHxTesidzr0K1bWjlSmIoUl_EnnZWiGlaxvWfaTfxKGljvZUihZj00nKzMrbc7OhfRxztOT6PUijRBjaB7FkapFWllDlK8qNfMcgK8ufvTNqufAJ8YozkLEQbnugGqqQpTECMuBIn6iPLUOKQaRaGMw1Q4uP3JUqMirCPFrajuOIYqQMQjLCuW6J1cgxXCkNxfm-rdZAqNhgfeCWdYtLQK3Xw4UAKkCWdx8rx6xzKw9sodYid3Vq1JktSTqwLr5_w5LNFy8ZRSWx2wq8rizY2_fWA9CvCvcT-jw' failed: Establishing a tunnel via proxy server failed.
