[2025-07-12T00:06:58.011Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0e950f49-22bf-41c8-b31c-98ef7cabc493&response_mode=fragment&response_type=code&scope=openid&nonce=5966691a-7952-43cf-8213-23234e2c49a0 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:06:58.015Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0e950f49-22bf-41c8-b31c-98ef7cabc493&response_mode=fragment&response_type=code&scope=openid&nonce=5966691a-7952-43cf-8213-23234e2c49a0 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:07:00.268Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzkxMTksImlhdCI6MTc1MjI3ODgxOSwiYXV0aF90aW1lIjoxNzUyMjc4ODE4LCJqdGkiOiIyMjRmODIxNi00MDgxLTQ3NmItYTdhNC0wNTlmYTliYjI3YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l08Rp2WmmvdvJD17o8uA-BgVznVLN5VxmQ8eHE2-5Iv4-v5NxCEgfGuWn0YL7tsSE1sSQd48uSJ4gJtpReoV5DIk-s2pPZEx1g_St5g34NN84dWtlad1s36728dyQgzRhFfCsa6Inp1ax4pFWBAla0KKJ_1VtOMKtXZJTYkbc0MCRHF01y2oL5Ig3dWkFGwCSXFylY8rQiUXbEiOwx9ruAZjbvgEjq63fPqTZNWjG7fLooWtumR7BZYOVAlE68YQt1zmLNzZXCdSyOdbSTHSEWcXBRbcE3P69xaVED8fxgmrdkQMp45M83JEFxuHxdQlzfQPZ8G0-3qfKCzOgCcKWw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:07:02.274Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzkxMTksImlhdCI6MTc1MjI3ODgxOSwiYXV0aF90aW1lIjoxNzUyMjc4ODE4LCJqdGkiOiIyMjRmODIxNi00MDgxLTQ3NmItYTdhNC0wNTlmYTliYjI3YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l08Rp2WmmvdvJD17o8uA-BgVznVLN5VxmQ8eHE2-5Iv4-v5NxCEgfGuWn0YL7tsSE1sSQd48uSJ4gJtpReoV5DIk-s2pPZEx1g_St5g34NN84dWtlad1s36728dyQgzRhFfCsa6Inp1ax4pFWBAla0KKJ_1VtOMKtXZJTYkbc0MCRHF01y2oL5Ig3dWkFGwCSXFylY8rQiUXbEiOwx9ruAZjbvgEjq63fPqTZNWjG7fLooWtumR7BZYOVAlE68YQt1zmLNzZXCdSyOdbSTHSEWcXBRbcE3P69xaVED8fxgmrdkQMp45M83JEFxuHxdQlzfQPZ8G0-3qfKCzOgCcKWw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:07:04.281Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzkxMTksImlhdCI6MTc1MjI3ODgxOSwiYXV0aF90aW1lIjoxNzUyMjc4ODE4LCJqdGkiOiIyMjRmODIxNi00MDgxLTQ3NmItYTdhNC0wNTlmYTliYjI3YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l08Rp2WmmvdvJD17o8uA-BgVznVLN5VxmQ8eHE2-5Iv4-v5NxCEgfGuWn0YL7tsSE1sSQd48uSJ4gJtpReoV5DIk-s2pPZEx1g_St5g34NN84dWtlad1s36728dyQgzRhFfCsa6Inp1ax4pFWBAla0KKJ_1VtOMKtXZJTYkbc0MCRHF01y2oL5Ig3dWkFGwCSXFylY8rQiUXbEiOwx9ruAZjbvgEjq63fPqTZNWjG7fLooWtumR7BZYOVAlE68YQt1zmLNzZXCdSyOdbSTHSEWcXBRbcE3P69xaVED8fxgmrdkQMp45M83JEFxuHxdQlzfQPZ8G0-3qfKCzOgCcKWw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:07:06.364Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzkxMTksImlhdCI6MTc1MjI3ODgxOSwiYXV0aF90aW1lIjoxNzUyMjc4ODE4LCJqdGkiOiIyMjRmODIxNi00MDgxLTQ3NmItYTdhNC0wNTlmYTliYjI3YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l08Rp2WmmvdvJD17o8uA-BgVznVLN5VxmQ8eHE2-5Iv4-v5NxCEgfGuWn0YL7tsSE1sSQd48uSJ4gJtpReoV5DIk-s2pPZEx1g_St5g34NN84dWtlad1s36728dyQgzRhFfCsa6Inp1ax4pFWBAla0KKJ_1VtOMKtXZJTYkbc0MCRHF01y2oL5Ig3dWkFGwCSXFylY8rQiUXbEiOwx9ruAZjbvgEjq63fPqTZNWjG7fLooWtumR7BZYOVAlE68YQt1zmLNzZXCdSyOdbSTHSEWcXBRbcE3P69xaVED8fxgmrdkQMp45M83JEFxuHxdQlzfQPZ8G0-3qfKCzOgCcKWw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:07:08.354Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzkxMTksImlhdCI6MTc1MjI3ODgxOSwiYXV0aF90aW1lIjoxNzUyMjc4ODE4LCJqdGkiOiIyMjRmODIxNi00MDgxLTQ3NmItYTdhNC0wNTlmYTliYjI3YTMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.l08Rp2WmmvdvJD17o8uA-BgVznVLN5VxmQ8eHE2-5Iv4-v5NxCEgfGuWn0YL7tsSE1sSQd48uSJ4gJtpReoV5DIk-s2pPZEx1g_St5g34NN84dWtlad1s36728dyQgzRhFfCsa6Inp1ax4pFWBAla0KKJ_1VtOMKtXZJTYkbc0MCRHF01y2oL5Ig3dWkFGwCSXFylY8rQiUXbEiOwx9ruAZjbvgEjq63fPqTZNWjG7fLooWtumR7BZYOVAlE68YQt1zmLNzZXCdSyOdbSTHSEWcXBRbcE3P69xaVED8fxgmrdkQMp45M83JEFxuHxdQlzfQPZ8G0-3qfKCzOgCcKWw' failed: Establishing a tunnel via proxy server failed.
