[2025-07-12T00:34:26.564Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=611a3370-d27d-445f-a195-c0f85e560d89&response_mode=fragment&response_type=code&scope=openid&nonce=dcf10e12-ffc6-4f29-8b40-0398a3a0ed96 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:34:26.565Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=611a3370-d27d-445f-a195-c0f85e560d89&response_mode=fragment&response_type=code&scope=openid&nonce=dcf10e12-ffc6-4f29-8b40-0398a3a0ed96 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:34:28.621Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3NjcsImlhdCI6MTc1MjI4MDQ2NywiYXV0aF90aW1lIjoxNzUyMjgwNDY2LCJqdGkiOiI1YjdlMDA5MC1hMjZjLTQyY2MtOGIxZS0xMjY4YmFjZmQ2ZmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BD1H9onBFrMxhZoryoDKQd4_6Irg1E0JbYV8-NB7eRViJB0VrUBdDKZQLXEs2f6qbLALNsBZngy_mfsbMjnsEVd61rzQEzPx50a1bUb_mo2uFykZM_wS8iwZwaLe0cX-2cgajVxEQYOMmQoF3tmNibNs0Ix83vj7SC3HU0Zu_7uruVcMIaut8MM4fX_u6xbU50sq5oHWJJE4R3-u5w30KIdEtXpW7oOGto9cf_JqThs3C-GqW7mc8Uu9_gWyCJ7hqL5vRXJ3B-Ziy_FozOhH_5CWlYiP55yZjRFjnXIxm6R9UO8NpTBp6RgeWOrER2ecENy5QV4NJd03P2QMLffjwA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:34:30.627Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3NjcsImlhdCI6MTc1MjI4MDQ2NywiYXV0aF90aW1lIjoxNzUyMjgwNDY2LCJqdGkiOiI1YjdlMDA5MC1hMjZjLTQyY2MtOGIxZS0xMjY4YmFjZmQ2ZmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BD1H9onBFrMxhZoryoDKQd4_6Irg1E0JbYV8-NB7eRViJB0VrUBdDKZQLXEs2f6qbLALNsBZngy_mfsbMjnsEVd61rzQEzPx50a1bUb_mo2uFykZM_wS8iwZwaLe0cX-2cgajVxEQYOMmQoF3tmNibNs0Ix83vj7SC3HU0Zu_7uruVcMIaut8MM4fX_u6xbU50sq5oHWJJE4R3-u5w30KIdEtXpW7oOGto9cf_JqThs3C-GqW7mc8Uu9_gWyCJ7hqL5vRXJ3B-Ziy_FozOhH_5CWlYiP55yZjRFjnXIxm6R9UO8NpTBp6RgeWOrER2ecENy5QV4NJd03P2QMLffjwA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:34:32.637Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3NjcsImlhdCI6MTc1MjI4MDQ2NywiYXV0aF90aW1lIjoxNzUyMjgwNDY2LCJqdGkiOiI1YjdlMDA5MC1hMjZjLTQyY2MtOGIxZS0xMjY4YmFjZmQ2ZmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BD1H9onBFrMxhZoryoDKQd4_6Irg1E0JbYV8-NB7eRViJB0VrUBdDKZQLXEs2f6qbLALNsBZngy_mfsbMjnsEVd61rzQEzPx50a1bUb_mo2uFykZM_wS8iwZwaLe0cX-2cgajVxEQYOMmQoF3tmNibNs0Ix83vj7SC3HU0Zu_7uruVcMIaut8MM4fX_u6xbU50sq5oHWJJE4R3-u5w30KIdEtXpW7oOGto9cf_JqThs3C-GqW7mc8Uu9_gWyCJ7hqL5vRXJ3B-Ziy_FozOhH_5CWlYiP55yZjRFjnXIxm6R9UO8NpTBp6RgeWOrER2ecENy5QV4NJd03P2QMLffjwA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:34:34.691Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3NjcsImlhdCI6MTc1MjI4MDQ2NywiYXV0aF90aW1lIjoxNzUyMjgwNDY2LCJqdGkiOiI1YjdlMDA5MC1hMjZjLTQyY2MtOGIxZS0xMjY4YmFjZmQ2ZmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BD1H9onBFrMxhZoryoDKQd4_6Irg1E0JbYV8-NB7eRViJB0VrUBdDKZQLXEs2f6qbLALNsBZngy_mfsbMjnsEVd61rzQEzPx50a1bUb_mo2uFykZM_wS8iwZwaLe0cX-2cgajVxEQYOMmQoF3tmNibNs0Ix83vj7SC3HU0Zu_7uruVcMIaut8MM4fX_u6xbU50sq5oHWJJE4R3-u5w30KIdEtXpW7oOGto9cf_JqThs3C-GqW7mc8Uu9_gWyCJ7hqL5vRXJ3B-Ziy_FozOhH_5CWlYiP55yZjRFjnXIxm6R9UO8NpTBp6RgeWOrER2ecENy5QV4NJd03P2QMLffjwA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:34:36.690Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA3NjcsImlhdCI6MTc1MjI4MDQ2NywiYXV0aF90aW1lIjoxNzUyMjgwNDY2LCJqdGkiOiI1YjdlMDA5MC1hMjZjLTQyY2MtOGIxZS0xMjY4YmFjZmQ2ZmQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BD1H9onBFrMxhZoryoDKQd4_6Irg1E0JbYV8-NB7eRViJB0VrUBdDKZQLXEs2f6qbLALNsBZngy_mfsbMjnsEVd61rzQEzPx50a1bUb_mo2uFykZM_wS8iwZwaLe0cX-2cgajVxEQYOMmQoF3tmNibNs0Ix83vj7SC3HU0Zu_7uruVcMIaut8MM4fX_u6xbU50sq5oHWJJE4R3-u5w30KIdEtXpW7oOGto9cf_JqThs3C-GqW7mc8Uu9_gWyCJ7hqL5vRXJ3B-Ziy_FozOhH_5CWlYiP55yZjRFjnXIxm6R9UO8NpTBp6RgeWOrER2ecENy5QV4NJd03P2QMLffjwA' failed: Establishing a tunnel via proxy server failed.
