[2025-07-12T00:37:14.658Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=bce4e778-bc3f-4359-8be2-369dbf60ba81&response_mode=fragment&response_type=code&scope=openid&nonce=bb7ff674-1bd5-440d-8463-442839ffe6cf - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:37:14.660Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=bce4e778-bc3f-4359-8be2-369dbf60ba81&response_mode=fragment&response_type=code&scope=openid&nonce=bb7ff674-1bd5-440d-8463-442839ffe6cf - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:37:16.789Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MzUsImlhdCI6MTc1MjI4MDYzNSwiYXV0aF90aW1lIjoxNzUyMjgwNjM0LCJqdGkiOiI5MTA5ZGJhZC03YmQ2LTRiNzAtOGNkNi1mODM4ZDY1ZmU1ZjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.UYXcymQwVEqFjFL8U4zmN08CncoidSHVxEU9Pjw96j-5YbN1MB55QXJsNSz2hnYh_pGco9fVjD3NwFVu0uwTs7LmJmh3fKb7ycqOM0b_1oox_0qUkSh8ejfN-e1y80fPnf45C7CNIYDCrmElIIy4Rxo7g9-DaRFeXf3nBFWK_kBGh8qSrnI1s3eTG5zEVKvQOYeCMa023bN9sr5S44kWyzJTh6QBoG9CKMWaVdpl8Pe_udGCnZfD8RVnNSB0ECncC55xMtkOsHj4quI4Fu3pady1uAHs-Emn-4Ejepcc-eNCRBw-Z38K02MP6w-kBxYo_qeF6mpu0p7xv4zINYJz2w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:18.799Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MzUsImlhdCI6MTc1MjI4MDYzNSwiYXV0aF90aW1lIjoxNzUyMjgwNjM0LCJqdGkiOiI5MTA5ZGJhZC03YmQ2LTRiNzAtOGNkNi1mODM4ZDY1ZmU1ZjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.UYXcymQwVEqFjFL8U4zmN08CncoidSHVxEU9Pjw96j-5YbN1MB55QXJsNSz2hnYh_pGco9fVjD3NwFVu0uwTs7LmJmh3fKb7ycqOM0b_1oox_0qUkSh8ejfN-e1y80fPnf45C7CNIYDCrmElIIy4Rxo7g9-DaRFeXf3nBFWK_kBGh8qSrnI1s3eTG5zEVKvQOYeCMa023bN9sr5S44kWyzJTh6QBoG9CKMWaVdpl8Pe_udGCnZfD8RVnNSB0ECncC55xMtkOsHj4quI4Fu3pady1uAHs-Emn-4Ejepcc-eNCRBw-Z38K02MP6w-kBxYo_qeF6mpu0p7xv4zINYJz2w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:20.890Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MzUsImlhdCI6MTc1MjI4MDYzNSwiYXV0aF90aW1lIjoxNzUyMjgwNjM0LCJqdGkiOiI5MTA5ZGJhZC03YmQ2LTRiNzAtOGNkNi1mODM4ZDY1ZmU1ZjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.UYXcymQwVEqFjFL8U4zmN08CncoidSHVxEU9Pjw96j-5YbN1MB55QXJsNSz2hnYh_pGco9fVjD3NwFVu0uwTs7LmJmh3fKb7ycqOM0b_1oox_0qUkSh8ejfN-e1y80fPnf45C7CNIYDCrmElIIy4Rxo7g9-DaRFeXf3nBFWK_kBGh8qSrnI1s3eTG5zEVKvQOYeCMa023bN9sr5S44kWyzJTh6QBoG9CKMWaVdpl8Pe_udGCnZfD8RVnNSB0ECncC55xMtkOsHj4quI4Fu3pady1uAHs-Emn-4Ejepcc-eNCRBw-Z38K02MP6w-kBxYo_qeF6mpu0p7xv4zINYJz2w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:22.966Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MzUsImlhdCI6MTc1MjI4MDYzNSwiYXV0aF90aW1lIjoxNzUyMjgwNjM0LCJqdGkiOiI5MTA5ZGJhZC03YmQ2LTRiNzAtOGNkNi1mODM4ZDY1ZmU1ZjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.UYXcymQwVEqFjFL8U4zmN08CncoidSHVxEU9Pjw96j-5YbN1MB55QXJsNSz2hnYh_pGco9fVjD3NwFVu0uwTs7LmJmh3fKb7ycqOM0b_1oox_0qUkSh8ejfN-e1y80fPnf45C7CNIYDCrmElIIy4Rxo7g9-DaRFeXf3nBFWK_kBGh8qSrnI1s3eTG5zEVKvQOYeCMa023bN9sr5S44kWyzJTh6QBoG9CKMWaVdpl8Pe_udGCnZfD8RVnNSB0ECncC55xMtkOsHj4quI4Fu3pady1uAHs-Emn-4Ejepcc-eNCRBw-Z38K02MP6w-kBxYo_qeF6mpu0p7xv4zINYJz2w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:37:24.874Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5MzUsImlhdCI6MTc1MjI4MDYzNSwiYXV0aF90aW1lIjoxNzUyMjgwNjM0LCJqdGkiOiI5MTA5ZGJhZC03YmQ2LTRiNzAtOGNkNi1mODM4ZDY1ZmU1ZjQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.UYXcymQwVEqFjFL8U4zmN08CncoidSHVxEU9Pjw96j-5YbN1MB55QXJsNSz2hnYh_pGco9fVjD3NwFVu0uwTs7LmJmh3fKb7ycqOM0b_1oox_0qUkSh8ejfN-e1y80fPnf45C7CNIYDCrmElIIy4Rxo7g9-DaRFeXf3nBFWK_kBGh8qSrnI1s3eTG5zEVKvQOYeCMa023bN9sr5S44kWyzJTh6QBoG9CKMWaVdpl8Pe_udGCnZfD8RVnNSB0ECncC55xMtkOsHj4quI4Fu3pady1uAHs-Emn-4Ejepcc-eNCRBw-Z38K02MP6w-kBxYo_qeF6mpu0p7xv4zINYJz2w' failed: Establishing a tunnel via proxy server failed.
