[2025-07-12T00:25:52.874Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=6644df58-48ae-4eae-8732-75ee7de72768&response_mode=fragment&response_type=code&scope=openid&nonce=eabb8290-ca27-47e9-8990-a2f34e5b0c69 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:25:52.875Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=6644df58-48ae-4eae-8732-75ee7de72768&response_mode=fragment&response_type=code&scope=openid&nonce=eabb8290-ca27-47e9-8990-a2f34e5b0c69 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:25:54.999Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAyNTQsImlhdCI6MTc1MjI3OTk1NCwiYXV0aF90aW1lIjoxNzUyMjc5OTUzLCJqdGkiOiI5MGU1NmYxZS1iODc2LTQ4ZjEtYTAxZi00ZDBlMmYwM2U3NDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gc6YTysSRW2AG4rO3UEh1NZdj2YnuzDuR1K6ARXUbIciK1MfPa8IaBV68Cfp8mph37o4s-oYH4fD8hqVzRZmnRNxrbN9UMBc8DMNF3nDKs5MOcZuiTljwr9yZEhLTGu_zsga2UBr_NkJyJ-GmGIrLkK95BGMWrTzYEbSScW-VQsCckggV4GpyBC4D0BalTmzsw8TFELuF3lxOErPhYOn8Rkk9CWJ04DUsFmqW8yNZK_O6YpBe5v8B00XxEqXdRZiK4oIkp0Pt4kvcAyEWk39__17VTuv6u70wbN4kcd6SB1zw5ycKTiYQG-gYI9veiWnHh2eh59KPb28mjefKHWAaQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:25:57.002Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAyNTQsImlhdCI6MTc1MjI3OTk1NCwiYXV0aF90aW1lIjoxNzUyMjc5OTUzLCJqdGkiOiI5MGU1NmYxZS1iODc2LTQ4ZjEtYTAxZi00ZDBlMmYwM2U3NDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gc6YTysSRW2AG4rO3UEh1NZdj2YnuzDuR1K6ARXUbIciK1MfPa8IaBV68Cfp8mph37o4s-oYH4fD8hqVzRZmnRNxrbN9UMBc8DMNF3nDKs5MOcZuiTljwr9yZEhLTGu_zsga2UBr_NkJyJ-GmGIrLkK95BGMWrTzYEbSScW-VQsCckggV4GpyBC4D0BalTmzsw8TFELuF3lxOErPhYOn8Rkk9CWJ04DUsFmqW8yNZK_O6YpBe5v8B00XxEqXdRZiK4oIkp0Pt4kvcAyEWk39__17VTuv6u70wbN4kcd6SB1zw5ycKTiYQG-gYI9veiWnHh2eh59KPb28mjefKHWAaQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:25:59.008Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAyNTQsImlhdCI6MTc1MjI3OTk1NCwiYXV0aF90aW1lIjoxNzUyMjc5OTUzLCJqdGkiOiI5MGU1NmYxZS1iODc2LTQ4ZjEtYTAxZi00ZDBlMmYwM2U3NDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gc6YTysSRW2AG4rO3UEh1NZdj2YnuzDuR1K6ARXUbIciK1MfPa8IaBV68Cfp8mph37o4s-oYH4fD8hqVzRZmnRNxrbN9UMBc8DMNF3nDKs5MOcZuiTljwr9yZEhLTGu_zsga2UBr_NkJyJ-GmGIrLkK95BGMWrTzYEbSScW-VQsCckggV4GpyBC4D0BalTmzsw8TFELuF3lxOErPhYOn8Rkk9CWJ04DUsFmqW8yNZK_O6YpBe5v8B00XxEqXdRZiK4oIkp0Pt4kvcAyEWk39__17VTuv6u70wbN4kcd6SB1zw5ycKTiYQG-gYI9veiWnHh2eh59KPb28mjefKHWAaQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:26:01.079Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAyNTQsImlhdCI6MTc1MjI3OTk1NCwiYXV0aF90aW1lIjoxNzUyMjc5OTUzLCJqdGkiOiI5MGU1NmYxZS1iODc2LTQ4ZjEtYTAxZi00ZDBlMmYwM2U3NDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gc6YTysSRW2AG4rO3UEh1NZdj2YnuzDuR1K6ARXUbIciK1MfPa8IaBV68Cfp8mph37o4s-oYH4fD8hqVzRZmnRNxrbN9UMBc8DMNF3nDKs5MOcZuiTljwr9yZEhLTGu_zsga2UBr_NkJyJ-GmGIrLkK95BGMWrTzYEbSScW-VQsCckggV4GpyBC4D0BalTmzsw8TFELuF3lxOErPhYOn8Rkk9CWJ04DUsFmqW8yNZK_O6YpBe5v8B00XxEqXdRZiK4oIkp0Pt4kvcAyEWk39__17VTuv6u70wbN4kcd6SB1zw5ycKTiYQG-gYI9veiWnHh2eh59KPb28mjefKHWAaQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:26:03.124Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAyNTQsImlhdCI6MTc1MjI3OTk1NCwiYXV0aF90aW1lIjoxNzUyMjc5OTUzLCJqdGkiOiI5MGU1NmYxZS1iODc2LTQ4ZjEtYTAxZi00ZDBlMmYwM2U3NDgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Gc6YTysSRW2AG4rO3UEh1NZdj2YnuzDuR1K6ARXUbIciK1MfPa8IaBV68Cfp8mph37o4s-oYH4fD8hqVzRZmnRNxrbN9UMBc8DMNF3nDKs5MOcZuiTljwr9yZEhLTGu_zsga2UBr_NkJyJ-GmGIrLkK95BGMWrTzYEbSScW-VQsCckggV4GpyBC4D0BalTmzsw8TFELuF3lxOErPhYOn8Rkk9CWJ04DUsFmqW8yNZK_O6YpBe5v8B00XxEqXdRZiK4oIkp0Pt4kvcAyEWk39__17VTuv6u70wbN4kcd6SB1zw5ycKTiYQG-gYI9veiWnHh2eh59KPb28mjefKHWAaQ' failed: Establishing a tunnel via proxy server failed.
