[2025-07-12T00:51:12.326Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=acbf7e48-3dc1-4b72-8761-6771bb4ec204&response_mode=fragment&response_type=code&scope=openid&nonce=3d863e67-0807-4c7e-8f60-d604790c0645 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:51:12.328Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=acbf7e48-3dc1-4b72-8761-6771bb4ec204&response_mode=fragment&response_type=code&scope=openid&nonce=3d863e67-0807-4c7e-8f60-d604790c0645 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:51:14.452Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE3NzMsImlhdCI6MTc1MjI4MTQ3MywiYXV0aF90aW1lIjoxNzUyMjgxNDcyLCJqdGkiOiI3NTNiMzRhMC05MjYzLTRkM2EtOGQ2Yi01YjA1ZTIyZTU4ZGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EZPVKyBxErGqJ5IFcvTfJ7VNEDAaPkOhhhs0qJvvtY-RwXV-xrByIICUiIeDBT7rxykG9cKE6JLj1zDOAV42mEOU8OKU_MXNyEvueZ7BOxjB1CGI8pgWfkrQ93NKdDoqHqMpFiQ0o1f9UO8U_UXxI1evY62TArDimya6LiVOisTW6qh6S8lp0oxnsl8GOCrSsDKgWPgrVkehjjbkyKNNxT-ZVPcLX7w1NxKdOa_DjdPZK9CRyBK_q-TWuK8HHGpJU2Y64zl8PUWYZZxtpgS2hm-7lD48sZz_6A_NoQICfVKKZV4F1C3Z5qTrDT_tEvQ__-vNCgZU9uSNtAMItya_EA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:51:16.456Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE3NzMsImlhdCI6MTc1MjI4MTQ3MywiYXV0aF90aW1lIjoxNzUyMjgxNDcyLCJqdGkiOiI3NTNiMzRhMC05MjYzLTRkM2EtOGQ2Yi01YjA1ZTIyZTU4ZGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EZPVKyBxErGqJ5IFcvTfJ7VNEDAaPkOhhhs0qJvvtY-RwXV-xrByIICUiIeDBT7rxykG9cKE6JLj1zDOAV42mEOU8OKU_MXNyEvueZ7BOxjB1CGI8pgWfkrQ93NKdDoqHqMpFiQ0o1f9UO8U_UXxI1evY62TArDimya6LiVOisTW6qh6S8lp0oxnsl8GOCrSsDKgWPgrVkehjjbkyKNNxT-ZVPcLX7w1NxKdOa_DjdPZK9CRyBK_q-TWuK8HHGpJU2Y64zl8PUWYZZxtpgS2hm-7lD48sZz_6A_NoQICfVKKZV4F1C3Z5qTrDT_tEvQ__-vNCgZU9uSNtAMItya_EA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:51:18.460Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE3NzMsImlhdCI6MTc1MjI4MTQ3MywiYXV0aF90aW1lIjoxNzUyMjgxNDcyLCJqdGkiOiI3NTNiMzRhMC05MjYzLTRkM2EtOGQ2Yi01YjA1ZTIyZTU4ZGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EZPVKyBxErGqJ5IFcvTfJ7VNEDAaPkOhhhs0qJvvtY-RwXV-xrByIICUiIeDBT7rxykG9cKE6JLj1zDOAV42mEOU8OKU_MXNyEvueZ7BOxjB1CGI8pgWfkrQ93NKdDoqHqMpFiQ0o1f9UO8U_UXxI1evY62TArDimya6LiVOisTW6qh6S8lp0oxnsl8GOCrSsDKgWPgrVkehjjbkyKNNxT-ZVPcLX7w1NxKdOa_DjdPZK9CRyBK_q-TWuK8HHGpJU2Y64zl8PUWYZZxtpgS2hm-7lD48sZz_6A_NoQICfVKKZV4F1C3Z5qTrDT_tEvQ__-vNCgZU9uSNtAMItya_EA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:51:20.620Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE3NzMsImlhdCI6MTc1MjI4MTQ3MywiYXV0aF90aW1lIjoxNzUyMjgxNDcyLCJqdGkiOiI3NTNiMzRhMC05MjYzLTRkM2EtOGQ2Yi01YjA1ZTIyZTU4ZGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EZPVKyBxErGqJ5IFcvTfJ7VNEDAaPkOhhhs0qJvvtY-RwXV-xrByIICUiIeDBT7rxykG9cKE6JLj1zDOAV42mEOU8OKU_MXNyEvueZ7BOxjB1CGI8pgWfkrQ93NKdDoqHqMpFiQ0o1f9UO8U_UXxI1evY62TArDimya6LiVOisTW6qh6S8lp0oxnsl8GOCrSsDKgWPgrVkehjjbkyKNNxT-ZVPcLX7w1NxKdOa_DjdPZK9CRyBK_q-TWuK8HHGpJU2Y64zl8PUWYZZxtpgS2hm-7lD48sZz_6A_NoQICfVKKZV4F1C3Z5qTrDT_tEvQ__-vNCgZU9uSNtAMItya_EA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:51:22.591Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE3NzMsImlhdCI6MTc1MjI4MTQ3MywiYXV0aF90aW1lIjoxNzUyMjgxNDcyLCJqdGkiOiI3NTNiMzRhMC05MjYzLTRkM2EtOGQ2Yi01YjA1ZTIyZTU4ZGUiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.EZPVKyBxErGqJ5IFcvTfJ7VNEDAaPkOhhhs0qJvvtY-RwXV-xrByIICUiIeDBT7rxykG9cKE6JLj1zDOAV42mEOU8OKU_MXNyEvueZ7BOxjB1CGI8pgWfkrQ93NKdDoqHqMpFiQ0o1f9UO8U_UXxI1evY62TArDimya6LiVOisTW6qh6S8lp0oxnsl8GOCrSsDKgWPgrVkehjjbkyKNNxT-ZVPcLX7w1NxKdOa_DjdPZK9CRyBK_q-TWuK8HHGpJU2Y64zl8PUWYZZxtpgS2hm-7lD48sZz_6A_NoQICfVKKZV4F1C3Z5qTrDT_tEvQ__-vNCgZU9uSNtAMItya_EA' failed: Establishing a tunnel via proxy server failed.
