[2025-07-12T00:13:15.058Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=eef07987-4324-460f-88c4-09c34dc0420c&response_mode=fragment&response_type=code&scope=openid&nonce=d010c4d8-2920-46ca-9013-681a9df63d99 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:13:15.061Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=eef07987-4324-460f-88c4-09c34dc0420c&response_mode=fragment&response_type=code&scope=openid&nonce=d010c4d8-2920-46ca-9013-681a9df63d99 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:13:17.240Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk0OTYsImlhdCI6MTc1MjI3OTE5NiwiYXV0aF90aW1lIjoxNzUyMjc5MTk1LCJqdGkiOiI1MTQwMWY3Yy05NGViLTRhNmEtOTkzMS05ZTM0NTY0OWFiNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ff60dbgzrZT7VS0U31e3bAnF-I-tTj9JXwiB3cumA92oxUl6YzOeoslza-ST-9ZvlW_3L4LA71uy466zxrYfxwkPuz5Erw6ntln5Drk5mpG9-80NWnArPZ76vMmbN4HfZCjsVGJFTrxYVp6fQTxSvE65nqFqAAi8yxbbhNhMURKrNQB6v7HlAKIw1rEVyBrm9VZFhAcSsdclWZ_ez6jWoAR1Q61K4cGAomd9YqazvK-LWRS1kaamDlLQiGWkQ5m7yYwHwqozjHoMDeVs3OGR6_80rRt1KKCiZxKV2SQ4Tcn_SXzpe08Lb7m_mo0nhHoP4SqwPqlwIjbPI9337vFrYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:13:19.241Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk0OTYsImlhdCI6MTc1MjI3OTE5NiwiYXV0aF90aW1lIjoxNzUyMjc5MTk1LCJqdGkiOiI1MTQwMWY3Yy05NGViLTRhNmEtOTkzMS05ZTM0NTY0OWFiNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ff60dbgzrZT7VS0U31e3bAnF-I-tTj9JXwiB3cumA92oxUl6YzOeoslza-ST-9ZvlW_3L4LA71uy466zxrYfxwkPuz5Erw6ntln5Drk5mpG9-80NWnArPZ76vMmbN4HfZCjsVGJFTrxYVp6fQTxSvE65nqFqAAi8yxbbhNhMURKrNQB6v7HlAKIw1rEVyBrm9VZFhAcSsdclWZ_ez6jWoAR1Q61K4cGAomd9YqazvK-LWRS1kaamDlLQiGWkQ5m7yYwHwqozjHoMDeVs3OGR6_80rRt1KKCiZxKV2SQ4Tcn_SXzpe08Lb7m_mo0nhHoP4SqwPqlwIjbPI9337vFrYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:13:21.290Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk0OTYsImlhdCI6MTc1MjI3OTE5NiwiYXV0aF90aW1lIjoxNzUyMjc5MTk1LCJqdGkiOiI1MTQwMWY3Yy05NGViLTRhNmEtOTkzMS05ZTM0NTY0OWFiNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ff60dbgzrZT7VS0U31e3bAnF-I-tTj9JXwiB3cumA92oxUl6YzOeoslza-ST-9ZvlW_3L4LA71uy466zxrYfxwkPuz5Erw6ntln5Drk5mpG9-80NWnArPZ76vMmbN4HfZCjsVGJFTrxYVp6fQTxSvE65nqFqAAi8yxbbhNhMURKrNQB6v7HlAKIw1rEVyBrm9VZFhAcSsdclWZ_ez6jWoAR1Q61K4cGAomd9YqazvK-LWRS1kaamDlLQiGWkQ5m7yYwHwqozjHoMDeVs3OGR6_80rRt1KKCiZxKV2SQ4Tcn_SXzpe08Lb7m_mo0nhHoP4SqwPqlwIjbPI9337vFrYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:13:23.306Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk0OTYsImlhdCI6MTc1MjI3OTE5NiwiYXV0aF90aW1lIjoxNzUyMjc5MTk1LCJqdGkiOiI1MTQwMWY3Yy05NGViLTRhNmEtOTkzMS05ZTM0NTY0OWFiNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ff60dbgzrZT7VS0U31e3bAnF-I-tTj9JXwiB3cumA92oxUl6YzOeoslza-ST-9ZvlW_3L4LA71uy466zxrYfxwkPuz5Erw6ntln5Drk5mpG9-80NWnArPZ76vMmbN4HfZCjsVGJFTrxYVp6fQTxSvE65nqFqAAi8yxbbhNhMURKrNQB6v7HlAKIw1rEVyBrm9VZFhAcSsdclWZ_ez6jWoAR1Q61K4cGAomd9YqazvK-LWRS1kaamDlLQiGWkQ5m7yYwHwqozjHoMDeVs3OGR6_80rRt1KKCiZxKV2SQ4Tcn_SXzpe08Lb7m_mo0nhHoP4SqwPqlwIjbPI9337vFrYg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:13:25.424Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk0OTYsImlhdCI6MTc1MjI3OTE5NiwiYXV0aF90aW1lIjoxNzUyMjc5MTk1LCJqdGkiOiI1MTQwMWY3Yy05NGViLTRhNmEtOTkzMS05ZTM0NTY0OWFiNWQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.Ff60dbgzrZT7VS0U31e3bAnF-I-tTj9JXwiB3cumA92oxUl6YzOeoslza-ST-9ZvlW_3L4LA71uy466zxrYfxwkPuz5Erw6ntln5Drk5mpG9-80NWnArPZ76vMmbN4HfZCjsVGJFTrxYVp6fQTxSvE65nqFqAAi8yxbbhNhMURKrNQB6v7HlAKIw1rEVyBrm9VZFhAcSsdclWZ_ez6jWoAR1Q61K4cGAomd9YqazvK-LWRS1kaamDlLQiGWkQ5m7yYwHwqozjHoMDeVs3OGR6_80rRt1KKCiZxKV2SQ4Tcn_SXzpe08Lb7m_mo0nhHoP4SqwPqlwIjbPI9337vFrYg' failed: Establishing a tunnel via proxy server failed.
