[2025-07-12T00:47:01.240Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fdb637e7-186e-41f1-8419-ec85658158aa&response_mode=fragment&response_type=code&scope=openid&nonce=b5c1eb5b-81bf-40a6-9bd7-5e3ee78381f9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:47:01.241Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=fdb637e7-186e-41f1-8419-ec85658158aa&response_mode=fragment&response_type=code&scope=openid&nonce=b5c1eb5b-81bf-40a6-9bd7-5e3ee78381f9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:47:03.293Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1MjIsImlhdCI6MTc1MjI4MTIyMiwiYXV0aF90aW1lIjoxNzUyMjgxMjIxLCJqdGkiOiJmMTNiYzBhZi1kZDU3LTRlNGYtYWNjZS0wY2NmMmE2ZDJiMzQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.IEzpViuWP0LygFbYjWFTtECrA1KqGFhrazQFgKdOzAxnqAKjwt-IWA4dhCFqbJKa18wnkepXXR1IU6rQT828rlgmCWF-FnBf2m6cE6IW7Wf0SVzJbgTkjujVP3dOXhRxVvsYX4U-q_irdugoBMBxwN315OrIZ7m-pCfvGe5HXeieDtFwv6Jutp7bZRUXvuVkMxDDZ0i44c0_NCInXzaly4-EW1tAI5mesHcwObQ_8VHqNU66aENqzZJYePvSMFGBjNYk6iTWyUh936RIcVXk8WMn0O-XVJAyMu3RS6bq1JE6o0c1G_8GfF16b6b58gylBq96Ly7GG1Ssv1Hj646DKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:05.312Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1MjIsImlhdCI6MTc1MjI4MTIyMiwiYXV0aF90aW1lIjoxNzUyMjgxMjIxLCJqdGkiOiJmMTNiYzBhZi1kZDU3LTRlNGYtYWNjZS0wY2NmMmE2ZDJiMzQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.IEzpViuWP0LygFbYjWFTtECrA1KqGFhrazQFgKdOzAxnqAKjwt-IWA4dhCFqbJKa18wnkepXXR1IU6rQT828rlgmCWF-FnBf2m6cE6IW7Wf0SVzJbgTkjujVP3dOXhRxVvsYX4U-q_irdugoBMBxwN315OrIZ7m-pCfvGe5HXeieDtFwv6Jutp7bZRUXvuVkMxDDZ0i44c0_NCInXzaly4-EW1tAI5mesHcwObQ_8VHqNU66aENqzZJYePvSMFGBjNYk6iTWyUh936RIcVXk8WMn0O-XVJAyMu3RS6bq1JE6o0c1G_8GfF16b6b58gylBq96Ly7GG1Ssv1Hj646DKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:07.324Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1MjIsImlhdCI6MTc1MjI4MTIyMiwiYXV0aF90aW1lIjoxNzUyMjgxMjIxLCJqdGkiOiJmMTNiYzBhZi1kZDU3LTRlNGYtYWNjZS0wY2NmMmE2ZDJiMzQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.IEzpViuWP0LygFbYjWFTtECrA1KqGFhrazQFgKdOzAxnqAKjwt-IWA4dhCFqbJKa18wnkepXXR1IU6rQT828rlgmCWF-FnBf2m6cE6IW7Wf0SVzJbgTkjujVP3dOXhRxVvsYX4U-q_irdugoBMBxwN315OrIZ7m-pCfvGe5HXeieDtFwv6Jutp7bZRUXvuVkMxDDZ0i44c0_NCInXzaly4-EW1tAI5mesHcwObQ_8VHqNU66aENqzZJYePvSMFGBjNYk6iTWyUh936RIcVXk8WMn0O-XVJAyMu3RS6bq1JE6o0c1G_8GfF16b6b58gylBq96Ly7GG1Ssv1Hj646DKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:09.385Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1MjIsImlhdCI6MTc1MjI4MTIyMiwiYXV0aF90aW1lIjoxNzUyMjgxMjIxLCJqdGkiOiJmMTNiYzBhZi1kZDU3LTRlNGYtYWNjZS0wY2NmMmE2ZDJiMzQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.IEzpViuWP0LygFbYjWFTtECrA1KqGFhrazQFgKdOzAxnqAKjwt-IWA4dhCFqbJKa18wnkepXXR1IU6rQT828rlgmCWF-FnBf2m6cE6IW7Wf0SVzJbgTkjujVP3dOXhRxVvsYX4U-q_irdugoBMBxwN315OrIZ7m-pCfvGe5HXeieDtFwv6Jutp7bZRUXvuVkMxDDZ0i44c0_NCInXzaly4-EW1tAI5mesHcwObQ_8VHqNU66aENqzZJYePvSMFGBjNYk6iTWyUh936RIcVXk8WMn0O-XVJAyMu3RS6bq1JE6o0c1G_8GfF16b6b58gylBq96Ly7GG1Ssv1Hj646DKw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:11.453Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1MjIsImlhdCI6MTc1MjI4MTIyMiwiYXV0aF90aW1lIjoxNzUyMjgxMjIxLCJqdGkiOiJmMTNiYzBhZi1kZDU3LTRlNGYtYWNjZS0wY2NmMmE2ZDJiMzQiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.IEzpViuWP0LygFbYjWFTtECrA1KqGFhrazQFgKdOzAxnqAKjwt-IWA4dhCFqbJKa18wnkepXXR1IU6rQT828rlgmCWF-FnBf2m6cE6IW7Wf0SVzJbgTkjujVP3dOXhRxVvsYX4U-q_irdugoBMBxwN315OrIZ7m-pCfvGe5HXeieDtFwv6Jutp7bZRUXvuVkMxDDZ0i44c0_NCInXzaly4-EW1tAI5mesHcwObQ_8VHqNU66aENqzZJYePvSMFGBjNYk6iTWyUh936RIcVXk8WMn0O-XVJAyMu3RS6bq1JE6o0c1G_8GfF16b6b58gylBq96Ly7GG1Ssv1Hj646DKw' failed: Establishing a tunnel via proxy server failed.
