[2025-07-12T00:19:40.885Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c65defae-08a1-4130-976e-9fdbc196d97f&response_mode=fragment&response_type=code&scope=openid&nonce=98ecb4e7-2588-47a6-8372-cbeb52e1aaf6 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:19:40.887Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=c65defae-08a1-4130-976e-9fdbc196d97f&response_mode=fragment&response_type=code&scope=openid&nonce=98ecb4e7-2588-47a6-8372-cbeb52e1aaf6 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:19:42.929Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4ODIsImlhdCI6MTc1MjI3OTU4MiwiYXV0aF90aW1lIjoxNzUyMjc5NTgxLCJqdGkiOiJlMzhmNDMyMy0xZjQxLTQ1MmMtYTQ0Ni03MzVlM2UxODM0YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LdHttgIS2WeY_mL5dmqNxW9-gVmVb50qMSDMN04HobqOWO15eUmMKnW6nf5kYC8oFZkGi09y9wbL4G_W6rCIuYt1M4Docuzhg4oeiEvKD0AGCtkNOaYU6kJ29Za6ZdetlTjvWXgAsbLPDFdbWu_DKTnXv4-5k-FYXRQIGwbJjeBw7ZRz10BlQE_5gJHh4XD2MQZn3Bggac5GgyPnxcQaL6FRSjPM7yyJecS_IAd1BkbXvR5zKPYsRjtI28C2oBFYa6WNniXqWuy9FkaJMqiwy5zX2hbxHTXoaV67uE6WkNfI2BwNJLBA-GUyaJrNNp_olWZmpz3KiMw7ZJQxURBEIw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:19:44.932Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4ODIsImlhdCI6MTc1MjI3OTU4MiwiYXV0aF90aW1lIjoxNzUyMjc5NTgxLCJqdGkiOiJlMzhmNDMyMy0xZjQxLTQ1MmMtYTQ0Ni03MzVlM2UxODM0YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LdHttgIS2WeY_mL5dmqNxW9-gVmVb50qMSDMN04HobqOWO15eUmMKnW6nf5kYC8oFZkGi09y9wbL4G_W6rCIuYt1M4Docuzhg4oeiEvKD0AGCtkNOaYU6kJ29Za6ZdetlTjvWXgAsbLPDFdbWu_DKTnXv4-5k-FYXRQIGwbJjeBw7ZRz10BlQE_5gJHh4XD2MQZn3Bggac5GgyPnxcQaL6FRSjPM7yyJecS_IAd1BkbXvR5zKPYsRjtI28C2oBFYa6WNniXqWuy9FkaJMqiwy5zX2hbxHTXoaV67uE6WkNfI2BwNJLBA-GUyaJrNNp_olWZmpz3KiMw7ZJQxURBEIw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:19:46.938Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4ODIsImlhdCI6MTc1MjI3OTU4MiwiYXV0aF90aW1lIjoxNzUyMjc5NTgxLCJqdGkiOiJlMzhmNDMyMy0xZjQxLTQ1MmMtYTQ0Ni03MzVlM2UxODM0YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LdHttgIS2WeY_mL5dmqNxW9-gVmVb50qMSDMN04HobqOWO15eUmMKnW6nf5kYC8oFZkGi09y9wbL4G_W6rCIuYt1M4Docuzhg4oeiEvKD0AGCtkNOaYU6kJ29Za6ZdetlTjvWXgAsbLPDFdbWu_DKTnXv4-5k-FYXRQIGwbJjeBw7ZRz10BlQE_5gJHh4XD2MQZn3Bggac5GgyPnxcQaL6FRSjPM7yyJecS_IAd1BkbXvR5zKPYsRjtI28C2oBFYa6WNniXqWuy9FkaJMqiwy5zX2hbxHTXoaV67uE6WkNfI2BwNJLBA-GUyaJrNNp_olWZmpz3KiMw7ZJQxURBEIw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:19:48.970Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4ODIsImlhdCI6MTc1MjI3OTU4MiwiYXV0aF90aW1lIjoxNzUyMjc5NTgxLCJqdGkiOiJlMzhmNDMyMy0xZjQxLTQ1MmMtYTQ0Ni03MzVlM2UxODM0YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LdHttgIS2WeY_mL5dmqNxW9-gVmVb50qMSDMN04HobqOWO15eUmMKnW6nf5kYC8oFZkGi09y9wbL4G_W6rCIuYt1M4Docuzhg4oeiEvKD0AGCtkNOaYU6kJ29Za6ZdetlTjvWXgAsbLPDFdbWu_DKTnXv4-5k-FYXRQIGwbJjeBw7ZRz10BlQE_5gJHh4XD2MQZn3Bggac5GgyPnxcQaL6FRSjPM7yyJecS_IAd1BkbXvR5zKPYsRjtI28C2oBFYa6WNniXqWuy9FkaJMqiwy5zX2hbxHTXoaV67uE6WkNfI2BwNJLBA-GUyaJrNNp_olWZmpz3KiMw7ZJQxURBEIw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:19:51.034Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4ODIsImlhdCI6MTc1MjI3OTU4MiwiYXV0aF90aW1lIjoxNzUyMjc5NTgxLCJqdGkiOiJlMzhmNDMyMy0xZjQxLTQ1MmMtYTQ0Ni03MzVlM2UxODM0YjYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LdHttgIS2WeY_mL5dmqNxW9-gVmVb50qMSDMN04HobqOWO15eUmMKnW6nf5kYC8oFZkGi09y9wbL4G_W6rCIuYt1M4Docuzhg4oeiEvKD0AGCtkNOaYU6kJ29Za6ZdetlTjvWXgAsbLPDFdbWu_DKTnXv4-5k-FYXRQIGwbJjeBw7ZRz10BlQE_5gJHh4XD2MQZn3Bggac5GgyPnxcQaL6FRSjPM7yyJecS_IAd1BkbXvR5zKPYsRjtI28C2oBFYa6WNniXqWuy9FkaJMqiwy5zX2hbxHTXoaV67uE6WkNfI2BwNJLBA-GUyaJrNNp_olWZmpz3KiMw7ZJQxURBEIw' failed: Establishing a tunnel via proxy server failed.
