[2025-07-12T00:40:54.791Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2c5314e5-549d-4f10-b55e-409734b96d8b&response_mode=fragment&response_type=code&scope=openid&nonce=38389ac2-8666-46c3-8e73-655801fbb2f3 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:40:54.793Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=2c5314e5-549d-4f10-b55e-409734b96d8b&response_mode=fragment&response_type=code&scope=openid&nonce=38389ac2-8666-46c3-8e73-655801fbb2f3 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:40:57.130Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODExNTYsImlhdCI6MTc1MjI4MDg1NiwiYXV0aF90aW1lIjoxNzUyMjgwODU1LCJqdGkiOiIzYzY4NmMxZS1mMGNhLTQ2NWYtYjExZC1hZTZhZTc3MTg5NmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hUzknr5dIXQTnL1sgKuJXATNVD26PxaCjPpmidk57ho7fpHhaQHmmlyxx7IDDrM-2yFyRS3nlsSYnLss5cpza9pvqruowyDJGmMXKiz_SSReI1313on0FuDXJZikwMBha7Jz64_PGsOQezqNjMAkvTEHqGRgVVuIidCNU0mqZOHqKFAQexaW9cIXNPDs0AqM2NGSq3B6lkgXy_e6yLwnlTIcte5gkJGwvpUMEwC6XAstlDBT2jQyxHEKJLCYfj-QXRA5bWqGrhhKXyPhSaR-ePJ6wbuRATo7Cqx42_0b6hLXgpM6LDyEXeD-8WuUA26JN-prwYZrL7uy7jCVBQuLLg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:40:59.153Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODExNTYsImlhdCI6MTc1MjI4MDg1NiwiYXV0aF90aW1lIjoxNzUyMjgwODU1LCJqdGkiOiIzYzY4NmMxZS1mMGNhLTQ2NWYtYjExZC1hZTZhZTc3MTg5NmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hUzknr5dIXQTnL1sgKuJXATNVD26PxaCjPpmidk57ho7fpHhaQHmmlyxx7IDDrM-2yFyRS3nlsSYnLss5cpza9pvqruowyDJGmMXKiz_SSReI1313on0FuDXJZikwMBha7Jz64_PGsOQezqNjMAkvTEHqGRgVVuIidCNU0mqZOHqKFAQexaW9cIXNPDs0AqM2NGSq3B6lkgXy_e6yLwnlTIcte5gkJGwvpUMEwC6XAstlDBT2jQyxHEKJLCYfj-QXRA5bWqGrhhKXyPhSaR-ePJ6wbuRATo7Cqx42_0b6hLXgpM6LDyEXeD-8WuUA26JN-prwYZrL7uy7jCVBQuLLg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:41:01.171Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODExNTYsImlhdCI6MTc1MjI4MDg1NiwiYXV0aF90aW1lIjoxNzUyMjgwODU1LCJqdGkiOiIzYzY4NmMxZS1mMGNhLTQ2NWYtYjExZC1hZTZhZTc3MTg5NmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hUzknr5dIXQTnL1sgKuJXATNVD26PxaCjPpmidk57ho7fpHhaQHmmlyxx7IDDrM-2yFyRS3nlsSYnLss5cpza9pvqruowyDJGmMXKiz_SSReI1313on0FuDXJZikwMBha7Jz64_PGsOQezqNjMAkvTEHqGRgVVuIidCNU0mqZOHqKFAQexaW9cIXNPDs0AqM2NGSq3B6lkgXy_e6yLwnlTIcte5gkJGwvpUMEwC6XAstlDBT2jQyxHEKJLCYfj-QXRA5bWqGrhhKXyPhSaR-ePJ6wbuRATo7Cqx42_0b6hLXgpM6LDyEXeD-8WuUA26JN-prwYZrL7uy7jCVBQuLLg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:41:03.171Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODExNTYsImlhdCI6MTc1MjI4MDg1NiwiYXV0aF90aW1lIjoxNzUyMjgwODU1LCJqdGkiOiIzYzY4NmMxZS1mMGNhLTQ2NWYtYjExZC1hZTZhZTc3MTg5NmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hUzknr5dIXQTnL1sgKuJXATNVD26PxaCjPpmidk57ho7fpHhaQHmmlyxx7IDDrM-2yFyRS3nlsSYnLss5cpza9pvqruowyDJGmMXKiz_SSReI1313on0FuDXJZikwMBha7Jz64_PGsOQezqNjMAkvTEHqGRgVVuIidCNU0mqZOHqKFAQexaW9cIXNPDs0AqM2NGSq3B6lkgXy_e6yLwnlTIcte5gkJGwvpUMEwC6XAstlDBT2jQyxHEKJLCYfj-QXRA5bWqGrhhKXyPhSaR-ePJ6wbuRATo7Cqx42_0b6hLXgpM6LDyEXeD-8WuUA26JN-prwYZrL7uy7jCVBQuLLg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:41:05.346Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODExNTYsImlhdCI6MTc1MjI4MDg1NiwiYXV0aF90aW1lIjoxNzUyMjgwODU1LCJqdGkiOiIzYzY4NmMxZS1mMGNhLTQ2NWYtYjExZC1hZTZhZTc3MTg5NmMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.hUzknr5dIXQTnL1sgKuJXATNVD26PxaCjPpmidk57ho7fpHhaQHmmlyxx7IDDrM-2yFyRS3nlsSYnLss5cpza9pvqruowyDJGmMXKiz_SSReI1313on0FuDXJZikwMBha7Jz64_PGsOQezqNjMAkvTEHqGRgVVuIidCNU0mqZOHqKFAQexaW9cIXNPDs0AqM2NGSq3B6lkgXy_e6yLwnlTIcte5gkJGwvpUMEwC6XAstlDBT2jQyxHEKJLCYfj-QXRA5bWqGrhhKXyPhSaR-ePJ6wbuRATo7Cqx42_0b6hLXgpM6LDyEXeD-8WuUA26JN-prwYZrL7uy7jCVBQuLLg' failed: Establishing a tunnel via proxy server failed.
