[2025-07-12T00:47:22.624Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f15691d2-b2f0-4cbb-8c23-a826cce198a0&response_mode=fragment&response_type=code&scope=openid&nonce=621a5e56-e891-46ad-8d7a-731466b40ce2 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:47:22.625Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=f15691d2-b2f0-4cbb-8c23-a826cce198a0&response_mode=fragment&response_type=code&scope=openid&nonce=621a5e56-e891-46ad-8d7a-731466b40ce2 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:47:24.984Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1NDMsImlhdCI6MTc1MjI4MTI0MywiYXV0aF90aW1lIjoxNzUyMjgxMjQyLCJqdGkiOiIyNTIwYmQwYy1iYTI4LTQyOTctYTMxMC01ZmE3YTgyNWEzNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QZAF-mFbeoc2bqT21LRRb0lc5LVYaPCWkBbUkMq44dYFxv6xDutnMLNrzXbloFMP6qRzr0XTzijU5kXKA08fIBJkPaDMyyntGXhJaZGz7K8KdSXTGIGkdVXzbf91s0OEearfZ4hD3iqk5zu8snPkzPGzkbGqF02xF-ZVHwm9N0tI5dJeV2885sKQexWQpjqgRjoVTlJpPvQmnFwdYmH_PP2shP-YntJi1h68Y_rvySnW1Vdrx8kacdptF36JVpxy7ffzfAFDEzj5Z7-z5NUWOLoB7bG9ZaO-kVBo3aSWfvM0FBmIU7SQ64BazGALP7vvOOZHlB3pWjoq7kxoASvbnw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:26.992Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1NDMsImlhdCI6MTc1MjI4MTI0MywiYXV0aF90aW1lIjoxNzUyMjgxMjQyLCJqdGkiOiIyNTIwYmQwYy1iYTI4LTQyOTctYTMxMC01ZmE3YTgyNWEzNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QZAF-mFbeoc2bqT21LRRb0lc5LVYaPCWkBbUkMq44dYFxv6xDutnMLNrzXbloFMP6qRzr0XTzijU5kXKA08fIBJkPaDMyyntGXhJaZGz7K8KdSXTGIGkdVXzbf91s0OEearfZ4hD3iqk5zu8snPkzPGzkbGqF02xF-ZVHwm9N0tI5dJeV2885sKQexWQpjqgRjoVTlJpPvQmnFwdYmH_PP2shP-YntJi1h68Y_rvySnW1Vdrx8kacdptF36JVpxy7ffzfAFDEzj5Z7-z5NUWOLoB7bG9ZaO-kVBo3aSWfvM0FBmIU7SQ64BazGALP7vvOOZHlB3pWjoq7kxoASvbnw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:29.015Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1NDMsImlhdCI6MTc1MjI4MTI0MywiYXV0aF90aW1lIjoxNzUyMjgxMjQyLCJqdGkiOiIyNTIwYmQwYy1iYTI4LTQyOTctYTMxMC01ZmE3YTgyNWEzNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QZAF-mFbeoc2bqT21LRRb0lc5LVYaPCWkBbUkMq44dYFxv6xDutnMLNrzXbloFMP6qRzr0XTzijU5kXKA08fIBJkPaDMyyntGXhJaZGz7K8KdSXTGIGkdVXzbf91s0OEearfZ4hD3iqk5zu8snPkzPGzkbGqF02xF-ZVHwm9N0tI5dJeV2885sKQexWQpjqgRjoVTlJpPvQmnFwdYmH_PP2shP-YntJi1h68Y_rvySnW1Vdrx8kacdptF36JVpxy7ffzfAFDEzj5Z7-z5NUWOLoB7bG9ZaO-kVBo3aSWfvM0FBmIU7SQ64BazGALP7vvOOZHlB3pWjoq7kxoASvbnw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:31.192Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1NDMsImlhdCI6MTc1MjI4MTI0MywiYXV0aF90aW1lIjoxNzUyMjgxMjQyLCJqdGkiOiIyNTIwYmQwYy1iYTI4LTQyOTctYTMxMC01ZmE3YTgyNWEzNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QZAF-mFbeoc2bqT21LRRb0lc5LVYaPCWkBbUkMq44dYFxv6xDutnMLNrzXbloFMP6qRzr0XTzijU5kXKA08fIBJkPaDMyyntGXhJaZGz7K8KdSXTGIGkdVXzbf91s0OEearfZ4hD3iqk5zu8snPkzPGzkbGqF02xF-ZVHwm9N0tI5dJeV2885sKQexWQpjqgRjoVTlJpPvQmnFwdYmH_PP2shP-YntJi1h68Y_rvySnW1Vdrx8kacdptF36JVpxy7ffzfAFDEzj5Z7-z5NUWOLoB7bG9ZaO-kVBo3aSWfvM0FBmIU7SQ64BazGALP7vvOOZHlB3pWjoq7kxoASvbnw' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:47:33.178Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE1NDMsImlhdCI6MTc1MjI4MTI0MywiYXV0aF90aW1lIjoxNzUyMjgxMjQyLCJqdGkiOiIyNTIwYmQwYy1iYTI4LTQyOTctYTMxMC01ZmE3YTgyNWEzNDYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.QZAF-mFbeoc2bqT21LRRb0lc5LVYaPCWkBbUkMq44dYFxv6xDutnMLNrzXbloFMP6qRzr0XTzijU5kXKA08fIBJkPaDMyyntGXhJaZGz7K8KdSXTGIGkdVXzbf91s0OEearfZ4hD3iqk5zu8snPkzPGzkbGqF02xF-ZVHwm9N0tI5dJeV2885sKQexWQpjqgRjoVTlJpPvQmnFwdYmH_PP2shP-YntJi1h68Y_rvySnW1Vdrx8kacdptF36JVpxy7ffzfAFDEzj5Z7-z5NUWOLoB7bG9ZaO-kVBo3aSWfvM0FBmIU7SQ64BazGALP7vvOOZHlB3pWjoq7kxoASvbnw' failed: Establishing a tunnel via proxy server failed.
