[2025-07-12T00:27:10.216Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e30ac5c9-27df-461f-9219-1c85e30e0dd0&response_mode=fragment&response_type=code&scope=openid&nonce=6ef4cc66-c587-473a-83c9-6ab8f93a451d - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:27:10.216Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=e30ac5c9-27df-461f-9219-1c85e30e0dd0&response_mode=fragment&response_type=code&scope=openid&nonce=6ef4cc66-c587-473a-83c9-6ab8f93a451d - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:27:12.395Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzMzEsImlhdCI6MTc1MjI4MDAzMSwiYXV0aF90aW1lIjoxNzUyMjgwMDMwLCJqdGkiOiJlYWFiZmJkMy0zMjc3LTQ2NmUtODlhZC00OWVmZTc1MWUyZGIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.acvSnDeV4I1Xz7RlnU31SvGpti5SGld7Fk5pggHvdGIZ1aDpz_ltzjd_1EYZFF590tl3ag64TTjiGF-16aJMwd5DziJh3k8r1sV3Ivp2U6WgxOpuU-LFbcJXFkSabFV_V0T7tTZ_igBJgyQsqSxnIoOrAvDXRpLgikfbSZcD2heJI9Fhas2-Swx04dZ7BQmTOOQ51tyl9qMdV_3dnh-XDwTJ0-KZTNqwKe0dOahsFBJ6kH5rmcY0BI-Z-P8Unb97RH-RV0jnlKA7SIvIVOvCAihZ3KfPXZRLvc1oGnv6YwyyNFvhZLtrSsKdp26iMYwz9PRQ7BWkmm7r95iO_ji8SA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:14.403Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzMzEsImlhdCI6MTc1MjI4MDAzMSwiYXV0aF90aW1lIjoxNzUyMjgwMDMwLCJqdGkiOiJlYWFiZmJkMy0zMjc3LTQ2NmUtODlhZC00OWVmZTc1MWUyZGIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.acvSnDeV4I1Xz7RlnU31SvGpti5SGld7Fk5pggHvdGIZ1aDpz_ltzjd_1EYZFF590tl3ag64TTjiGF-16aJMwd5DziJh3k8r1sV3Ivp2U6WgxOpuU-LFbcJXFkSabFV_V0T7tTZ_igBJgyQsqSxnIoOrAvDXRpLgikfbSZcD2heJI9Fhas2-Swx04dZ7BQmTOOQ51tyl9qMdV_3dnh-XDwTJ0-KZTNqwKe0dOahsFBJ6kH5rmcY0BI-Z-P8Unb97RH-RV0jnlKA7SIvIVOvCAihZ3KfPXZRLvc1oGnv6YwyyNFvhZLtrSsKdp26iMYwz9PRQ7BWkmm7r95iO_ji8SA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:16.409Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzMzEsImlhdCI6MTc1MjI4MDAzMSwiYXV0aF90aW1lIjoxNzUyMjgwMDMwLCJqdGkiOiJlYWFiZmJkMy0zMjc3LTQ2NmUtODlhZC00OWVmZTc1MWUyZGIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.acvSnDeV4I1Xz7RlnU31SvGpti5SGld7Fk5pggHvdGIZ1aDpz_ltzjd_1EYZFF590tl3ag64TTjiGF-16aJMwd5DziJh3k8r1sV3Ivp2U6WgxOpuU-LFbcJXFkSabFV_V0T7tTZ_igBJgyQsqSxnIoOrAvDXRpLgikfbSZcD2heJI9Fhas2-Swx04dZ7BQmTOOQ51tyl9qMdV_3dnh-XDwTJ0-KZTNqwKe0dOahsFBJ6kH5rmcY0BI-Z-P8Unb97RH-RV0jnlKA7SIvIVOvCAihZ3KfPXZRLvc1oGnv6YwyyNFvhZLtrSsKdp26iMYwz9PRQ7BWkmm7r95iO_ji8SA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:18.547Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzMzEsImlhdCI6MTc1MjI4MDAzMSwiYXV0aF90aW1lIjoxNzUyMjgwMDMwLCJqdGkiOiJlYWFiZmJkMy0zMjc3LTQ2NmUtODlhZC00OWVmZTc1MWUyZGIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.acvSnDeV4I1Xz7RlnU31SvGpti5SGld7Fk5pggHvdGIZ1aDpz_ltzjd_1EYZFF590tl3ag64TTjiGF-16aJMwd5DziJh3k8r1sV3Ivp2U6WgxOpuU-LFbcJXFkSabFV_V0T7tTZ_igBJgyQsqSxnIoOrAvDXRpLgikfbSZcD2heJI9Fhas2-Swx04dZ7BQmTOOQ51tyl9qMdV_3dnh-XDwTJ0-KZTNqwKe0dOahsFBJ6kH5rmcY0BI-Z-P8Unb97RH-RV0jnlKA7SIvIVOvCAihZ3KfPXZRLvc1oGnv6YwyyNFvhZLtrSsKdp26iMYwz9PRQ7BWkmm7r95iO_ji8SA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:20.521Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzMzEsImlhdCI6MTc1MjI4MDAzMSwiYXV0aF90aW1lIjoxNzUyMjgwMDMwLCJqdGkiOiJlYWFiZmJkMy0zMjc3LTQ2NmUtODlhZC00OWVmZTc1MWUyZGIiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.acvSnDeV4I1Xz7RlnU31SvGpti5SGld7Fk5pggHvdGIZ1aDpz_ltzjd_1EYZFF590tl3ag64TTjiGF-16aJMwd5DziJh3k8r1sV3Ivp2U6WgxOpuU-LFbcJXFkSabFV_V0T7tTZ_igBJgyQsqSxnIoOrAvDXRpLgikfbSZcD2heJI9Fhas2-Swx04dZ7BQmTOOQ51tyl9qMdV_3dnh-XDwTJ0-KZTNqwKe0dOahsFBJ6kH5rmcY0BI-Z-P8Unb97RH-RV0jnlKA7SIvIVOvCAihZ3KfPXZRLvc1oGnv6YwyyNFvhZLtrSsKdp26iMYwz9PRQ7BWkmm7r95iO_ji8SA' failed: Establishing a tunnel via proxy server failed.
