[2025-07-11T23:41:59.926Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0043f027-b07a-4f45-80ec-96b3adf3470a&response_mode=fragment&response_type=code&scope=openid&nonce=539ee5b9-289b-468b-9f27-5f87a35fbf54 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:41:59.927Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0043f027-b07a-4f45-80ec-96b3adf3470a&response_mode=fragment&response_type=code&scope=openid&nonce=539ee5b9-289b-468b-9f27-5f87a35fbf54 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:42:02Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2MjEsImlhdCI6MTc1MjI3NzMyMSwiYXV0aF90aW1lIjoxNzUyMjc3MzIwLCJqdGkiOiJjYWM2MjUwNS00YzJkLTQ1ODQtYThlOC03ZmU3ZDY0MmYwNTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LQEu-z4ywYbLusVxvNoo3hIqKItbODe-fWDGOw5dm29kfTz1QmCukC042I0Vcxd7RrCPZU_VKT0GLFWSi66UtCzgCiLbsQDofxRx-P0IFgbEUWd2EuBZ77_Uw8P9kaQBNC6OoXh24LfDH5MdEHA0GFtjL5EOb1PbuXYgwG-GPSUh_FOfxnIy0z8IdCbzCqSLrloDLrba4NixKZ6n2U0N8lzfvOXGbleq1kqwPuacUWMFPp5Obh68m5sXdGMfnf87vP7yCZSfgwLTL6Ppe2qMvucrVAyAULnGtbTHZyIbG2Y2nkNQDJR6-vZfxLiiCvuybh3ENtsdUQYwoGWPO2MMiw' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:04.007Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2MjEsImlhdCI6MTc1MjI3NzMyMSwiYXV0aF90aW1lIjoxNzUyMjc3MzIwLCJqdGkiOiJjYWM2MjUwNS00YzJkLTQ1ODQtYThlOC03ZmU3ZDY0MmYwNTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LQEu-z4ywYbLusVxvNoo3hIqKItbODe-fWDGOw5dm29kfTz1QmCukC042I0Vcxd7RrCPZU_VKT0GLFWSi66UtCzgCiLbsQDofxRx-P0IFgbEUWd2EuBZ77_Uw8P9kaQBNC6OoXh24LfDH5MdEHA0GFtjL5EOb1PbuXYgwG-GPSUh_FOfxnIy0z8IdCbzCqSLrloDLrba4NixKZ6n2U0N8lzfvOXGbleq1kqwPuacUWMFPp5Obh68m5sXdGMfnf87vP7yCZSfgwLTL6Ppe2qMvucrVAyAULnGtbTHZyIbG2Y2nkNQDJR6-vZfxLiiCvuybh3ENtsdUQYwoGWPO2MMiw' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:06.016Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2MjEsImlhdCI6MTc1MjI3NzMyMSwiYXV0aF90aW1lIjoxNzUyMjc3MzIwLCJqdGkiOiJjYWM2MjUwNS00YzJkLTQ1ODQtYThlOC03ZmU3ZDY0MmYwNTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LQEu-z4ywYbLusVxvNoo3hIqKItbODe-fWDGOw5dm29kfTz1QmCukC042I0Vcxd7RrCPZU_VKT0GLFWSi66UtCzgCiLbsQDofxRx-P0IFgbEUWd2EuBZ77_Uw8P9kaQBNC6OoXh24LfDH5MdEHA0GFtjL5EOb1PbuXYgwG-GPSUh_FOfxnIy0z8IdCbzCqSLrloDLrba4NixKZ6n2U0N8lzfvOXGbleq1kqwPuacUWMFPp5Obh68m5sXdGMfnf87vP7yCZSfgwLTL6Ppe2qMvucrVAyAULnGtbTHZyIbG2Y2nkNQDJR6-vZfxLiiCvuybh3ENtsdUQYwoGWPO2MMiw' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:08.029Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2MjEsImlhdCI6MTc1MjI3NzMyMSwiYXV0aF90aW1lIjoxNzUyMjc3MzIwLCJqdGkiOiJjYWM2MjUwNS00YzJkLTQ1ODQtYThlOC03ZmU3ZDY0MmYwNTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LQEu-z4ywYbLusVxvNoo3hIqKItbODe-fWDGOw5dm29kfTz1QmCukC042I0Vcxd7RrCPZU_VKT0GLFWSi66UtCzgCiLbsQDofxRx-P0IFgbEUWd2EuBZ77_Uw8P9kaQBNC6OoXh24LfDH5MdEHA0GFtjL5EOb1PbuXYgwG-GPSUh_FOfxnIy0z8IdCbzCqSLrloDLrba4NixKZ6n2U0N8lzfvOXGbleq1kqwPuacUWMFPp5Obh68m5sXdGMfnf87vP7yCZSfgwLTL6Ppe2qMvucrVAyAULnGtbTHZyIbG2Y2nkNQDJR6-vZfxLiiCvuybh3ENtsdUQYwoGWPO2MMiw' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:42:10.176Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzc2MjEsImlhdCI6MTc1MjI3NzMyMSwiYXV0aF90aW1lIjoxNzUyMjc3MzIwLCJqdGkiOiJjYWM2MjUwNS00YzJkLTQ1ODQtYThlOC03ZmU3ZDY0MmYwNTkiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.LQEu-z4ywYbLusVxvNoo3hIqKItbODe-fWDGOw5dm29kfTz1QmCukC042I0Vcxd7RrCPZU_VKT0GLFWSi66UtCzgCiLbsQDofxRx-P0IFgbEUWd2EuBZ77_Uw8P9kaQBNC6OoXh24LfDH5MdEHA0GFtjL5EOb1PbuXYgwG-GPSUh_FOfxnIy0z8IdCbzCqSLrloDLrba4NixKZ6n2U0N8lzfvOXGbleq1kqwPuacUWMFPp5Obh68m5sXdGMfnf87vP7yCZSfgwLTL6Ppe2qMvucrVAyAULnGtbTHZyIbG2Y2nkNQDJR6-vZfxLiiCvuybh3ENtsdUQYwoGWPO2MMiw' failed: Establishing a tunnel via proxy server failed.
