[2025-07-12T00:39:40.777Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=82b76ebe-ec9f-4d64-857a-5afcc0233a1a&response_mode=fragment&response_type=code&scope=openid&nonce=950c4603-1640-4270-8b73-95034a575399 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:39:40.779Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=82b76ebe-ec9f-4d64-857a-5afcc0233a1a&response_mode=fragment&response_type=code&scope=openid&nonce=950c4603-1640-4270-8b73-95034a575399 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:39:42.952Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwODIsImlhdCI6MTc1MjI4MDc4MiwiYXV0aF90aW1lIjoxNzUyMjgwNzgxLCJqdGkiOiIzZWFjM2QwNS01Yzg1LTQ1ZmItODMwMi05MmEzNTRkM2Y1MTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BcXylcYheUvQ3pIQQQQcm9MNgytAxy6W0rffroVcXkVE5bjzW5zzvHjsgxoFoYvilD-MEtmRuQn1ImZ0OTCQTkCARQg-lawajBC-CsCBt9o0574u3-xB2e3sGUnSAKgGAPCpdc9tnbpItl73Wq1DkaRwkjstCIsLW_opRyX__nigIxqfTaisCjx68ExEY23tYVQc6sYnFV2fFxuBTFn0lOOsKSSFPGs96yADJLFHtk4V5OmPDh75Gg43eGosw8K7mx0I1LIMsUZyM3KIhqIfBvXeXkaPLbsMCzDJByd-OFijNn6ZV1sP33vs7U4c4NQWLNT5GmgxpFLZejTyDkvuPg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:44.958Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwODIsImlhdCI6MTc1MjI4MDc4MiwiYXV0aF90aW1lIjoxNzUyMjgwNzgxLCJqdGkiOiIzZWFjM2QwNS01Yzg1LTQ1ZmItODMwMi05MmEzNTRkM2Y1MTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BcXylcYheUvQ3pIQQQQcm9MNgytAxy6W0rffroVcXkVE5bjzW5zzvHjsgxoFoYvilD-MEtmRuQn1ImZ0OTCQTkCARQg-lawajBC-CsCBt9o0574u3-xB2e3sGUnSAKgGAPCpdc9tnbpItl73Wq1DkaRwkjstCIsLW_opRyX__nigIxqfTaisCjx68ExEY23tYVQc6sYnFV2fFxuBTFn0lOOsKSSFPGs96yADJLFHtk4V5OmPDh75Gg43eGosw8K7mx0I1LIMsUZyM3KIhqIfBvXeXkaPLbsMCzDJByd-OFijNn6ZV1sP33vs7U4c4NQWLNT5GmgxpFLZejTyDkvuPg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:46.963Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwODIsImlhdCI6MTc1MjI4MDc4MiwiYXV0aF90aW1lIjoxNzUyMjgwNzgxLCJqdGkiOiIzZWFjM2QwNS01Yzg1LTQ1ZmItODMwMi05MmEzNTRkM2Y1MTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BcXylcYheUvQ3pIQQQQcm9MNgytAxy6W0rffroVcXkVE5bjzW5zzvHjsgxoFoYvilD-MEtmRuQn1ImZ0OTCQTkCARQg-lawajBC-CsCBt9o0574u3-xB2e3sGUnSAKgGAPCpdc9tnbpItl73Wq1DkaRwkjstCIsLW_opRyX__nigIxqfTaisCjx68ExEY23tYVQc6sYnFV2fFxuBTFn0lOOsKSSFPGs96yADJLFHtk4V5OmPDh75Gg43eGosw8K7mx0I1LIMsUZyM3KIhqIfBvXeXkaPLbsMCzDJByd-OFijNn6ZV1sP33vs7U4c4NQWLNT5GmgxpFLZejTyDkvuPg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:49Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwODIsImlhdCI6MTc1MjI4MDc4MiwiYXV0aF90aW1lIjoxNzUyMjgwNzgxLCJqdGkiOiIzZWFjM2QwNS01Yzg1LTQ1ZmItODMwMi05MmEzNTRkM2Y1MTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BcXylcYheUvQ3pIQQQQcm9MNgytAxy6W0rffroVcXkVE5bjzW5zzvHjsgxoFoYvilD-MEtmRuQn1ImZ0OTCQTkCARQg-lawajBC-CsCBt9o0574u3-xB2e3sGUnSAKgGAPCpdc9tnbpItl73Wq1DkaRwkjstCIsLW_opRyX__nigIxqfTaisCjx68ExEY23tYVQc6sYnFV2fFxuBTFn0lOOsKSSFPGs96yADJLFHtk4V5OmPDh75Gg43eGosw8K7mx0I1LIMsUZyM3KIhqIfBvXeXkaPLbsMCzDJByd-OFijNn6ZV1sP33vs7U4c4NQWLNT5GmgxpFLZejTyDkvuPg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:39:51.080Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODEwODIsImlhdCI6MTc1MjI4MDc4MiwiYXV0aF90aW1lIjoxNzUyMjgwNzgxLCJqdGkiOiIzZWFjM2QwNS01Yzg1LTQ1ZmItODMwMi05MmEzNTRkM2Y1MTEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.BcXylcYheUvQ3pIQQQQcm9MNgytAxy6W0rffroVcXkVE5bjzW5zzvHjsgxoFoYvilD-MEtmRuQn1ImZ0OTCQTkCARQg-lawajBC-CsCBt9o0574u3-xB2e3sGUnSAKgGAPCpdc9tnbpItl73Wq1DkaRwkjstCIsLW_opRyX__nigIxqfTaisCjx68ExEY23tYVQc6sYnFV2fFxuBTFn0lOOsKSSFPGs96yADJLFHtk4V5OmPDh75Gg43eGosw8K7mx0I1LIMsUZyM3KIhqIfBvXeXkaPLbsMCzDJByd-OFijNn6ZV1sP33vs7U4c4NQWLNT5GmgxpFLZejTyDkvuPg' failed: Establishing a tunnel via proxy server failed.
