[2025-07-12T00:27:46.386Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0a172fec-631d-4f13-8203-d9fd252dfc6e&response_mode=fragment&response_type=code&scope=openid&nonce=4807e31e-70d7-4173-8772-55434efa48a6 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:27:46.387Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0a172fec-631d-4f13-8203-d9fd252dfc6e&response_mode=fragment&response_type=code&scope=openid&nonce=4807e31e-70d7-4173-8772-55434efa48a6 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:27:48.399Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzNjcsImlhdCI6MTc1MjI4MDA2NywiYXV0aF90aW1lIjoxNzUyMjgwMDY2LCJqdGkiOiI2MmUyOGNkOC1iZjJmLTQxMzUtODM1Yi1lM2Y5NWE0YWU4MmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MK2UexzXDOcCr2cjULm8z3qByllu3C0a0DM2afwiuACIAyCQkwTUiezFpAHB5WM-n62nMXxqcLXvARQCK3cWyH5b8krQ605K9QceYr5cmdwlTiULIDksgw_Pb8kBGUk1ElLDmaFDoBCiMqWxdfcdn8bLOzNs_55iYCSU80LCqvHphzSJCqiaXGORJUonElxHP4XOZybK8HvPSF1z6vMzXfdi0EDOT6gQlXQ7_VXI5Bwl3OAnPq-_s5V-gCXt6tXxYokzn0wQppj4XS0yVyuBVZ4E5vrhmwmwndQxLvIdYpPQvGVnkt-iyqf5Kh1h1rFzM_11_X_WVl-kWlK79EpM9Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:50.438Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzNjcsImlhdCI6MTc1MjI4MDA2NywiYXV0aF90aW1lIjoxNzUyMjgwMDY2LCJqdGkiOiI2MmUyOGNkOC1iZjJmLTQxMzUtODM1Yi1lM2Y5NWE0YWU4MmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MK2UexzXDOcCr2cjULm8z3qByllu3C0a0DM2afwiuACIAyCQkwTUiezFpAHB5WM-n62nMXxqcLXvARQCK3cWyH5b8krQ605K9QceYr5cmdwlTiULIDksgw_Pb8kBGUk1ElLDmaFDoBCiMqWxdfcdn8bLOzNs_55iYCSU80LCqvHphzSJCqiaXGORJUonElxHP4XOZybK8HvPSF1z6vMzXfdi0EDOT6gQlXQ7_VXI5Bwl3OAnPq-_s5V-gCXt6tXxYokzn0wQppj4XS0yVyuBVZ4E5vrhmwmwndQxLvIdYpPQvGVnkt-iyqf5Kh1h1rFzM_11_X_WVl-kWlK79EpM9Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:52.455Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzNjcsImlhdCI6MTc1MjI4MDA2NywiYXV0aF90aW1lIjoxNzUyMjgwMDY2LCJqdGkiOiI2MmUyOGNkOC1iZjJmLTQxMzUtODM1Yi1lM2Y5NWE0YWU4MmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MK2UexzXDOcCr2cjULm8z3qByllu3C0a0DM2afwiuACIAyCQkwTUiezFpAHB5WM-n62nMXxqcLXvARQCK3cWyH5b8krQ605K9QceYr5cmdwlTiULIDksgw_Pb8kBGUk1ElLDmaFDoBCiMqWxdfcdn8bLOzNs_55iYCSU80LCqvHphzSJCqiaXGORJUonElxHP4XOZybK8HvPSF1z6vMzXfdi0EDOT6gQlXQ7_VXI5Bwl3OAnPq-_s5V-gCXt6tXxYokzn0wQppj4XS0yVyuBVZ4E5vrhmwmwndQxLvIdYpPQvGVnkt-iyqf5Kh1h1rFzM_11_X_WVl-kWlK79EpM9Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:54.509Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzNjcsImlhdCI6MTc1MjI4MDA2NywiYXV0aF90aW1lIjoxNzUyMjgwMDY2LCJqdGkiOiI2MmUyOGNkOC1iZjJmLTQxMzUtODM1Yi1lM2Y5NWE0YWU4MmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MK2UexzXDOcCr2cjULm8z3qByllu3C0a0DM2afwiuACIAyCQkwTUiezFpAHB5WM-n62nMXxqcLXvARQCK3cWyH5b8krQ605K9QceYr5cmdwlTiULIDksgw_Pb8kBGUk1ElLDmaFDoBCiMqWxdfcdn8bLOzNs_55iYCSU80LCqvHphzSJCqiaXGORJUonElxHP4XOZybK8HvPSF1z6vMzXfdi0EDOT6gQlXQ7_VXI5Bwl3OAnPq-_s5V-gCXt6tXxYokzn0wQppj4XS0yVyuBVZ4E5vrhmwmwndQxLvIdYpPQvGVnkt-iyqf5Kh1h1rFzM_11_X_WVl-kWlK79EpM9Q' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:27:56.555Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAzNjcsImlhdCI6MTc1MjI4MDA2NywiYXV0aF90aW1lIjoxNzUyMjgwMDY2LCJqdGkiOiI2MmUyOGNkOC1iZjJmLTQxMzUtODM1Yi1lM2Y5NWE0YWU4MmEiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.MK2UexzXDOcCr2cjULm8z3qByllu3C0a0DM2afwiuACIAyCQkwTUiezFpAHB5WM-n62nMXxqcLXvARQCK3cWyH5b8krQ605K9QceYr5cmdwlTiULIDksgw_Pb8kBGUk1ElLDmaFDoBCiMqWxdfcdn8bLOzNs_55iYCSU80LCqvHphzSJCqiaXGORJUonElxHP4XOZybK8HvPSF1z6vMzXfdi0EDOT6gQlXQ7_VXI5Bwl3OAnPq-_s5V-gCXt6tXxYokzn0wQppj4XS0yVyuBVZ4E5vrhmwmwndQxLvIdYpPQvGVnkt-iyqf5Kh1h1rFzM_11_X_WVl-kWlK79EpM9Q' failed: Establishing a tunnel via proxy server failed.
