[2025-07-12T00:38:03.820Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=07b7d838-9f2f-4d09-8964-8b62c82f290d&response_mode=fragment&response_type=code&scope=openid&nonce=47cf6b7b-2ee8-4334-8004-54bfb9724dcb - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:38:03.821Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=07b7d838-9f2f-4d09-8964-8b62c82f290d&response_mode=fragment&response_type=code&scope=openid&nonce=47cf6b7b-2ee8-4334-8004-54bfb9724dcb - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:38:05.892Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5ODQsImlhdCI6MTc1MjI4MDY4NCwiYXV0aF90aW1lIjoxNzUyMjgwNjg0LCJqdGkiOiI5ZWViMzY0ZC05Mjk4LTQzZWItYmRlOC1jNDEzZTYxNjJkNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.R22rnRZ4iDkDpTYvMidsOM5gt5a1nYJRmp5F2UP3DNYyNFrHzHqftWX93WrXJhpvRR6_9Cw1H0-QDwXDvQttTObhg3_Vm39cQt1STXWYDgyb1YT1erOGYSFAIMTI-Mg1PTOwJMQqE4JmhQbwsq5dxhrIclKT1MuySfXbsHwpQD06JaCIWzVf1mSbpMppvrWUjgxSzmUoWQEZOENVUK3NYWwLbKST8QuFzzjGtDxlvtXsjXyaKD2hyeCRlZxHT7HgiIIf8UEmHZIvnUoVHHyO9rClZKHW9X_dXvrkMuxzO2qWrtmPxXM_gQFcc5u-H4jCKWO7Edobr0VHn4WtDjyC1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:38:07.897Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5ODQsImlhdCI6MTc1MjI4MDY4NCwiYXV0aF90aW1lIjoxNzUyMjgwNjg0LCJqdGkiOiI5ZWViMzY0ZC05Mjk4LTQzZWItYmRlOC1jNDEzZTYxNjJkNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.R22rnRZ4iDkDpTYvMidsOM5gt5a1nYJRmp5F2UP3DNYyNFrHzHqftWX93WrXJhpvRR6_9Cw1H0-QDwXDvQttTObhg3_Vm39cQt1STXWYDgyb1YT1erOGYSFAIMTI-Mg1PTOwJMQqE4JmhQbwsq5dxhrIclKT1MuySfXbsHwpQD06JaCIWzVf1mSbpMppvrWUjgxSzmUoWQEZOENVUK3NYWwLbKST8QuFzzjGtDxlvtXsjXyaKD2hyeCRlZxHT7HgiIIf8UEmHZIvnUoVHHyO9rClZKHW9X_dXvrkMuxzO2qWrtmPxXM_gQFcc5u-H4jCKWO7Edobr0VHn4WtDjyC1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:38:09.903Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5ODQsImlhdCI6MTc1MjI4MDY4NCwiYXV0aF90aW1lIjoxNzUyMjgwNjg0LCJqdGkiOiI5ZWViMzY0ZC05Mjk4LTQzZWItYmRlOC1jNDEzZTYxNjJkNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.R22rnRZ4iDkDpTYvMidsOM5gt5a1nYJRmp5F2UP3DNYyNFrHzHqftWX93WrXJhpvRR6_9Cw1H0-QDwXDvQttTObhg3_Vm39cQt1STXWYDgyb1YT1erOGYSFAIMTI-Mg1PTOwJMQqE4JmhQbwsq5dxhrIclKT1MuySfXbsHwpQD06JaCIWzVf1mSbpMppvrWUjgxSzmUoWQEZOENVUK3NYWwLbKST8QuFzzjGtDxlvtXsjXyaKD2hyeCRlZxHT7HgiIIf8UEmHZIvnUoVHHyO9rClZKHW9X_dXvrkMuxzO2qWrtmPxXM_gQFcc5u-H4jCKWO7Edobr0VHn4WtDjyC1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:38:12.021Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5ODQsImlhdCI6MTc1MjI4MDY4NCwiYXV0aF90aW1lIjoxNzUyMjgwNjg0LCJqdGkiOiI5ZWViMzY0ZC05Mjk4LTQzZWItYmRlOC1jNDEzZTYxNjJkNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.R22rnRZ4iDkDpTYvMidsOM5gt5a1nYJRmp5F2UP3DNYyNFrHzHqftWX93WrXJhpvRR6_9Cw1H0-QDwXDvQttTObhg3_Vm39cQt1STXWYDgyb1YT1erOGYSFAIMTI-Mg1PTOwJMQqE4JmhQbwsq5dxhrIclKT1MuySfXbsHwpQD06JaCIWzVf1mSbpMppvrWUjgxSzmUoWQEZOENVUK3NYWwLbKST8QuFzzjGtDxlvtXsjXyaKD2hyeCRlZxHT7HgiIIf8UEmHZIvnUoVHHyO9rClZKHW9X_dXvrkMuxzO2qWrtmPxXM_gQFcc5u-H4jCKWO7Edobr0VHn4WtDjyC1w' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:38:13.977Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA5ODQsImlhdCI6MTc1MjI4MDY4NCwiYXV0aF90aW1lIjoxNzUyMjgwNjg0LCJqdGkiOiI5ZWViMzY0ZC05Mjk4LTQzZWItYmRlOC1jNDEzZTYxNjJkNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.R22rnRZ4iDkDpTYvMidsOM5gt5a1nYJRmp5F2UP3DNYyNFrHzHqftWX93WrXJhpvRR6_9Cw1H0-QDwXDvQttTObhg3_Vm39cQt1STXWYDgyb1YT1erOGYSFAIMTI-Mg1PTOwJMQqE4JmhQbwsq5dxhrIclKT1MuySfXbsHwpQD06JaCIWzVf1mSbpMppvrWUjgxSzmUoWQEZOENVUK3NYWwLbKST8QuFzzjGtDxlvtXsjXyaKD2hyeCRlZxHT7HgiIIf8UEmHZIvnUoVHHyO9rClZKHW9X_dXvrkMuxzO2qWrtmPxXM_gQFcc5u-H4jCKWO7Edobr0VHn4WtDjyC1w' failed: Establishing a tunnel via proxy server failed.
