[2025-07-11T23:53:06.951Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=225cd1aa-dbe9-4731-839a-c80eaaf8dab0&response_mode=fragment&response_type=code&scope=openid&nonce=b7fae744-3685-4084-bf84-f258459104f9 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-11T23:53:06.952Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=225cd1aa-dbe9-4731-839a-c80eaaf8dab0&response_mode=fragment&response_type=code&scope=openid&nonce=b7fae744-3685-4084-bf84-f258459104f9 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-11T23:53:09.107Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzgyODgsImlhdCI6MTc1MjI3Nzk4OCwiYXV0aF90aW1lIjoxNzUyMjc3OTg3LCJqdGkiOiJlNjgwODU2Yi02OTZlLTQ3NDYtOTJkOC03YzViMDg0ZDdlMjMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O8Q5Ra25SNIQNAhkdPnHRHb5IT3pQoZg7TfkpnGKj005Rs5U8SbJ3Osy-pTPHbZDQn2pT4zW9xoUNK6pABEqizX7xnkI2tcJAizsV8qTZo9tzKDr0vloxnfPaEzOcKEF_LDHCnT1GrQ2T3AeFiGay-gRUQh-HKQYVrC3WaP3tpofwPIqxpzlwVbtDwcY_l5VajbduN1vz1UTJSQvlMibJ1OwaQ5QupQG9grgHGFnceboLBgPkTdwTWPbmZHFzkAvtsUJ2Nhjwp2lbysgWEnKyYBC4HnLTw0SGQF35KOP4F3UN8HjYcMQSjecrwghEwpxqnOreQ9PhKCqo4gspP09Ig' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:53:11.113Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzgyODgsImlhdCI6MTc1MjI3Nzk4OCwiYXV0aF90aW1lIjoxNzUyMjc3OTg3LCJqdGkiOiJlNjgwODU2Yi02OTZlLTQ3NDYtOTJkOC03YzViMDg0ZDdlMjMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O8Q5Ra25SNIQNAhkdPnHRHb5IT3pQoZg7TfkpnGKj005Rs5U8SbJ3Osy-pTPHbZDQn2pT4zW9xoUNK6pABEqizX7xnkI2tcJAizsV8qTZo9tzKDr0vloxnfPaEzOcKEF_LDHCnT1GrQ2T3AeFiGay-gRUQh-HKQYVrC3WaP3tpofwPIqxpzlwVbtDwcY_l5VajbduN1vz1UTJSQvlMibJ1OwaQ5QupQG9grgHGFnceboLBgPkTdwTWPbmZHFzkAvtsUJ2Nhjwp2lbysgWEnKyYBC4HnLTw0SGQF35KOP4F3UN8HjYcMQSjecrwghEwpxqnOreQ9PhKCqo4gspP09Ig' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:53:13.119Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzgyODgsImlhdCI6MTc1MjI3Nzk4OCwiYXV0aF90aW1lIjoxNzUyMjc3OTg3LCJqdGkiOiJlNjgwODU2Yi02OTZlLTQ3NDYtOTJkOC03YzViMDg0ZDdlMjMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O8Q5Ra25SNIQNAhkdPnHRHb5IT3pQoZg7TfkpnGKj005Rs5U8SbJ3Osy-pTPHbZDQn2pT4zW9xoUNK6pABEqizX7xnkI2tcJAizsV8qTZo9tzKDr0vloxnfPaEzOcKEF_LDHCnT1GrQ2T3AeFiGay-gRUQh-HKQYVrC3WaP3tpofwPIqxpzlwVbtDwcY_l5VajbduN1vz1UTJSQvlMibJ1OwaQ5QupQG9grgHGFnceboLBgPkTdwTWPbmZHFzkAvtsUJ2Nhjwp2lbysgWEnKyYBC4HnLTw0SGQF35KOP4F3UN8HjYcMQSjecrwghEwpxqnOreQ9PhKCqo4gspP09Ig' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:53:15.216Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzgyODgsImlhdCI6MTc1MjI3Nzk4OCwiYXV0aF90aW1lIjoxNzUyMjc3OTg3LCJqdGkiOiJlNjgwODU2Yi02OTZlLTQ3NDYtOTJkOC03YzViMDg0ZDdlMjMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O8Q5Ra25SNIQNAhkdPnHRHb5IT3pQoZg7TfkpnGKj005Rs5U8SbJ3Osy-pTPHbZDQn2pT4zW9xoUNK6pABEqizX7xnkI2tcJAizsV8qTZo9tzKDr0vloxnfPaEzOcKEF_LDHCnT1GrQ2T3AeFiGay-gRUQh-HKQYVrC3WaP3tpofwPIqxpzlwVbtDwcY_l5VajbduN1vz1UTJSQvlMibJ1OwaQ5QupQG9grgHGFnceboLBgPkTdwTWPbmZHFzkAvtsUJ2Nhjwp2lbysgWEnKyYBC4HnLTw0SGQF35KOP4F3UN8HjYcMQSjecrwghEwpxqnOreQ9PhKCqo4gspP09Ig' failed: Establishing a tunnel via proxy server failed.

[2025-07-11T23:53:17.204Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzgyODgsImlhdCI6MTc1MjI3Nzk4OCwiYXV0aF90aW1lIjoxNzUyMjc3OTg3LCJqdGkiOiJlNjgwODU2Yi02OTZlLTQ3NDYtOTJkOC03YzViMDg0ZDdlMjMiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.O8Q5Ra25SNIQNAhkdPnHRHb5IT3pQoZg7TfkpnGKj005Rs5U8SbJ3Osy-pTPHbZDQn2pT4zW9xoUNK6pABEqizX7xnkI2tcJAizsV8qTZo9tzKDr0vloxnfPaEzOcKEF_LDHCnT1GrQ2T3AeFiGay-gRUQh-HKQYVrC3WaP3tpofwPIqxpzlwVbtDwcY_l5VajbduN1vz1UTJSQvlMibJ1OwaQ5QupQG9grgHGFnceboLBgPkTdwTWPbmZHFzkAvtsUJ2Nhjwp2lbysgWEnKyYBC4HnLTw0SGQF35KOP4F3UN8HjYcMQSjecrwghEwpxqnOreQ9PhKCqo4gspP09Ig' failed: Establishing a tunnel via proxy server failed.
