[2025-07-12T00:54:16.419Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b28226b1-0231-4bf0-9cfc-371ab9247b82&response_mode=fragment&response_type=code&scope=openid&nonce=0ab3ee15-ee95-4133-8ac2-66ff0cad99c7 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:54:16.419Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b28226b1-0231-4bf0-9cfc-371ab9247b82&response_mode=fragment&response_type=code&scope=openid&nonce=0ab3ee15-ee95-4133-8ac2-66ff0cad99c7 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:54:18.523Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NTcsImlhdCI6MTc1MjI4MTY1NywiYXV0aF90aW1lIjoxNzUyMjgxNjU2LCJqdGkiOiIwZGViMzU4NS01ZDJlLTRkZWQtODI4OC1iZTU2ZDY4ODJkN2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U7w4qWaCPfNmO1zPtfm1AwOYImVMvPISQdoJtN15HI4vH56nuHERsNAcen89aKzBpyQuSDqaQhsQT-rdf33vbmghHeotkpp0_uxWX45gV9N0mUEZSc5WcwkaXOKeCzhP90qYSERULJTgAWYjcTDl5mEFSGP2ihcSYoM4AsWjK5kDY2uk59o4DExWIwU6aFwkBwOAKHXLa3HNJGYGVLqKLNZ9HAFtDvzaSHSokwfjUZy8Cu17peDBmXsf3jeLj-Osfd1WpEaz0RVe5LS9pZA2g70L4YbWOLYLJ1JjR2ObiSScAa54vrAOQxtxTg5N6TBRdfwQrT67K1ZsE2_HuTKIhA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:20.527Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NTcsImlhdCI6MTc1MjI4MTY1NywiYXV0aF90aW1lIjoxNzUyMjgxNjU2LCJqdGkiOiIwZGViMzU4NS01ZDJlLTRkZWQtODI4OC1iZTU2ZDY4ODJkN2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U7w4qWaCPfNmO1zPtfm1AwOYImVMvPISQdoJtN15HI4vH56nuHERsNAcen89aKzBpyQuSDqaQhsQT-rdf33vbmghHeotkpp0_uxWX45gV9N0mUEZSc5WcwkaXOKeCzhP90qYSERULJTgAWYjcTDl5mEFSGP2ihcSYoM4AsWjK5kDY2uk59o4DExWIwU6aFwkBwOAKHXLa3HNJGYGVLqKLNZ9HAFtDvzaSHSokwfjUZy8Cu17peDBmXsf3jeLj-Osfd1WpEaz0RVe5LS9pZA2g70L4YbWOLYLJ1JjR2ObiSScAa54vrAOQxtxTg5N6TBRdfwQrT67K1ZsE2_HuTKIhA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:22.531Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NTcsImlhdCI6MTc1MjI4MTY1NywiYXV0aF90aW1lIjoxNzUyMjgxNjU2LCJqdGkiOiIwZGViMzU4NS01ZDJlLTRkZWQtODI4OC1iZTU2ZDY4ODJkN2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U7w4qWaCPfNmO1zPtfm1AwOYImVMvPISQdoJtN15HI4vH56nuHERsNAcen89aKzBpyQuSDqaQhsQT-rdf33vbmghHeotkpp0_uxWX45gV9N0mUEZSc5WcwkaXOKeCzhP90qYSERULJTgAWYjcTDl5mEFSGP2ihcSYoM4AsWjK5kDY2uk59o4DExWIwU6aFwkBwOAKHXLa3HNJGYGVLqKLNZ9HAFtDvzaSHSokwfjUZy8Cu17peDBmXsf3jeLj-Osfd1WpEaz0RVe5LS9pZA2g70L4YbWOLYLJ1JjR2ObiSScAa54vrAOQxtxTg5N6TBRdfwQrT67K1ZsE2_HuTKIhA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:24.557Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NTcsImlhdCI6MTc1MjI4MTY1NywiYXV0aF90aW1lIjoxNzUyMjgxNjU2LCJqdGkiOiIwZGViMzU4NS01ZDJlLTRkZWQtODI4OC1iZTU2ZDY4ODJkN2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U7w4qWaCPfNmO1zPtfm1AwOYImVMvPISQdoJtN15HI4vH56nuHERsNAcen89aKzBpyQuSDqaQhsQT-rdf33vbmghHeotkpp0_uxWX45gV9N0mUEZSc5WcwkaXOKeCzhP90qYSERULJTgAWYjcTDl5mEFSGP2ihcSYoM4AsWjK5kDY2uk59o4DExWIwU6aFwkBwOAKHXLa3HNJGYGVLqKLNZ9HAFtDvzaSHSokwfjUZy8Cu17peDBmXsf3jeLj-Osfd1WpEaz0RVe5LS9pZA2g70L4YbWOLYLJ1JjR2ObiSScAa54vrAOQxtxTg5N6TBRdfwQrT67K1ZsE2_HuTKIhA' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:54:26.577Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODE5NTcsImlhdCI6MTc1MjI4MTY1NywiYXV0aF90aW1lIjoxNzUyMjgxNjU2LCJqdGkiOiIwZGViMzU4NS01ZDJlLTRkZWQtODI4OC1iZTU2ZDY4ODJkN2UiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.U7w4qWaCPfNmO1zPtfm1AwOYImVMvPISQdoJtN15HI4vH56nuHERsNAcen89aKzBpyQuSDqaQhsQT-rdf33vbmghHeotkpp0_uxWX45gV9N0mUEZSc5WcwkaXOKeCzhP90qYSERULJTgAWYjcTDl5mEFSGP2ihcSYoM4AsWjK5kDY2uk59o4DExWIwU6aFwkBwOAKHXLa3HNJGYGVLqKLNZ9HAFtDvzaSHSokwfjUZy8Cu17peDBmXsf3jeLj-Osfd1WpEaz0RVe5LS9pZA2g70L4YbWOLYLJ1JjR2ObiSScAa54vrAOQxtxTg5N6TBRdfwQrT67K1ZsE2_HuTKIhA' failed: Establishing a tunnel via proxy server failed.
