[2025-07-12T00:18:28.536Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=53fe1b73-7faa-4be3-97b4-1b55d36ccb34&response_mode=fragment&response_type=code&scope=openid&nonce=ace7b683-f903-4335-8202-164c5e3ffed1 - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:18:28.537Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=53fe1b73-7faa-4be3-97b4-1b55d36ccb34&response_mode=fragment&response_type=code&scope=openid&nonce=ace7b683-f903-4335-8202-164c5e3ffed1 - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:18:30.599Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:32.608Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:34.613Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:36.617Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:38.665Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:40.808Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:42.676Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:44.727Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:46.648Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:18:48.739Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk4MDksImlhdCI6MTc1MjI3OTUwOSwiYXV0aF90aW1lIjoxNzUyMjc5NTA4LCJqdGkiOiJkZmNjYzRiNC05NDMzLTQwYjEtOTViMS0zMjg0N2QwYzJkNGYiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.f6Qn7N1cUe2SUaqSrD30JTzbWLQeOuDJDhuRKPbq2vyZbL1xyn3Wxhr0EU20bs0qTuWYYqfP_LVP_TkSop4RSztUXRH7LYcP3k6-HsdVNCTowvdbtSVgVtHF0AgYCsdax7-ap3-onTJNPKNlJXD5RJZUk4ws9f0r34mm2cAKgNecVRIDA_wMe3gsCMhMPZ2qXFPP3FFcegba8TMBeAlUeEuSUnwR6ubfUmBesuAO1d6shY0hwJ6akwFxHq3Bgjl3SWj7ipg_U7tN10U_AVgqpfHV5QAXDwdH1h3AD_EYoxeXKXT-SWvEvfCryb2EGEeRWzgmLePrzylEx7vGPqbQrg' failed: Establishing a tunnel via proxy server failed.

