[2025-07-12T00:15:41.617Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=984cbd96-41c8-4483-9def-35652d15075f&response_mode=fragment&response_type=code&scope=openid&nonce=6dd27255-6945-41ef-9715-c570e4909cfd - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:15:41.618Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=984cbd96-41c8-4483-9def-35652d15075f&response_mode=fragment&response_type=code&scope=openid&nonce=6dd27255-6945-41ef-9715-c570e4909cfd - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:15:43.633Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk2NDIsImlhdCI6MTc1MjI3OTM0MiwiYXV0aF90aW1lIjoxNzUyMjc5MzQxLCJqdGkiOiJkZDBkMWFhYi1jNmMzLTRjNmMtOWE1NC00ZDk1MTUwZGZjMTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KafTd0w2a-xosDlBjYb_Qj1qPeFqItK6-IyG7df3D08oD5EO31JrQR1Rdty3zM8wfgfa3Sz1Mzqjx2bpgSLY60aMARBO-sGfKODO_zg9Pzwj90AdQTeOt8uCwR7eCW2dvvrYWU5fJ8O17qpli7eLvXUMaVATs9zR1rolNwV7m1GcHPa52wIFAJfFbA3WcX7-x--xNW73qyASf4tTTfa6v0gWlChi0sELs08GRuNi32VFvYixpaHrytol6td_zo1q_bkVdmR7pog8Nr7JH6ypQugMxbyWCp9NldAWHcG71Nh60-rdJR6kHHs7d1yj7h2DcXh7nNpAYTgW93ghOMwz3g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:15:45.650Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk2NDIsImlhdCI6MTc1MjI3OTM0MiwiYXV0aF90aW1lIjoxNzUyMjc5MzQxLCJqdGkiOiJkZDBkMWFhYi1jNmMzLTRjNmMtOWE1NC00ZDk1MTUwZGZjMTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KafTd0w2a-xosDlBjYb_Qj1qPeFqItK6-IyG7df3D08oD5EO31JrQR1Rdty3zM8wfgfa3Sz1Mzqjx2bpgSLY60aMARBO-sGfKODO_zg9Pzwj90AdQTeOt8uCwR7eCW2dvvrYWU5fJ8O17qpli7eLvXUMaVATs9zR1rolNwV7m1GcHPa52wIFAJfFbA3WcX7-x--xNW73qyASf4tTTfa6v0gWlChi0sELs08GRuNi32VFvYixpaHrytol6td_zo1q_bkVdmR7pog8Nr7JH6ypQugMxbyWCp9NldAWHcG71Nh60-rdJR6kHHs7d1yj7h2DcXh7nNpAYTgW93ghOMwz3g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:15:47.655Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk2NDIsImlhdCI6MTc1MjI3OTM0MiwiYXV0aF90aW1lIjoxNzUyMjc5MzQxLCJqdGkiOiJkZDBkMWFhYi1jNmMzLTRjNmMtOWE1NC00ZDk1MTUwZGZjMTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KafTd0w2a-xosDlBjYb_Qj1qPeFqItK6-IyG7df3D08oD5EO31JrQR1Rdty3zM8wfgfa3Sz1Mzqjx2bpgSLY60aMARBO-sGfKODO_zg9Pzwj90AdQTeOt8uCwR7eCW2dvvrYWU5fJ8O17qpli7eLvXUMaVATs9zR1rolNwV7m1GcHPa52wIFAJfFbA3WcX7-x--xNW73qyASf4tTTfa6v0gWlChi0sELs08GRuNi32VFvYixpaHrytol6td_zo1q_bkVdmR7pog8Nr7JH6ypQugMxbyWCp9NldAWHcG71Nh60-rdJR6kHHs7d1yj7h2DcXh7nNpAYTgW93ghOMwz3g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:15:49.797Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk2NDIsImlhdCI6MTc1MjI3OTM0MiwiYXV0aF90aW1lIjoxNzUyMjc5MzQxLCJqdGkiOiJkZDBkMWFhYi1jNmMzLTRjNmMtOWE1NC00ZDk1MTUwZGZjMTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KafTd0w2a-xosDlBjYb_Qj1qPeFqItK6-IyG7df3D08oD5EO31JrQR1Rdty3zM8wfgfa3Sz1Mzqjx2bpgSLY60aMARBO-sGfKODO_zg9Pzwj90AdQTeOt8uCwR7eCW2dvvrYWU5fJ8O17qpli7eLvXUMaVATs9zR1rolNwV7m1GcHPa52wIFAJfFbA3WcX7-x--xNW73qyASf4tTTfa6v0gWlChi0sELs08GRuNi32VFvYixpaHrytol6td_zo1q_bkVdmR7pog8Nr7JH6ypQugMxbyWCp9NldAWHcG71Nh60-rdJR6kHHs7d1yj7h2DcXh7nNpAYTgW93ghOMwz3g' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:15:51.769Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyNzk2NDIsImlhdCI6MTc1MjI3OTM0MiwiYXV0aF90aW1lIjoxNzUyMjc5MzQxLCJqdGkiOiJkZDBkMWFhYi1jNmMzLTRjNmMtOWE1NC00ZDk1MTUwZGZjMTgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.KafTd0w2a-xosDlBjYb_Qj1qPeFqItK6-IyG7df3D08oD5EO31JrQR1Rdty3zM8wfgfa3Sz1Mzqjx2bpgSLY60aMARBO-sGfKODO_zg9Pzwj90AdQTeOt8uCwR7eCW2dvvrYWU5fJ8O17qpli7eLvXUMaVATs9zR1rolNwV7m1GcHPa52wIFAJfFbA3WcX7-x--xNW73qyASf4tTTfa6v0gWlChi0sELs08GRuNi32VFvYixpaHrytol6td_zo1q_bkVdmR7pog8Nr7JH6ypQugMxbyWCp9NldAWHcG71Nh60-rdJR6kHHs7d1yj7h2DcXh7nNpAYTgW93ghOMwz3g' failed: Establishing a tunnel via proxy server failed.
