[2025-07-12T00:24:16.342Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b51d4b2c-48ef-4572-8847-36030aecdce0&response_mode=fragment&response_type=code&scope=openid&nonce=84fe90bf-d63b-4aa6-830e-1222a268c33a - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:24:16.344Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=b51d4b2c-48ef-4572-8847-36030aecdce0&response_mode=fragment&response_type=code&scope=openid&nonce=84fe90bf-d63b-4aa6-830e-1222a268c33a - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:24:18.339Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTcsImlhdCI6MTc1MjI3OTg1NywiYXV0aF90aW1lIjoxNzUyMjc5ODU2LCJqdGkiOiI2ZDBmZDRiMS1kOGI4LTRhODItOTcyYy0wZDQ5NTlmYTZlNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kKdwhFFwkwbdgl9QLAOhjjr4xN3gGOxgIjpoCoi3vwSOzypESZmjIhFKr7c8-2GKiQjuySCuKHC-z2KMZCuY9whw1SOLOMs9T8TlNuIt_q-lkLlI-PxORltHPq9O9TDgfm_hjxJhfy-JPApXgYoM_peGGZLhSeA8TIe_kt9o4LhIfrVxvHQw0_hGckMfzJLThns1wVG1VIaCN1BTSitotaHhf7d9VnRnBf4szDwFmBgjduXMHZeRw0pBC41EbU9stTDeghHEi7DxoBYQovcXq1tDCZF3xLBwM1gRJ0aebHDvSVcYtxX7Uhy_mYt0USRKBv56CbJRnjueDukLu9LA1A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:20.409Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTcsImlhdCI6MTc1MjI3OTg1NywiYXV0aF90aW1lIjoxNzUyMjc5ODU2LCJqdGkiOiI2ZDBmZDRiMS1kOGI4LTRhODItOTcyYy0wZDQ5NTlmYTZlNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kKdwhFFwkwbdgl9QLAOhjjr4xN3gGOxgIjpoCoi3vwSOzypESZmjIhFKr7c8-2GKiQjuySCuKHC-z2KMZCuY9whw1SOLOMs9T8TlNuIt_q-lkLlI-PxORltHPq9O9TDgfm_hjxJhfy-JPApXgYoM_peGGZLhSeA8TIe_kt9o4LhIfrVxvHQw0_hGckMfzJLThns1wVG1VIaCN1BTSitotaHhf7d9VnRnBf4szDwFmBgjduXMHZeRw0pBC41EbU9stTDeghHEi7DxoBYQovcXq1tDCZF3xLBwM1gRJ0aebHDvSVcYtxX7Uhy_mYt0USRKBv56CbJRnjueDukLu9LA1A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:22.441Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTcsImlhdCI6MTc1MjI3OTg1NywiYXV0aF90aW1lIjoxNzUyMjc5ODU2LCJqdGkiOiI2ZDBmZDRiMS1kOGI4LTRhODItOTcyYy0wZDQ5NTlmYTZlNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kKdwhFFwkwbdgl9QLAOhjjr4xN3gGOxgIjpoCoi3vwSOzypESZmjIhFKr7c8-2GKiQjuySCuKHC-z2KMZCuY9whw1SOLOMs9T8TlNuIt_q-lkLlI-PxORltHPq9O9TDgfm_hjxJhfy-JPApXgYoM_peGGZLhSeA8TIe_kt9o4LhIfrVxvHQw0_hGckMfzJLThns1wVG1VIaCN1BTSitotaHhf7d9VnRnBf4szDwFmBgjduXMHZeRw0pBC41EbU9stTDeghHEi7DxoBYQovcXq1tDCZF3xLBwM1gRJ0aebHDvSVcYtxX7Uhy_mYt0USRKBv56CbJRnjueDukLu9LA1A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:24.561Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTcsImlhdCI6MTc1MjI3OTg1NywiYXV0aF90aW1lIjoxNzUyMjc5ODU2LCJqdGkiOiI2ZDBmZDRiMS1kOGI4LTRhODItOTcyYy0wZDQ5NTlmYTZlNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kKdwhFFwkwbdgl9QLAOhjjr4xN3gGOxgIjpoCoi3vwSOzypESZmjIhFKr7c8-2GKiQjuySCuKHC-z2KMZCuY9whw1SOLOMs9T8TlNuIt_q-lkLlI-PxORltHPq9O9TDgfm_hjxJhfy-JPApXgYoM_peGGZLhSeA8TIe_kt9o4LhIfrVxvHQw0_hGckMfzJLThns1wVG1VIaCN1BTSitotaHhf7d9VnRnBf4szDwFmBgjduXMHZeRw0pBC41EbU9stTDeghHEi7DxoBYQovcXq1tDCZF3xLBwM1gRJ0aebHDvSVcYtxX7Uhy_mYt0USRKBv56CbJRnjueDukLu9LA1A' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:24:26.585Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODAxNTcsImlhdCI6MTc1MjI3OTg1NywiYXV0aF90aW1lIjoxNzUyMjc5ODU2LCJqdGkiOiI2ZDBmZDRiMS1kOGI4LTRhODItOTcyYy0wZDQ5NTlmYTZlNDciLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.kKdwhFFwkwbdgl9QLAOhjjr4xN3gGOxgIjpoCoi3vwSOzypESZmjIhFKr7c8-2GKiQjuySCuKHC-z2KMZCuY9whw1SOLOMs9T8TlNuIt_q-lkLlI-PxORltHPq9O9TDgfm_hjxJhfy-JPApXgYoM_peGGZLhSeA8TIe_kt9o4LhIfrVxvHQw0_hGckMfzJLThns1wVG1VIaCN1BTSitotaHhf7d9VnRnBf4szDwFmBgjduXMHZeRw0pBC41EbU9stTDeghHEi7DxoBYQovcXq1tDCZF3xLBwM1gRJ0aebHDvSVcYtxX7Uhy_mYt0USRKBv56CbJRnjueDukLu9LA1A' failed: Establishing a tunnel via proxy server failed.
