[2025-07-12T00:36:13.205Z] [SEVERE] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0d91f618-6323-4aa5-b55b-e18451892a4d&response_mode=fragment&response_type=code&scope=openid&nonce=9b26e787-3735-4f52-887d-2e9ab03e3abc - Refused to apply style from 'http://code-samples.cxbox.org/auth/resources/iaj0z/common/keycloak/web_modules/@fortawesome/fontawesome-free/css/icons/all.css' because its MIME type ('') is not a supported stylesheet MIME type, and strict MIME checking is enabled.

[2025-07-12T00:36:13.207Z] [INFO] http://code-samples.cxbox.org/auth/realms/cxbox/protocol/openid-connect/auth?client_id=cxbox-oidc-client&redirect_uri=http%3A%2F%2Flocalhost%3A81%2Fui%2F%23%2F&state=0d91f618-6323-4aa5-b55b-e18451892a4d&response_mode=fragment&response_type=code&scope=openid&nonce=9b26e787-3735-4f52-887d-2e9ab03e3abc - Autofocus processing was blocked because a document already has a focused element.

[2025-07-12T00:36:15.256Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzQsImlhdCI6MTc1MjI4MDU3NCwiYXV0aF90aW1lIjoxNzUyMjgwNTczLCJqdGkiOiJiYTIwNTRhZi1hMTQwLTRjMzYtYWM2MC02YzhmZWI4NjA2NzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.cSFlHJDROAixymU3hkJUedot5l2BlkQ622uKcA1zRkXyHzDEaT8_iMZktbWqOt_cbFpSBjb0A2q3RCojZoOTfdte_WytvHK7oxQJtScyqFkmlUM96qHpr-Z_8uEmFopluXAqcQ7bg4oeeK4IZjS9RbhWzj2idrcNgfXw8CapUbzBVO5_6Bafkv7t4nlSjq7DIWnnQImAA4I3C1jQ1MAYMUzdYpyJySYA6FOD16Ue1i9y_XxW8VEdQut6UEB8jG3p04lP8aSSYqiDvP7WfGoOIN7vHzneQZO18XjHkuNP35QjDVm4x6Gk6E3ygxh7z_M_0TYiA_7xf0HprFEWvhkQrQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:17.259Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzQsImlhdCI6MTc1MjI4MDU3NCwiYXV0aF90aW1lIjoxNzUyMjgwNTczLCJqdGkiOiJiYTIwNTRhZi1hMTQwLTRjMzYtYWM2MC02YzhmZWI4NjA2NzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.cSFlHJDROAixymU3hkJUedot5l2BlkQ622uKcA1zRkXyHzDEaT8_iMZktbWqOt_cbFpSBjb0A2q3RCojZoOTfdte_WytvHK7oxQJtScyqFkmlUM96qHpr-Z_8uEmFopluXAqcQ7bg4oeeK4IZjS9RbhWzj2idrcNgfXw8CapUbzBVO5_6Bafkv7t4nlSjq7DIWnnQImAA4I3C1jQ1MAYMUzdYpyJySYA6FOD16Ue1i9y_XxW8VEdQut6UEB8jG3p04lP8aSSYqiDvP7WfGoOIN7vHzneQZO18XjHkuNP35QjDVm4x6Gk6E3ygxh7z_M_0TYiA_7xf0HprFEWvhkQrQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:19.264Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzQsImlhdCI6MTc1MjI4MDU3NCwiYXV0aF90aW1lIjoxNzUyMjgwNTczLCJqdGkiOiJiYTIwNTRhZi1hMTQwLTRjMzYtYWM2MC02YzhmZWI4NjA2NzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.cSFlHJDROAixymU3hkJUedot5l2BlkQ622uKcA1zRkXyHzDEaT8_iMZktbWqOt_cbFpSBjb0A2q3RCojZoOTfdte_WytvHK7oxQJtScyqFkmlUM96qHpr-Z_8uEmFopluXAqcQ7bg4oeeK4IZjS9RbhWzj2idrcNgfXw8CapUbzBVO5_6Bafkv7t4nlSjq7DIWnnQImAA4I3C1jQ1MAYMUzdYpyJySYA6FOD16Ue1i9y_XxW8VEdQut6UEB8jG3p04lP8aSSYqiDvP7WfGoOIN7vHzneQZO18XjHkuNP35QjDVm4x6Gk6E3ygxh7z_M_0TYiA_7xf0HprFEWvhkQrQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:21.383Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzQsImlhdCI6MTc1MjI4MDU3NCwiYXV0aF90aW1lIjoxNzUyMjgwNTczLCJqdGkiOiJiYTIwNTRhZi1hMTQwLTRjMzYtYWM2MC02YzhmZWI4NjA2NzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.cSFlHJDROAixymU3hkJUedot5l2BlkQ622uKcA1zRkXyHzDEaT8_iMZktbWqOt_cbFpSBjb0A2q3RCojZoOTfdte_WytvHK7oxQJtScyqFkmlUM96qHpr-Z_8uEmFopluXAqcQ7bg4oeeK4IZjS9RbhWzj2idrcNgfXw8CapUbzBVO5_6Bafkv7t4nlSjq7DIWnnQImAA4I3C1jQ1MAYMUzdYpyJySYA6FOD16Ue1i9y_XxW8VEdQut6UEB8jG3p04lP8aSSYqiDvP7WfGoOIN7vHzneQZO18XjHkuNP35QjDVm4x6Gk6E3ygxh7z_M_0TYiA_7xf0HprFEWvhkQrQ' failed: Establishing a tunnel via proxy server failed.

[2025-07-12T00:36:23.481Z] [SEVERE] http://localhost:81/ui/static/js/main.9990e67b.js 1 WebSocket connection to 'ws://localhost:81/api/v1/websocketnotification?access_token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJLLWh6SGo5NkNhMVkzaFNPZmpPQjFQVGVNZXhZbGRIclc3czJha3ZqNnpjIn0.eyJleHAiOjE3NTIyODA4NzQsImlhdCI6MTc1MjI4MDU3NCwiYXV0aF90aW1lIjoxNzUyMjgwNTczLCJqdGkiOiJiYTIwNTRhZi1hMTQwLTRjMzYtYWM2MC02YzhmZWI4NjA2NzgiLCJpc3MiOiJodHRwOi8vY29kZS1zYW1wbGVzLmN4Ym94Lm9yZy9hdXRoL3JlYWxtcy9jeGJveCIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiJmNjgxMGMzZC1iMDI3LTQwN2EtOTJiMy01MGRkNDc5YjZiYjciLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJjeGJveC1vaWRjLWN...ZmllZCI6ZmFsc2UsIm5hbWUiOiJKb2huIFNub3ciLCJwcmVmZXJyZWRfdXNlcm5hbWUiOiJkZW1vIiwiZ2l2ZW5fbmFtZSI6IkpvaG4iLCJmYW1pbHlfbmFtZSI6IlNub3ciLCJlbWFpbCI6ImRlbW9AbG9jYWwuY29tIn0.cSFlHJDROAixymU3hkJUedot5l2BlkQ622uKcA1zRkXyHzDEaT8_iMZktbWqOt_cbFpSBjb0A2q3RCojZoOTfdte_WytvHK7oxQJtScyqFkmlUM96qHpr-Z_8uEmFopluXAqcQ7bg4oeeK4IZjS9RbhWzj2idrcNgfXw8CapUbzBVO5_6Bafkv7t4nlSjq7DIWnnQImAA4I3C1jQ1MAYMUzdYpyJySYA6FOD16Ue1i9y_XxW8VEdQut6UEB8jG3p04lP8aSSYqiDvP7WfGoOIN7vHzneQZO18XjHkuNP35QjDVm4x6Gk6E3ygxh7z_M_0TYiA_7xf0HprFEWvhkQrQ' failed: Establishing a tunnel via proxy server failed.
